osmid,highway,oneway,reversed,length,lanes,ref,name,maxspeed,access,geometry,bridge
77339477,unclassified,False,True,35.424,,,,,,"LINESTRING (76.9600347 11.2407427, 76.9597511 11.2405874)",
693450050,trunk,False,True,16.023,2,NH181,Mettupalayam-Coimbatore Road,50,yes,"LINESTRING (76.9600347 11.2407427, 76.9599523 11.240862)",
1080194649,trunk,False,False,50.582,2,NH181,Mettupalayam-Coimbatore Road,50,yes,"LINESTRING (76.9600347 11.2407427, 76.9602753 11.2403538)",
100958289,primary,False,True,199.63899999999998,2,SH168,Karamadai - Kariyampalayam Road,,,"LINESTRING (76.9600347 11.2407427, 76.9602715 11.2407043, 76.96052 11.24057, 76.961404 11.2404594, 76.9618032 11.240346)",
100958289,primary,False,True,32.089,2,SH168,Karamadai - Kariyampalayam Road,,,"LINESTRING (76.9618032 11.240346, 76.9620438 11.2401799)",
206774712,residential,False,False,36.592,,,,,,"LINESTRING (76.9618032 11.240346, 76.9618819 11.2406659)",
100958289,primary,False,False,199.63899999999998,2,SH168,Karamadai - Kariyampalayam Road,,,"LINESTRING (76.9618032 11.240346, 76.961404 11.2404594, 76.96052 11.24057, 76.9602715 11.2407043, 76.9600347 11.2407427)",
131294125,residential,True,False,74.736,,,sorkkavaasal street,40,,"LINESTRING (76.9586383 11.2427635, 76.9593224 11.2427243)",
320026956,secondary,False,True,269.448,,,Karamadai - Tholampalayam Road,,,"LINESTRING (76.9586383 11.2427635, 76.9585116 11.242735, 76.9582046 11.2427362, 76.9579329 11.2427373, 76.9577298 11.2427172, 76.9572808 11.2426995, 76.956943 11.2426583, 76.9565717 11.2425785, 76.9561947 11.2424889)",
693450050,trunk,False,False,126.021,2,NH181,Mettupalayam-Coimbatore Road,50,yes,"LINESTRING (76.9586383 11.2427635, 76.9591301 11.2420485, 76.9592893 11.2418272)",
1051177658,trunk,False,True,59.12,2,NH181,Mettupalayam-Coimbatore Road,50,yes,"LINESTRING (76.9586383 11.2427635, 76.9586272 11.242793, 76.9583304 11.2431998)",
77339477,unclassified,False,False,35.424,,,,,,"LINESTRING (76.9597511 11.2405874, 76.9600347 11.2407427)",
"[866505821, 77339477]",unclassified,False,True,327.16700000000003,,,,,,"LINESTRING (76.9597511 11.2405874, 76.9597534 11.2403508, 76.9601394 11.2390324, 76.9601614 11.2388783, 76.9601872 11.238697, 76.9602616 11.2385625, 76.9604471 11.2384127, 76.9606474 11.2383793, 76.9606903 11.2386187, 76.9607128 11.2387815)",
