osmid,name,highway,oneway,reversed,length,junction,geometry,lanes,ref
160209941,Avenue Road,primary,False,True,12.451,,"LINESTRING (78.2710856 12.9583986, 78.2710454 12.9585035)",,
208247784,Mahatma Gandhi Circle,primary,True,False,17.433999999999997,roundabout,"LINESTRING (78.2710856 12.9583986, 78.271094 12.9584289, 78.2711167 12.9584511, 78.2711478 12.9584592, 78.2711788 12.9584511, 78.2712016 12.9584289)",,
238472997,Avenue Road,primary,False,True,81.774,,"LINESTRING (78.2715078 12.9571059, 78.2712733 12.9578049)",,
238754907,BM Road,primary,False,False,124.716,,"LINESTRING (78.2715078 12.9571059, 78.2716656 12.9559949)",4,
239066691,,secondary,False,True,76.212,,"LINESTRING (78.2715078 12.9571059, 78.2708202 12.9569619)",,
207921245,Geetha Road,secondary,False,True,118.97999999999999,,"LINESTRING (78.2715078 12.9571059, 78.2721862 12.9571843, 78.2725975 12.9572368)",,
207916591,4th Cross Road,residential,False,False,41.716,,"LINESTRING (78.2746817 12.9574335, 78.2747179 12.95706)",,
207916591,4th Cross Road,residential,False,True,48.374,,"LINESTRING (78.2746817 12.9574335, 78.2746396 12.9578666)",,
207921245,Geetha Road,secondary,False,False,58.231,,"LINESTRING (78.2746817 12.9574335, 78.2741472 12.9573795)",,
207921245,Geetha Road,secondary,False,True,54.911,,"LINESTRING (78.2746817 12.9574335, 78.2751834 12.9575029)",,
207916589,1st Cross Road,residential,False,True,46.78,,"LINESTRING (78.2725975 12.9572368, 78.2725599 12.9576559)",,
207921245,Geetha Road,secondary,False,True,81.281,,"LINESTRING (78.2725975 12.9572368, 78.2733455 12.9572911)",,
207916589,1st Cross Road,residential,False,False,182.515,,"LINESTRING (78.2725975 12.9572368, 78.2726793 12.9564401, 78.2727461 12.9556019)",,
207921245,Geetha Road,secondary,False,False,118.97999999999999,,"LINESTRING (78.2725975 12.9572368, 78.2721862 12.9571843, 78.2715078 12.9571059)",,
172901597,Prichard Road,tertiary,False,False,5.511,,"LINESTRING (78.2767536 12.9586804, 78.2767712 12.9586339)",,
238755001,,residential,False,True,93.949,,"LINESTRING (78.2767536 12.9586804, 78.2760326 12.9586323, 78.2760191 12.9587723)",,
172901597,Prichard Road,tertiary,False,True,9.206,,"LINESTRING (78.2712809 12.9584586, 78.2712016 12.9584289)",,
172901599,,residential,False,True,59.788,,"LINESTRING (78.2712809 12.9584586, 78.2712052 12.9589912)",,
172901597,Prichard Road,tertiary,False,False,128.49099999999999,,"LINESTRING (78.2712809 12.9584586, 78.272277 12.9586298, 78.2724503 12.9586477)",,
172901597,Prichard Road,tertiary,False,False,53.341,,"LINESTRING (78.2740393 12.9589582, 78.2745285 12.9590115)",,
207916590,3rd Cross Road,unclassified,False,False,40.242,,"LINESTRING (78.2740393 12.9589582, 78.274064 12.9585971)",,
172901597,Prichard Road,tertiary,False,True,90.78099999999999,,"LINESTRING (78.2740393 12.9589582, 78.2739103 12.9588655, 78.2732408 12.9587645)",,
