osmid,lanes,highway,maxspeed,oneway,reversed,length,name,geometry
146694043,1,secondary,50,False,True,66.555,,"LINESTRING (85.5097439 20.1400798, 85.5103643 20.139942)"
146694044,,secondary,,False,False,60.26,DALATOLA-GADAMANTIRI- SIKO ROAD,"LINESTRING (85.5097439 20.1400798, 85.5091693 20.1400282)"
561542585,,unclassified,,False,False,4.058,MARKET ROAD,"LINESTRING (85.5097439 20.1400798, 85.5097809 20.1400686)"
146694043,1,secondary,50,False,False,48.939,,"LINESTRING (85.5118307 20.1396165, 85.5113745 20.1397178)"
146694043,1,secondary,50,False,True,122.185,,"LINESTRING (85.5118307 20.1396165, 85.5129543 20.1393089)"
561542585,,unclassified,,False,True,20.546,MARKET ROAD,"LINESTRING (85.5118307 20.1396165, 85.5116665 20.1396413, 85.5116369 20.1396482)"
618578390,,road,,False,True,37.684,,"LINESTRING (85.5118307 20.1396165, 85.5118206 20.1398478, 85.5117851 20.1399499)"
617662693,,unclassified,,False,False,25.741,,"LINESTRING (85.5106561 20.1405571, 85.5104313 20.1406522)"
617662693,,unclassified,,False,True,26.213,,"LINESTRING (85.5106561 20.1405571, 85.5107972 20.1403621)"
617657405,,unclassified,20,False,False,234.39499999999998,School - Post office Road,"LINESTRING (85.5106561 20.1405571, 85.5109163 20.1410571, 85.5110708 20.1416373, 85.5110951 20.1419764, 85.5111115 20.142206, 85.5110405 20.1425836)"
617657405,,unclassified,20,False,True,74.896,School - Post office Road,"LINESTRING (85.5106561 20.1405571, 85.5104569 20.1401564, 85.5103643 20.139942)"
617657405,,unclassified,20,False,False,209.805,School - Post office Road,"LINESTRING (85.5109773 20.1429007, 85.5107496 20.1438549, 85.5106846 20.1440839, 85.510587 20.1441984, 85.510526 20.1445953, 85.5105667 20.1447136)"
617657405,,unclassified,20,False,True,35.873000000000005,School - Post office Road,"LINESTRING (85.5109773 20.1429007, 85.5110139 20.1427251, 85.5110405 20.1425836)"
617657406,,unclassified,20,False,False,39.925,Ram mandir Road,"LINESTRING (85.5109773 20.1429007, 85.5110143 20.1431013, 85.5110327 20.1432558)"
617657407,,unclassified,,False,True,56.962,,"LINESTRING (85.5105667 20.1447136, 85.510028 20.1447951)"
"[617657408, 617657405]",,unclassified,20,False,False,227.86599999999999,School - Post office Road,"LINESTRING (85.5105667 20.1447136, 85.5105043 20.1448033, 85.5107755 20.1457304, 85.5109702 20.1466939)"
