osmid,oneway,highway,reversed,length,geometry,lanes,maxspeed,bridge
495354891,True,primary,False,113.35499999999999,"LINESTRING (77.4154462 28.6713214, 77.4156985 28.6709438, 77.4159355 28.670662, 77.4160111 28.670591, 77.4161264 28.6705026)",,,
1074719073,True,primary_link,False,112.893,"LINESTRING (77.4154462 28.6713214, 77.4154499 28.6711787, 77.4154499 28.6711059, 77.4154355 28.6710204, 77.4154084 28.6709492, 77.4153489 28.6708827, 77.4152893 28.6708558, 77.4152027 28.6708336, 77.4147376 28.6707542)",,,
495354887,True,primary,False,167.688,"LINESTRING (77.412007 28.6717669, 77.4122487 28.6717891, 77.4123741 28.6718194, 77.4125311 28.6719066, 77.4126492 28.6719625, 77.4134965 28.6724697)",,,
422614098,False,residential,False,256.873,"LINESTRING (77.4156407 28.6669967, 77.4156533 28.6670072, 77.4156652 28.667023, 77.4161201 28.6677555, 77.4163507 28.6681486, 77.4163642 28.6681938, 77.4163542 28.668233, 77.4163004 28.6683593, 77.4162986 28.6684319, 77.4163206 28.6684793, 77.4166791 28.6690528)",,,
422614098,False,residential,True,10.266,"LINESTRING (77.4156407 28.6669967, 77.4156198 28.666996, 77.4155969 28.6670013, 77.4155402 28.6670201)",,,
422614098,False,residential,False,42.821,"LINESTRING (77.415126 28.6671474, 77.4154756 28.6670414, 77.4155402 28.6670201)",,,
422614098,False,residential,True,125.904,"LINESTRING (77.415126 28.6671474, 77.4150043 28.6671813, 77.4139535 28.6674602, 77.41392 28.667464, 77.4138897 28.6674576)",,,
1218174230,False,residential,False,275.831,"LINESTRING (77.415126 28.6671474, 77.4153007 28.6675835, 77.4153061 28.6676399, 77.4154027 28.6678046, 77.4156011 28.668454, 77.4158049 28.6691034, 77.4158693 28.669254, 77.4158961 28.6692775, 77.4159659 28.6692869, 77.4160571 28.6692869, 77.4161142 28.6693071, 77.4161509 28.6693317)",,,
495354887,True,primary,False,76.523,"LINESTRING (77.4134965 28.6724697, 77.4140956 28.6729139)",,,
422620053,False,residential,True,62.004000000000005,"LINESTRING (77.4134965 28.6724697, 77.4132347 28.6726782, 77.4130828 28.6727831, 77.4130053 28.6728209)",,,
422620052,False,residential,False,50.648,"LINESTRING (77.408417 28.6726128, 77.4086403 28.673024)",,,
22834920,True,primary,False,158.899,"LINESTRING (77.408417 28.6726128, 77.408537 28.6725834, 77.4099792 28.6722086)",2,60,
