osmid,oneway,highway,reversed,length,geometry,lanes,name,tunnel,maxspeed,access
991536561,False,unclassified,True,20.701999999999998,"LINESTRING (77.5912356 12.9770696, 77.5912594 12.977159, 77.5913118 12.9772377)",,,,,
338941361,True,tertiary,False,256.913,"LINESTRING (77.5875011 12.9790803, 77.5874548 12.9792246, 77.5874507 12.9792654, 77.5874612 12.9794318, 77.5875468 12.9797967, 77.5875926 12.9798927, 77.5877153 12.9800189, 77.5878189 12.9801223, 77.5884093 12.9808066, 77.5884705 12.9809729, 77.5884906 12.9810529)",2,Devaraj Urs Road,,,
763048420,False,tertiary,True,151.77,"LINESTRING (77.5875011 12.9790803, 77.5875189 12.9788467, 77.5876739 12.9785461, 77.5877316 12.9784344, 77.5878114 12.9782785, 77.5879159 12.9780745, 77.5879501 12.9780078, 77.5880384 12.9778357)",2,Devaraj Urs Road,,,
"[763048420, 250717629, 250717622, 1267185583]",False,tertiary,"[False, True]",147.81000000000003,"LINESTRING (77.5886556 12.9766504, 77.5886288 12.9766967, 77.5886115 12.9767295, 77.5885618 12.9768238, 77.5885178 12.9769137, 77.588508 12.9769321, 77.5884165 12.977104, 77.5883811 12.9771692, 77.5883545 12.9772205, 77.5883434 12.9772414, 77.5880908 12.9777337, 77.5880384 12.9778357)",2,Devaraj Urs Road,yes,,
"[1109946345, 1249434050]",True,primary,False,262.45699999999994,"LINESTRING (77.5886556 12.9766504, 77.5886738 12.9766592, 77.5892519 12.9769382, 77.5896977 12.977199, 77.5900047 12.9773581, 77.5900878 12.9774012, 77.5901459 12.9774313, 77.5903399 12.97754, 77.5904949 12.9776579, 77.5905397 12.977692, 77.5906484 12.9778078, 77.5907097 12.9778731)","['2', '3']",Doctor B R Ambedkar Veedhi,,,
553253466,True,primary,False,53.824999999999996,"LINESTRING (77.5878338 12.9761026, 77.5876321 12.9759154, 77.5875705 12.9758825, 77.5875488 12.9758708, 77.5874362 12.9758222)",,Doctor B R Ambedkar Veedhi,,,
1240166718,True,primary_link,False,38.398,"LINESTRING (77.5878338 12.9761026, 77.587707 12.9760671, 77.587647 12.9760356, 77.5876221 12.9760316, 77.5876025 12.9760467, 77.587616 12.9760855, 77.5876611 12.976127)",1,,,,
"[52032736, 52032737, 52032735]",True,primary_link,False,185.081,"LINESTRING (77.5880916 12.9762644, 77.5876549 12.9757638, 77.5875061 12.9756226, 77.5868684 12.9751108)",,KR Circle Underpass,yes,,
553253466,True,primary,False,33.273,"LINESTRING (77.5880916 12.9762644, 77.5879477 12.9761834, 77.5878338 12.9761026)",,Doctor B R Ambedkar Veedhi,,,
991536561,False,unclassified,False,20.701999999999998,"LINESTRING (77.5913118 12.9772377, 77.5912594 12.977159, 77.5912356 12.9770696)",,,,,
991536562,True,unclassified,False,65.57199999999999,"LINESTRING (77.5913118 12.9772377, 77.5912287 12.9772826, 77.5909007 12.977562, 77.590887 12.9776001, 77.590877 12.9776308)",,,,,
358318632,True,primary,False,102.569,"LINESTRING (77.5870257 12.9759149, 77.5869627 12.9759753, 77.5869247 12.976007, 77.5865996 12.9762619, 77.5863652 12.9764441, 77.5862998 12.9765059)",2,Sheshadri Road,,,
1263537982,True,primary,False,22.565,"LINESTRING (77.5870257 12.9759149, 77.5870569 12.975979, 77.5871044 12.976026, 77.5871647 12.9760561)",2,,,,
363449251,False,unclassified,True,235.159,"LINESTRING (77.5901554 12.9749794, 77.5886658 12.9750757, 77.5885316 12.9751139, 77.5881377 12.9753258, 77.588061 12.9753671)",,,,25,yes
399001082,True,unclassified,False,30.344,"LINESTRING (77.5901554 12.9749794, 77.5901925 12.9750471, 77.5902301 12.9751164, 77.5902768 12.975225)",,,,25,yes
399001079,True,unclassified,False,32.957,"LINESTRING (77.5904594 12.9749832, 77.5903476 12.9749812, 77.590272 12.9749772, 77.5902228 12.9749781, 77.5901554 12.9749794)",,,,25,yes
358318638,True,tertiary,False,24.966,"LINESTRING (77.5887209 12.9810458, 77.5885771 12.9810502, 77.5884906 12.9810529)",,,,,
763048421,True,tertiary,False,262.645,"LINESTRING (77.5887209 12.9810458, 77.5887046 12.9809293, 77.5886089 12.9807924, 77.5880318 12.9801631, 77.587878 12.9799938, 77.5877103 12.9798192, 77.5876694 12.9797283, 77.5875887 12.9794079, 77.5875639 12.9792442, 77.5875011 12.9790803)",3,,,,
38542543,True,tertiary,False,56.073,"LINESTRING (77.5884906 12.9810529, 77.5883351 12.9811018, 77.5880015 12.9812175)",,,,,
"[150894905, 764332430]",True,primary,False,67.537,"LINESTRING (77.5866668 12.9764211, 77.5869344 12.9762237, 77.5869957 12.9761757, 77.5870202 12.9761583, 77.5870499 12.9761372, 77.5870972 12.9761077, 77.5871647 12.9760561)",4,"['Krishna Rajendra Circle', 'Sheshadri Road']",,,
391160980,True,primary_link,False,46.801,"LINESTRING (77.5862998 12.9765059, 77.5863044 12.9765362, 77.5863095 12.9765472, 77.5863196 12.976555, 77.586335 12.9765564, 77.5864167 12.9765242, 77.5865221 12.9764783, 77.5865717 12.97646, 77.5866668 12.9764211)",1,,,,
363449251,False,unclassified,False,235.159,"LINESTRING (77.588061 12.9753671, 77.5881377 12.9753258, 77.5885316 12.9751139, 77.5886658 12.9750757, 77.5901554 12.9749794)",,,,25,yes
"[1064628344, 1182221969]",True,unclassified,False,65.601,"LINESTRING (77.588061 12.9753671, 77.5880012 12.9753813, 77.5878229 12.9755146, 77.5876014 12.9756888, 77.5875959 12.975722)",,,,,yes
763048420,False,tertiary,False,151.77,"LINESTRING (77.5880384 12.9778357, 77.5879501 12.9780078, 77.5879159 12.9780745, 77.5878114 12.9782785, 77.5877316 12.9784344, 77.5876739 12.9785461, 77.5875189 12.9788467, 77.5875011 12.9790803)",2,Devaraj Urs Road,,,
"[763048420, 250717629, 250717622, 1267185583]",False,tertiary,"[False, True]",147.81000000000003,"LINESTRING (77.5880384 12.9778357, 77.5880908 12.9777337, 77.5883434 12.9772414, 77.5883545 12.9772205, 77.5883811 12.9771692, 77.5884165 12.977104, 77.588508 12.9769321, 77.5885178 12.9769137, 77.5885618 12.9768238, 77.5886115 12.9767295, 77.5886288 12.9766967, 77.5886556 12.9766504)",2,Devaraj Urs Road,yes,,
1096187527,False,residential,False,43.743,"LINESTRING (77.5880384 12.9778357, 77.5879897 12.9778172, 77.5876622 12.977693)",,,,,
1096187527,False,residential,True,43.743,"LINESTRING (77.5876622 12.977693, 77.5879897 12.9778172, 77.5880384 12.9778357)",,,,,
1091198033,False,unclassified,False,16.003,"LINESTRING (77.59079 12.9777471, 77.590877 12.9776308)",,,,,
1263537990,False,primary_link,True,16.492,"LINESTRING (77.59079 12.9777471, 77.5907097 12.9778731)",,,,,
"[553253465, 1109946346, 1109946347, 362206700]",True,primary,False,336.587,"LINESTRING (77.59079 12.9777471, 77.5905754 12.9775663, 77.5902948 12.9773859, 77.5899909 12.977223, 77.5892068 12.9768026, 77.5887427 12.9765662, 77.5887276 12.9765592, 77.5884398 12.9764248, 77.5883481 12.9763826, 77.5880916 12.9762644)",3,Doctor B R Ambedkar Veedhi,,,
1263537990,False,primary_link,False,16.492,"LINESTRING (77.5907097 12.9778731, 77.59079 12.9777471)",,,,,
"[1109946344, 1193542609]",True,primary,False,122.472,"LINESTRING (77.5876611 12.976127, 77.5882279 12.9764254, 77.5883107 12.9764689, 77.5886556 12.9766504)","['2', '3']",Doctor B R Ambedkar Veedhi,,,
1263537982,True,primary,False,15.78,"LINESTRING (77.5870766 12.9757166, 77.5870361 12.9757756, 77.5870184 12.9758444)",2,,,,
1263537982,True,primary,False,7.88,"LINESTRING (77.5871351 12.9756745, 77.5870766 12.9757166)",2,,,,
