osmid,highway,oneway,reversed,length,geometry,ref,name,bridge,maxspeed,tunnel,lanes
436521366,unclassified,False,True,55.579,"LINESTRING (80.646595 16.2394022, 80.6471155 16.2394123)",,,,,,
436671085,unclassified,False,True,4.544,"LINESTRING (80.646595 16.2394022, 80.6465528 16.2394075)",,,,,,
80252280,unclassified,False,True,39.590999999999994,"LINESTRING (80.646595 16.2394022, 80.6466027 16.2395667, 80.6465969 16.239758)",,,,,,
436677112,secondary,False,False,100.717,"LINESTRING (80.6495821 16.2381111, 80.6505255 16.238114)",MDR,Gandhi Chowk Road,,,,
436677113,secondary,False,False,84.785,"LINESTRING (80.6495821 16.2381111, 80.6496894 16.2388666)",,Nehru Road,,,,
848870806,secondary,False,True,76.325,"LINESTRING (80.6495821 16.2381111, 80.6495794 16.2374247)",MDR,Bose Road,,,,
97452670,tertiary,False,True,158.668,"LINESTRING (80.6495821 16.2381111, 80.6492219 16.2381451, 80.648108 16.2382915)",,Tenali Market Road,,,,
436520747,residential,False,False,54.333,"LINESTRING (80.6497948 16.2399467, 80.6503019 16.2399052)",,,,,,
436520752,residential,False,False,97.81,"LINESTRING (80.6497948 16.2399467, 80.6488914 16.2400931)",,,,,,
436677113,secondary,False,True,55.213,"LINESTRING (80.6497948 16.2399467, 80.6497598 16.2394513)",,Nehru Road,,,,
436677113,secondary,False,False,104.89200000000001,"LINESTRING (80.6497948 16.2399467, 80.6497962 16.2404634, 80.6498009 16.2405671, 80.6498422 16.2408234, 80.6498393 16.2408868)",,Nehru Road,,,,
436671086,unclassified,False,False,35.665,"LINESTRING (80.644632 16.239652, 80.6449634 16.2396115)",,,,,,
436671086,unclassified,False,True,24.254,"LINESTRING (80.644632 16.239652, 80.6444049 16.239646)",,,,,,
436670356,residential,False,True,100.211,"LINESTRING (80.644632 16.239652, 80.6446342 16.2394729, 80.6446586 16.2393109, 80.6446789 16.2392055, 80.6447338 16.2390084, 80.6447704 16.2388718, 80.6447984 16.2387691)",,,,,,
568673508,residential,False,True,53.823,"LINESTRING (80.6465969 16.239758, 80.647101 16.2397508)",,,,,,
80252280,unclassified,False,False,39.590999999999994,"LINESTRING (80.6465969 16.239758, 80.6466027 16.2395667, 80.646595 16.2394022)",,,,,,
80252280,unclassified,False,True,35.106,"LINESTRING (80.6465969 16.239758, 80.6465727 16.2398793, 80.6465531 16.2399992, 80.6465359 16.2400681)",,,,,,
664715526,tertiary,False,False,8.669,"LINESTRING (80.6443838 16.237916, 80.6444639 16.2379288)",,Tenali Market Road,,,,
80252277,primary,True,False,191.32999999999998,"LINESTRING (80.6443838 16.237916, 80.6442316 16.2386224, 80.6440668 16.2394285, 80.6440248 16.2396017)",SH316,Tenali - Mangalagiri Road,,,,
"[664715527, 664715528, 664715529, 664715530, 80253640]",primary,False,True,78.31099999999999,"LINESTRING (80.6443838 16.237916, 80.644321 16.2379023, 80.6441459 16.2378688, 80.6440332 16.2378485, 80.6437472 16.2377969, 80.6436647 16.2377776)",SH261,Tenali - Narakoduru Road,yes,,,
436507819,unclassified,False,True,49.004,"LINESTRING (80.6436647 16.2377776, 80.6436323 16.2382172)",,Yadla Lingiah bunk road,,,,
"[664715527, 80253640, 664715529, 664715530, 664715528]",primary,False,False,78.311,"LINESTRING (80.6436647 16.2377776, 80.6437472 16.2377969, 80.6440332 16.2378485, 80.6441459 16.2378688, 80.644321 16.2379023, 80.6443838 16.237916)",SH261,Tenali - Narakoduru Road,yes,,,
436509128,residential,False,True,74.95400000000001,"LINESTRING (80.6436647 16.2377776, 80.6435515 16.2377193, 80.6434884 16.237718, 80.6433824 16.2377141, 80.6432296 16.2377592, 80.6430203 16.2378184, 80.6429969 16.2378301)",,,,,,
