osmid,highway,oneway,reversed,length,geometry,lanes,name,maxspeed,junction,bridge
226823408,residential,False,False,82.355,"LINESTRING (78.0409745 30.324283, 78.0409361 30.3242546, 78.0409031 30.3242332, 78.0408475 30.3242069, 78.0406529 30.3241799, 78.040632 30.3241744, 78.0406201 30.3241695, 78.0404028 30.3240104, 78.0403799 30.323998, 78.0402312 30.3239502)",,,,,
498536082,primary,True,False,189.00200000000004,"LINESTRING (78.0409745 30.324283, 78.0408112 30.3243329, 78.0403212 30.3247829, 78.0398112 30.3251629, 78.0397198 30.3252157, 78.0394732 30.3253582)",2,Chakrata Road,80,,
47434023,primary,True,False,87.218,"LINESTRING (78.0425349 30.3227747, 78.0421932 30.3235015)",4,Gandhi Road,40,,
101476799,secondary,False,False,12.909,"LINESTRING (78.0425349 30.3227747, 78.0426512 30.322833)",,,,,
105690117,primary,True,False,5.849,"LINESTRING (78.0416696 30.3242374, 78.0416604 30.3242894)",2,,80,roundabout,
498536082,primary,True,False,66.909,"LINESTRING (78.0416696 30.3242374, 78.0409745 30.324283)",2,Chakrata Road,80,,
47434023,primary,True,False,37.787,"LINESTRING (78.0423504 30.3224745, 78.0425349 30.3227747)",4,Gandhi Road,40,,
226823417,residential,False,True,156.484,"LINESTRING (78.0423504 30.3224745, 78.0421182 30.3224443, 78.0414073 30.3224825, 78.0407287 30.322414)",,,,,
343145971,living_street,False,False,105.15499999999999,"LINESTRING (78.0423504 30.3224745, 78.0421168 30.3226623, 78.0418231 30.3229365, 78.0416313 30.3231175, 78.0415962 30.323159)",,Ghosi gali,,,
1095307478,trunk_link,False,True,7.332,"LINESTRING (78.0438182 30.3222544, 78.0438422 30.322317)",,,,,
1095307480,tertiary,True,False,88.12,"LINESTRING (78.0438182 30.3222544, 78.0429477 30.3225062)",,Cross Road,,,
101476800,tertiary,False,False,15.739,"LINESTRING (78.0455357 30.3216945, 78.0454344 30.3218058)",,Subhash Road,,,
101519483,tertiary,False,True,61.326,"LINESTRING (78.0477312 30.3268301, 78.0474355 30.3263412)",,Subhash Road,,,
101476802,residential,True,False,107.451,"LINESTRING (78.0477312 30.3268301, 78.0481829 30.3264883, 78.0483583 30.3263186, 78.0485084 30.3261403)",,,,,
101519483,tertiary,False,False,129.15699999999998,"LINESTRING (78.0477312 30.3268301, 78.0479113 30.3270914, 78.0480771 30.327293, 78.0483137 30.3275437, 78.0484242 30.3276626, 78.0485217 30.3277675)",,Subhash Road,,,
992384746,residential,False,False,131.18,"LINESTRING (78.0477312 30.3268301, 78.0474926 30.3270458, 78.0472955 30.3272075, 78.0469992 30.3274161, 78.0467124 30.3276137)",,,,,
715680090,primary,False,False,11.149,"LINESTRING (78.045704 30.3276504, 78.0456024 30.327699)",,Rajpur-mussoriee,,,
101476801,secondary,False,False,37.79,"LINESTRING (78.045704 30.3276504, 78.0458555 30.3275537, 78.0460123 30.3274393)",,Ugrasain Road,,,
712538516,primary,True,False,32.481,"LINESTRING (78.045704 30.3276504, 78.0455662 30.3274647, 78.0455215 30.3274044)",,Rajpur-Mussoorie Road,,,
101476801,secondary,False,True,144.94,"LINESTRING (78.0474355 30.3263412, 78.0463139 30.327214)",,Ugrasain Road,,,
101519483,tertiary,False,False,61.326,"LINESTRING (78.0474355 30.3263412, 78.0477312 30.3268301)",,Subhash Road,,,
101519486,secondary,True,False,106.241,"LINESTRING (78.0474355 30.3263412, 78.0475776 30.3262802, 78.0482446 30.3262119, 78.0485084 30.3261403)",,Ugrasain Road,,,
712539639,primary,True,False,106.846,"LINESTRING (78.0459656 30.3283289, 78.0466112 30.3291117)",,Rajpur-Mussoorie Road,,,
726126599,tertiary,False,True,56.896,"LINESTRING (78.0459656 30.3283289, 78.0454624 30.3285994)",,Neshvilla Road,,,
101476801,secondary,False,False,144.94,"LINESTRING (78.0463139 30.327214, 78.0474355 30.3263412)",,Ugrasain Road,,,
101476801,secondary,False,True,31.279,"LINESTRING (78.0463139 30.327214, 78.0460666 30.3273972)",,Ugrasain Road,,,
1121158712,residential,False,False,58.636,"LINESTRING (78.0463139 30.327214, 78.0467124 30.3276137)",,,,,
101517419,tertiary,False,False,24.882,"LINESTRING (78.0450633 30.3219106, 78.0448419 30.3217942)",,Patel Road,,,
1095307480,tertiary,True,False,24.209,"LINESTRING (78.0450633 30.3219106, 78.0449871 30.3219203, 78.0448152 30.3219495)",,Cross Road,,,
1150873560,tertiary,False,True,171.887,"LINESTRING (78.0454526 30.322092, 78.0454903 30.3224239, 78.0456032 30.3236323)",,Subhash Road,,,
1150873562,tertiary,True,False,42.90899999999999,"LINESTRING (78.0454526 30.322092, 78.0455021 30.3220695, 78.0455406 30.3220346, 78.0455641 30.3219908, 78.0455701 30.3219429, 78.0455581 30.3218958, 78.0455291 30.3218545, 78.0454864 30.3218234, 78.0454344 30.3218058)",,Subhash Road,,roundabout,
104353101,residential,False,False,10.158,"LINESTRING (78.0466112 30.3291117, 78.046692 30.3290527)",,,,,
712539639,primary,True,False,52.667,"LINESTRING (78.0466112 30.3291117, 78.0468553 30.3295359)",,Rajpur-Mussoorie Road,,,
101519483,tertiary,False,False,32.112,"LINESTRING (78.0485217 30.3277675, 78.0487538 30.3279755)",,Subhash Road,,,
104353101,residential,False,True,226.41,"LINESTRING (78.0485217 30.3277675, 78.046692 30.3290527)",,,,,
101519483,tertiary,False,True,129.157,"LINESTRING (78.0485217 30.3277675, 78.0484242 30.3276626, 78.0483137 30.3275437, 78.0480771 30.327293, 78.0479113 30.3270914, 78.0477312 30.3268301)",,Subhash Road,,,
726613466,primary,False,False,13.827,"LINESTRING (78.0420505 30.3244724, 78.0421444 30.3245667)",,Rajpur-Mussoorie Road,,,
105690117,primary,True,False,46.914,"LINESTRING (78.0420505 30.3244724, 78.042109 30.3244235, 78.042146 30.3243608, 78.0421577 30.3242913, 78.0421427 30.3242221, 78.0421026 30.3241609, 78.0420417 30.3241142)",2,,80,roundabout,
226823417,residential,False,False,31.735,"LINESTRING (78.0397492 30.3224171, 78.0399661 30.3222017)",,,,,
723120482,residential,False,False,94.001,"LINESTRING (78.0388788 30.3217299, 78.039527 30.3210962)",,,,,
"[105690330, 481202298]",residential,False,True,121.06099999999999,"LINESTRING (78.0388788 30.3217299, 78.03937 30.3221271, 78.0388083 30.3219764)",,"['Paltan Bazar', 'Moti Bazar Road']",,,
158894864,residential,False,True,149.511,"LINESTRING (78.0453005 30.3272354, 78.0441043 30.3280967)",,,,,
712538517,primary,True,False,59.157000000000004,"LINESTRING (78.0453005 30.3272354, 78.0455393 30.3275897, 78.0456024 30.327699)",,Rajpur-Mussoorie Road,,,
158894864,residential,False,False,50.641,"LINESTRING (78.0436991 30.3283884, 78.0441043 30.3280967)",,,,,
726763722,residential,False,False,10.474,"LINESTRING (78.0436991 30.3283884, 78.0436031 30.3283436)",,,,,
158894864,residential,False,True,116.668,"LINESTRING (78.0436991 30.3283884, 78.0438656 30.3285018, 78.0440265 30.3286106, 78.0441204 30.3286963, 78.0441901 30.3288074, 78.0442652 30.3291176, 78.0442866 30.3292448)",,,,,
226823420,residential,False,True,33.677,"LINESTRING (78.039527 30.3210962, 78.0397607 30.3213221)",2,Dispensary Road,,,
723120482,residential,False,True,94.001,"LINESTRING (78.039527 30.3210962, 78.0388788 30.3217299)",,,,,
226823420,residential,False,False,33.677,"LINESTRING (78.0397607 30.3213221, 78.039527 30.3210962)",2,Dispensary Road,,,
