osmid,name,highway,oneway,reversed,length,ref,bridge,geometry,lanes,access
370160288,Mahadev Road,unclassified,False,True,8.839,,,"LINESTRING (78.4315215 22.4712026, 78.4315778 22.4712627)",,
"[1260524681, 656565122, 1260524682]",,unclassified,False,True,478.381,SH41A,yes,"LINESTRING (78.4315215 22.4712026, 78.4315699 22.4713559, 78.4314858 22.471595, 78.431392 22.4718998, 78.4313241 22.4722105, 78.4312756 22.472593, 78.4313306 22.4729216, 78.4314696 22.4731547, 78.431641 22.4732384, 78.4318447 22.473334, 78.4320193 22.4734027, 78.4321584 22.4734445, 78.4323023 22.4735391, 78.4326504 22.4738393, 78.4328573 22.4739513, 78.4332309 22.474093, 78.4336101 22.4742259)",,
1252604089,Matkuli - Pachmarhi Highway,primary,False,False,342.25500000000005,SH41A,,"LINESTRING (78.4407966 22.477694, 78.4397082 22.4772088, 78.4382269 22.4765209, 78.4378175 22.4763177)",1,
329947345,Patel Road,residential,False,False,72.801,,,"LINESTRING (78.4355006 22.4725968, 78.4361839 22.4724237)",,
370160287,,residential,False,True,59.57,,,"LINESTRING (78.4355006 22.4725968, 78.4356599 22.4731119)",,
1240214750,Patel Road,residential,False,False,194.14,,,"LINESTRING (78.4355006 22.4725968, 78.4336453 22.4729271)",,
329947339,,residential,False,False,65.592,,,"LINESTRING (78.4336453 22.4729271, 78.4338187 22.4734948)",,
1240214750,Patel Road,residential,False,True,194.14,,,"LINESTRING (78.4336453 22.4729271, 78.4355006 22.4725968)",,
"[370160288, 1249299529, 1249299530]",Mahadev Road,unclassified,False,False,80.417,,yes,"LINESTRING (78.4336453 22.4729271, 78.4335769 22.4728546, 78.4332967 22.4726171, 78.4330486 22.472464)",,
329947338,,residential,False,False,32.595,,,"LINESTRING (78.4357887 22.4735286, 78.4354756 22.4735757)",,
370160287,,residential,False,False,48.188,,,"LINESTRING (78.4357887 22.4735286, 78.4356599 22.4731119)",,
1263375689,,residential,False,True,62.301,,,"LINESTRING (78.4357887 22.4735286, 78.4359726 22.473525, 78.4363949 22.4735167)",,
329947307,,residential,False,False,62.273,,,"LINESTRING (78.4374358 22.4736709, 78.4380355 22.4737518)",,
260819514,,residential,False,True,95.974,,,"LINESTRING (78.4374358 22.4736709, 78.4375297 22.4741911, 78.4375457 22.4745265)",,
329947307,,residential,False,True,104.389,,,"LINESTRING (78.4374358 22.4736709, 78.4372862 22.4732356, 78.4369736 22.4729264, 78.4369544 22.4728702)",,
1263375689,,residential,False,False,110.507,,,"LINESTRING (78.4374358 22.4736709, 78.4369858 22.4735051, 78.4363949 22.4735167)",,
260819514,,residential,False,False,23.741,,,"LINESTRING (78.4375558 22.4747398, 78.4375457 22.4745265)",,
260819514,,residential,False,True,25.267,,,"LINESTRING (78.4375558 22.4747398, 78.4374719 22.4749534)",,
1249289557,,residential,False,False,120.411,,,"LINESTRING (78.4375558 22.4747398, 78.4380355 22.4737518)",,
1252604089,Matkuli - Pachmarhi Highway,primary,False,False,10.596,SH41A,,"LINESTRING (78.4371355 22.4759672, 78.4370438 22.4759236)",1,
260819514,,residential,False,False,110.227,,,"LINESTRING (78.4371355 22.4759672, 78.4372677 22.4755695, 78.4374505 22.4750196)",,
1252604089,Matkuli - Pachmarhi Highway,primary,False,True,37.876,SH41A,,"LINESTRING (78.4371355 22.4759672, 78.4374167 22.4761158, 78.4374555 22.4761363)",1,
329947331,,unclassified,False,False,37.716,,,"LINESTRING (78.4375195 22.4697798, 78.4372797 22.469523)",,
329947331,,unclassified,False,True,325.26099999999997,,,"LINESTRING (78.4375195 22.4697798, 78.4378025 22.4700941, 78.43861 22.4704708, 78.4389164 22.4706028, 78.4394902 22.471037, 78.4397472 22.4712218, 78.4400354 22.4714953)",,
1263387619,,unclassified,False,True,36.67,,,"LINESTRING (78.4375195 22.4697798, 78.4373457 22.4697533, 78.4371729 22.4698022)",,
1260524718,,unclassified,False,False,22.937,,,"LINESTRING (78.4350903 22.4701091, 78.4352895 22.4702022)",,
329947344,,unclassified,False,True,205.96699999999998,,,"LINESTRING (78.4350903 22.4701091, 78.4345972 22.4706681, 78.4345175 22.4706935, 78.4340742 22.4706763, 78.4333863 22.4707745)",,
1260524718,,unclassified,False,True,98.324,,,"LINESTRING (78.4350903 22.4701091, 78.4344714 22.4697213, 78.4343101 22.4695983)",,
329947327,,unclassified,False,False,223.58100000000002,,,"LINESTRING (78.4333863 22.4707745, 78.4327944 22.4714172, 78.4326023 22.4714891, 78.4320466 22.4713356, 78.4315778 22.4712627)",,permit
329947330,,unclassified,False,False,192.954,,,"LINESTRING (78.4333863 22.4707745, 78.4330848 22.4716717, 78.4330572 22.4717819, 78.4330376 22.472175, 78.4330486 22.472464)",,permit
329947344,,unclassified,False,False,205.96699999999998,,,"LINESTRING (78.4333863 22.4707745, 78.4340742 22.4706763, 78.4345175 22.4706935, 78.4345972 22.4706681, 78.4350903 22.4701091)",,
370160288,Mahadev Road,unclassified,False,False,8.839,,,"LINESTRING (78.4315778 22.4712627, 78.4315215 22.4712026)",,
329947327,,unclassified,False,True,223.58099999999996,,,"LINESTRING (78.4315778 22.4712627, 78.4320466 22.4713356, 78.4326023 22.4714891, 78.4327944 22.4714172, 78.4333863 22.4707745)",,permit
370160288,Mahadev Road,unclassified,False,True,203.088,,,"LINESTRING (78.4315778 22.4712627, 78.4321474 22.4716334, 78.4328113 22.4723176, 78.4330486 22.472464)",,
329947331,,unclassified,False,False,325.261,,,"LINESTRING (78.4400354 22.4714953, 78.4397472 22.4712218, 78.4394902 22.471037, 78.4389164 22.4706028, 78.43861 22.4704708, 78.4378025 22.4700941, 78.4375195 22.4697798)",,
329947331,,unclassified,False,True,137.695,,,"LINESTRING (78.4400354 22.4714953, 78.4401653 22.4718024, 78.4401549 22.4723087, 78.4401653 22.4726781, 78.4401739 22.4727098)",,
329947345,Patel Road,residential,False,False,90.08699999999999,,,"LINESTRING (78.4384528 22.4719046, 78.4384025 22.4725386, 78.4382928 22.4726806)",,
329947345,Patel Road,residential,False,True,179.29399999999998,,,"LINESTRING (78.4384528 22.4719046, 78.4377973 22.472079, 78.4367631 22.4723053)",,
1263388629,,residential,False,False,35.19,,,"LINESTRING (78.4384528 22.4719046, 78.4384896 22.4718795, 78.438502 22.4718508, 78.4384675 22.4716096)",,
329947307,,residential,False,False,65.818,,,"LINESTRING (78.4367631 22.4723053, 78.4369544 22.4728702)",,
329947345,Patel Road,residential,False,True,60.952,,,"LINESTRING (78.4367631 22.4723053, 78.4361839 22.4724237)",,
329947345,Patel Road,residential,False,False,179.29399999999998,,,"LINESTRING (78.4367631 22.4723053, 78.4377973 22.472079, 78.4384528 22.4719046)",,
329947345,Patel Road,residential,False,True,90.08699999999999,,,"LINESTRING (78.4382928 22.4726806, 78.4384025 22.4725386, 78.4384528 22.4719046)",,
329947307,,residential,False,True,62.273,,,"LINESTRING (78.4380355 22.4737518, 78.4374358 22.4736709)",,
1249289557,,residential,False,True,120.411,,,"LINESTRING (78.4380355 22.4737518, 78.4375558 22.4747398)",,
329947307,,residential,False,False,228.407,,,"LINESTRING (78.4380355 22.4737518, 78.4386201 22.4739918, 78.4389576 22.4740885, 78.4396519 22.4741746, 78.4400785 22.4743824, 78.4401074 22.4744168)",,
329947339,,residential,False,False,63.656,,,"LINESTRING (78.433952 22.4738752, 78.4342287 22.4743874)",,
329947339,,residential,False,True,44.461,,,"LINESTRING (78.433952 22.4738752, 78.4338187 22.4734948)",,
329947338,,residential,False,True,160.204,,,"LINESTRING (78.433952 22.4738752, 78.434186 22.4738121, 78.4348797 22.4736652, 78.4354756 22.4735757)",,
1260524681,,unclassified,False,True,66.049,SH41A,,"LINESTRING (78.4336101 22.4742259, 78.4342287 22.4743874)",,
481818167,,residential,False,False,84.121,,,"LINESTRING (78.4336101 22.4742259, 78.433727 22.4737674, 78.4338187 22.4734948)",,
