osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,access,geometry,bridge
178782089,2,SH3,Nedumangad - Mancha Road,primary,80,False,True,26.707,,"LINESTRING (77.0027942 8.6033154, 77.0030253 8.6032414)",
22836710,,,,primary_link,50,True,False,54.42400000000001,yes,"LINESTRING (77.0027942 8.6033154, 77.0029039 8.6034891, 77.0029602 8.6035686, 77.0030576 8.6037296)",
150169358,2,SH3,Nedumangad - Shorlacode Road,primary,80,False,True,45.016,,"LINESTRING (77.0027942 8.6033154, 77.002606 8.6033196, 77.0023864 8.6032934)",
178782089,2,SH3,Nedumangad - Mancha Road,primary,80,False,False,32.842,,"LINESTRING (77.0032758 8.6030805, 77.0030253 8.6032414)",
27814172,,,Nedumangad Aruvikkara Road,tertiary,,False,False,420.13000000000005,,"LINESTRING (77.0032758 8.6030805, 77.0031924 8.6028409, 77.0033282 8.6027609, 77.0034382 8.6027105, 77.0036154 8.6026649, 77.0036903 8.6026548, 77.0037574 8.6026389, 77.0039103 8.6025938, 77.0041979 8.6023454, 77.0043495 8.6021166, 77.0046846 8.6018208, 77.0048761 8.6016946, 77.0050835 8.6017104, 77.0052072 8.6018326, 77.0053388 8.6018563, 77.0055144 8.601805, 77.0057258 8.6015368, 77.0058215 8.6012844, 77.0057818 8.6011472)",
178782089,2,SH3,Nedumangad - Mancha Road,primary,80,False,True,91.408,,"LINESTRING (77.0032758 8.6030805, 77.0033253 8.6030676, 77.0034361 8.603059, 77.0035435 8.6030813, 77.0037391 8.6032165, 77.0038776 8.6033312, 77.0040018 8.6033951)",
178782089,2,SH3,Nedumangad - Mancha Road,primary,80,False,False,91.408,,"LINESTRING (77.0040018 8.6033951, 77.0038776 8.6033312, 77.0037391 8.6032165, 77.0035435 8.6030813, 77.0034361 8.603059, 77.0033253 8.6030676, 77.0032758 8.6030805)",
178782089,2,SH3,Nedumangad - Mancha Road,primary,80,False,True,100.114,,"LINESTRING (77.0040018 8.6033951, 77.0046364 8.603461, 77.0049089 8.6034616)",
136631966,,,Surya Road,tertiary,,True,False,182.628,,"LINESTRING (77.0039914 8.604924, 77.0040516 8.6047822, 77.0040992 8.6044557, 77.0040841 8.6042666, 77.0040229 8.60413, 77.0039532 8.6040416, 77.0038579 8.6039181, 77.003856 8.6037945, 77.0038929 8.6036079, 77.0040018 8.6033951)",
679382418,,,Bus Station Entrance Road,residential,,True,False,194.479,permit,"LINESTRING (77.0039914 8.604924, 77.0040517 8.605093, 77.0040671 8.605218, 77.0040671 8.6053093, 77.0040579 8.6053794, 77.0040418 8.6054062, 77.0038527 8.6054818, 77.003319 8.6057125, 77.003205 8.6057403, 77.0031151 8.605743, 77.0030132 8.6057297, 77.0028576 8.6056661)",
