osmid,highway,oneway,reversed,length,geometry,ref
791502988,residential,False,False,87.18,"LINESTRING (76.8055808 24.2360164, 76.8058276 24.2356446, 76.805951 24.2355321, 76.8061387 24.2354489)",
791502989,residential,False,False,26.722,"LINESTRING (76.8055808 24.2360164, 76.8055379 24.236036, 76.8053234 24.2360555)",
791502988,residential,False,True,12.687,"LINESTRING (76.806246 24.2353902, 76.8061387 24.2354489)",
791502974,residential,False,True,113.25500000000001,"LINESTRING (76.806246 24.2353902, 76.8062943 24.2354, 76.8068361 24.2353755, 76.8069541 24.2353462, 76.8072331 24.2352386, 76.8073136 24.2351848)",
791502976,residential,False,True,41.127,"LINESTRING (76.806246 24.2353902, 76.8062675 24.2352973, 76.8063855 24.2351163, 76.8063962 24.2350527)",
791502975,residential,False,False,96.404,"LINESTRING (76.8063962 24.2350527, 76.8071526 24.2350918, 76.8072653 24.2351407, 76.8073136 24.2351848)",
791502976,residential,False,False,41.127,"LINESTRING (76.8063962 24.2350527, 76.8063855 24.2351163, 76.8062675 24.2352973, 76.806246 24.2353902)",
791502991,residential,False,False,118.895,"LINESTRING (76.8063962 24.2350527, 76.8059832 24.2350282, 76.8056291 24.2350918, 76.8052322 24.2351163)",
791502992,residential,False,False,57.19,"LINESTRING (76.8063962 24.2350527, 76.8064123 24.2349842, 76.8064123 24.2347347, 76.8063694 24.2345439)",
791502977,residential,False,False,60.455999999999996,"LINESTRING (76.8076247 24.2370486, 76.8076247 24.2371366, 76.8073994 24.2371758, 76.807217 24.2372394, 76.8071419 24.2372394)",
791502978,residential,False,False,62.44799999999999,"LINESTRING (76.8076247 24.2370486, 76.8073617 24.2370779, 76.8071257 24.2371464, 76.8071419 24.2372394)",
791502977,residential,False,True,83.84299999999999,"LINESTRING (76.8076247 24.2370486, 76.8076944 24.236579, 76.807394 24.2365203)",
791502978,residential,False,False,21.821,"LINESTRING (76.8071419 24.2372394, 76.8071579 24.2374351)",
