osmid,lanes,highway,oneway,reversed,length,name,geometry,bridge
115776343,2,tertiary,False,False,17.595,,"LINESTRING (78.3922231 27.1797122, 78.3922085 27.1798699)",
115776343,2,tertiary,False,True,20.466,,"LINESTRING (78.3922231 27.1797122, 78.3922524 27.17953)",
791647062,2,secondary,False,False,79.724,New Bypass Road,"LINESTRING (78.3922231 27.1797122, 78.3929794 27.1794644)",
791647062,2,secondary,False,True,81.213,New Bypass Road,"LINESTRING (78.3922231 27.1797122, 78.3914593 27.1799801)",
456120905,,residential,False,False,35.741,,"LINESTRING (78.3860898 27.1798741, 78.3862787 27.1801481)",
1084190676,,tertiary,False,False,29.359,,"LINESTRING (78.3860898 27.1798741, 78.3863502 27.1797474)",
1084190676,,tertiary,False,True,26.383,,"LINESTRING (78.3860898 27.1798741, 78.3858565 27.1799891)",
456120902,,residential,False,True,114.261,,"LINESTRING (78.3882657 27.1775197, 78.3892328 27.1769578)",
1084190676,,tertiary,False,True,20.047,,"LINESTRING (78.3882657 27.1775197, 78.3883544 27.1776818)",
1084190676,,tertiary,False,False,45.263999999999996,,"LINESTRING (78.3882657 27.1775197, 78.3881056 27.1772048, 78.3880741 27.1771501)",
456120904,,residential,False,False,24.614,,"LINESTRING (78.3876866 27.1765374, 78.3874673 27.176642)",
1084190676,,tertiary,False,False,153.086,,"LINESTRING (78.3876866 27.1765374, 78.3873809 27.1761187, 78.3870215 27.1755703, 78.3868848 27.1753603)",
1084190676,,tertiary,False,True,78.209,,"LINESTRING (78.3876866 27.1765374, 78.3879402 27.1769172, 78.3880741 27.1771501)",
456120900,,residential,False,False,8.241,,"LINESTRING (78.3930192 27.174668, 78.3929565 27.1746192)",
1084548118,2,tertiary,True,False,86.394,,"LINESTRING (78.3930192 27.174668, 78.3929433 27.1751388, 78.392893 27.1754368)",
456120901,,residential,False,False,107.982,,"LINESTRING (78.3927745 27.1761766, 78.3923697 27.1758571, 78.3921248 27.1756634, 78.391949 27.1755417)",
1084548118,2,tertiary,True,False,157.609,,"LINESTRING (78.3927745 27.1761766, 78.3926477 27.1769896, 78.3925774 27.1774402, 78.3925551 27.1775805)",
456120901,,residential,False,False,33.792,,"LINESTRING (78.3919182 27.1755203, 78.3916606 27.1753207)",
