osmid,oneway,ref,highway,reversed,length,geometry,lanes,name,access
22831888,True,NH167A,trunk,False,93.616,"LINESTRING (80.1646902 16.0960871, 80.1652139 16.0954121)",,,
680581940,False,,trunk_link,True,7.536,"LINESTRING (80.1646902 16.0960871, 80.164635 16.0960449)",,,
22832013,True,NH167A,trunk,False,30.863,"LINESTRING (80.1622952 16.0991362, 80.1624043 16.0990297, 80.1624902 16.0989317)",,,
176176657,True,NH16; NH167A,trunk,False,9.557,"LINESTRING (80.1656955 16.0948115, 80.1656605 16.0947324)",3,,
323834720,True,,primary,False,19.718,"LINESTRING (80.1656955 16.0948115, 80.1658035 16.0946677)",,chilakurupet paruchuru road,
484985007,False,NH167A,trunk,True,8.926,"LINESTRING (80.1656955 16.0948115, 80.1656384 16.0948701)",,chilakurupet paruchuru road,
176176658,True,NH16,trunk,False,8.843,"LINESTRING (80.1658598 16.0951455, 80.1658251 16.0950733)",3,,
279494378,False,,residential,False,16.152,"LINESTRING (80.1658598 16.0951455, 80.1660104 16.0951327)",,,
219017733,True,NH16,trunk,False,86.428,"LINESTRING (80.1677677 16.0989197, 80.1674178 16.0982189)",3,,
1057136006,True,,trunk_link,False,8.526,"LINESTRING (80.1677677 16.0989197, 80.1676911 16.0989412)",,,yes
732245612,False,,residential,True,109.366,"LINESTRING (80.1633903 16.0962415, 80.163785 16.097149)",,,
278816003,False,,residential,False,64.976,"LINESTRING (80.1633903 16.0962415, 80.1633672 16.096259, 80.1633324 16.0962697, 80.1628062 16.0963954)",,Water Tanks Rd,
279494371,False,,residential,True,111.45100000000001,"LINESTRING (80.1633903 16.0962415, 80.1633944 16.0962162, 80.1633904 16.0961923, 80.1630772 16.0952886)",,,
278816003,False,,residential,False,55.439,"LINESTRING (80.1625118 16.0964631, 80.1620049 16.0965698)",,Water Tanks Rd,
278816003,False,,residential,True,32.341,"LINESTRING (80.1625118 16.0964631, 80.1628062 16.0963954)",,Water Tanks Rd,
278816004,False,,residential,False,302.58799999999997,"LINESTRING (80.1625118 16.0964631, 80.1622203 16.0955108, 80.1616734 16.093864)",,,
278816003,False,,residential,False,39.775,"LINESTRING (80.1620049 16.0965698, 80.1616405 16.0966431)",,Water Tanks Rd,
278816003,False,,residential,True,55.439,"LINESTRING (80.1620049 16.0965698, 80.1625118 16.0964631)",,Water Tanks Rd,
278816007,False,,residential,False,196.401,"LINESTRING (80.1620049 16.0965698, 80.1616173 16.0956105, 80.1613438 16.0949217)",,,
279494317,False,,residential,True,52.876,"LINESTRING (80.1648875 16.0906265, 80.1650261 16.091083)",,,
279494289,False,,residential,True,121.51299999999999,"LINESTRING (80.1648875 16.0906265, 80.1638366 16.0909067, 80.1637919 16.0909198)",,Gurrala Chavidi St,
697190231,False,,residential,True,17.213,"LINESTRING (80.1637919 16.0909198, 80.1636328 16.0909442)",,Gurrala Chavidi St,
279494289,False,,residential,False,121.51299999999999,"LINESTRING (80.1637919 16.0909198, 80.1638366 16.0909067, 80.1648875 16.0906265)",,Gurrala Chavidi St,
323837548,False,,residential,True,32.95,"LINESTRING (80.1660311 16.090822, 80.1661058 16.0911095)",,,
279494387,False,,residential,True,111.238,"LINESTRING (80.1660311 16.090822, 80.1653268 16.0910118, 80.1650261 16.091083)",,,
279494371,False,,residential,False,46.303,"LINESTRING (80.1622784 16.0912351, 80.1623656 16.091643)",,,
680581924,False,,tertiary,False,29.908,"LINESTRING (80.1622784 16.0912351, 80.1625532 16.0911838)",,,
680581924,False,,tertiary,True,32.647,"LINESTRING (80.1622784 16.0912351, 80.1619784 16.0912909)",,,
680586890,False,,residential,True,47.287,"LINESTRING (80.1622784 16.0912351, 80.1622166 16.090814)",,,
279494343,False,,residential,False,39.447,"LINESTRING (80.1633202 16.0913947, 80.1634882 16.0917106)",,,
