osmid,name,highway,junction,oneway,reversed,length,geometry,bridge,maxspeed,lanes
26610044,Krishna Rajendra Circle,secondary,roundabout,True,False,20.422,"LINESTRING (76.6528659 12.3088097, 76.6528866 12.3088675, 76.6529226 12.3089176, 76.6529713 12.3089561)",,,
8285900,D. Devaraja Urs Road,tertiary,,True,False,28.186,"LINESTRING (76.6522481 12.3088737, 76.6525061 12.308847)",,,
193440377,Devaraja Urs Road,tertiary,,True,False,26.028,"LINESTRING (76.6522481 12.3088737, 76.6520087 12.3088645)",,,
26610012,Albert Victor Road,secondary,,True,False,253.16899999999998,"LINESTRING (76.6555851 12.3082485, 76.6554228 12.3082781, 76.6540403 12.3085315, 76.6539465 12.3085495, 76.6532963 12.3086764)",,,
26610092,New Statue Circle,secondary,roundabout,True,False,11.144,"LINESTRING (76.6555851 12.3082485, 76.6555851 12.3082986, 76.6555954 12.3083477)",,,
8285890,Sri Harsha Road,tertiary,,True,False,50.873,"LINESTRING (76.6560002 12.308951, 76.656462 12.3088752)",,,
8285892,Ashoka Road,secondary,,True,False,50.235,"LINESTRING (76.6560002 12.308951, 76.655917 12.3085066)",,,
728023990,,tertiary,,False,True,10.443,"LINESTRING (76.6560002 12.308951, 76.6559049 12.3089633)",,,
314269352,Chamaraja Double Road,primary,,True,False,105.35,"LINESTRING (76.6529818 12.3015419, 76.6520141 12.3014811)",,,
824731620,Sayyaji Rao Road,secondary,,False,False,8.867,"LINESTRING (76.6529818 12.3015419, 76.6529882 12.3016214)",,,
824731620,Sayyaji Rao Road,secondary,,False,True,43.055,"LINESTRING (76.6529818 12.3015419, 76.6529752 12.3014961, 76.6529264 12.3011585)",,,
22837906,Bangalore Nilgiri Road,primary,,True,False,84.888,"LINESTRING (76.6593976 12.3085463, 76.6593933 12.3085806, 76.6593137 12.3087721, 76.6591126 12.3092559)",,,
26610044,Krishna Rajendra Circle,secondary,roundabout,True,False,44.362,"LINESTRING (76.6530588 12.3089861, 76.6531268 12.3089849, 76.6531914 12.308964, 76.6532468 12.3089254, 76.653288 12.3088724, 76.6533113 12.3088099, 76.6533145 12.3087435)",,,
26610044,Krishna Rajendra Circle,secondary,roundabout,True,False,36.206,"LINESTRING (76.6530915 12.3085443, 76.6530254 12.308553, 76.6529648 12.3085801, 76.6529149 12.3086232, 76.6528799 12.3086786, 76.6528629 12.3087416)",,,
26610044,Krishna Rajendra Circle,secondary,roundabout,True,False,19.695,"LINESTRING (76.6532963 12.3086764, 76.6532648 12.3086261, 76.6532207 12.3085856, 76.6531673 12.308558)",,,
26610092,New Statue Circle,secondary,roundabout,True,False,72.72699999999999,"LINESTRING (76.6560706 12.3081855, 76.656028 12.3081151, 76.6559641 12.3080623, 76.6558861 12.3080329, 76.6558024 12.30803, 76.6557225 12.3080541, 76.655655 12.3081024, 76.6556075 12.3081697, 76.6555851 12.3082485)",,,
26610093,Albert Victor Road,secondary,,False,False,398.339,"LINESTRING (76.6560706 12.3081855, 76.6562552 12.3081377, 76.6596153 12.3072694)",,,
26610092,New Statue Circle,secondary,roundabout,True,False,43.815,"LINESTRING (76.655917 12.3085066, 76.6559882 12.3084695, 76.6560437 12.3084123, 76.6560778 12.3083409, 76.6560871 12.3082626, 76.6560706 12.3081855)",,,
26610093,Albert Victor Road,secondary,,False,True,32.728,"LINESTRING (76.6599137 12.307229, 76.6596153 12.3072694)",,,
826118154,,primary,,False,False,18.011,"LINESTRING (76.6560134 12.3012043, 76.6558801 12.3013006)",,,
"[826118154, 1074376530]",,primary,,False,True,79.015,"LINESTRING (76.6560134 12.3012043, 76.656393 12.3009503, 76.6564502 12.3009137, 76.6566331 12.3008375)",,,
26653920,,primary,,False,True,25.565,"LINESTRING (76.6551864 12.3016818, 76.6554043 12.301595)",,,
319512093,,primary,roundabout,True,False,17.845,"LINESTRING (76.6551864 12.3016818, 76.6551455 12.3016776, 76.655106 12.3016885, 76.6550735 12.301713, 76.6550526 12.3017475)",,,
230594200,,residential,,False,True,9.132,"LINESTRING (76.6520141 12.3014811, 76.6520216 12.3015629)",,,
314269352,Chamaraja Double Road,primary,,True,False,135.535,"LINESTRING (76.6520141 12.3014811, 76.6510217 12.3015825, 76.6507771 12.3016317)",,,
"[28275778, 824731622, 824731623]",Tyagaraja Road,residential,,False,True,55.102000000000004,"LINESTRING (76.6520141 12.3014811, 76.6519227 12.3012097, 76.6518921 12.3010875, 76.6518631 12.3010084)",yes,,
85568165,,residential,,True,False,93.297,"LINESTRING (76.6552513 12.3027228, 76.6551555 12.301889)",,,
28275804,,tertiary,,True,False,249.676,"LINESTRING (76.6552513 12.3027228, 76.6557273 12.3026967, 76.6565166 12.3026534, 76.657546 12.3025997)",,,
172599303,Harishchandra Road,tertiary,,False,False,20.434,"LINESTRING (76.6552513 12.3027228, 76.6551035 12.3027273, 76.6550633 12.3027285)",,,
28275806,Veeneseshanna Road,residential,,False,False,99.787,"LINESTRING (76.6529177 12.3028145, 76.6519997 12.3028441)",,,
319511468,Rachaiah Circle,secondary,roundabout,True,False,5.56,"LINESTRING (76.6529177 12.3028145, 76.6529334 12.302846, 76.6529447 12.3028561)",,,
28275780,,residential,,False,False,100.852,"LINESTRING (76.6545966 12.3012519, 76.6537523 12.3016289)",,,
824731617,Ramanuja Road,residential,,False,True,61.982,"LINESTRING (76.6545966 12.3012519, 76.6548697 12.3017413)",,60,
824731617,Ramanuja Road,residential,,False,False,58.374,"LINESTRING (76.6545966 12.3012519, 76.6545304 12.3010717, 76.6543997 12.3007636)",,60,
85564975,,primary,,True,False,122.038,"LINESTRING (76.6548697 12.3017413, 76.6537523 12.3016289)",,,
824731617,Ramanuja Road,residential,,False,False,61.982,"LINESTRING (76.6548697 12.3017413, 76.6545966 12.3012519)",,60,
28275780,,residential,,False,True,100.852,"LINESTRING (76.6537523 12.3016289, 76.6545966 12.3012519)",,,
85564975,,primary,,True,False,32.878,"LINESTRING (76.6537523 12.3016289, 76.6534517 12.3015947)",,,
193440380,,tertiary,,True,False,137.532,"LINESTRING (76.6515748 12.3065494, 76.6519078 12.3077427)",,,
235210803,Lakshmivilas Road,residential,,False,False,49.81,"LINESTRING (76.6515748 12.3065494, 76.6520283 12.3064835)",,,
