osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,tunnel
808059050,True,Station Road,primary,False,18.124,"LINESTRING (72.3903868 23.605157, 72.3903991 23.6049944)",,,
980453262,False,Para Road,secondary,False,86.344,"LINESTRING (72.3903023 23.6020063, 72.3911477 23.601953)",,,
226357436,False,Station Road,primary,True,185.68800000000005,"LINESTRING (72.3903023 23.6020063, 72.3902598 23.6019318, 72.3902035 23.6018815, 72.389998 23.6018171, 72.3899326 23.6017758, 72.3899066 23.6017266, 72.3898749 23.6012038, 72.3898725 23.601015, 72.3898897 23.6009462, 72.3899406 23.6008971, 72.3900108 23.6008686, 72.3902996 23.6008392)",,,
980453261,False,Station Road,primary,False,208.983,"LINESTRING (72.3903023 23.6020063, 72.3904261 23.6034877, 72.3904594 23.6038802)",,,
226357436,False,Station Road,primary,True,76.202,"LINESTRING (72.3902996 23.6008392, 72.3902869 23.600154)",,,
437560732,False,,residential,False,39.853,"LINESTRING (72.3902996 23.6008392, 72.3906904 23.6008248)",,,
226357436,False,Station Road,primary,False,185.68800000000002,"LINESTRING (72.3902996 23.6008392, 72.3900108 23.6008686, 72.3899406 23.6008971, 72.3898897 23.6009462, 72.3898725 23.601015, 72.3898749 23.6012038, 72.3899066 23.6017266, 72.3899326 23.6017758, 72.389998 23.6018171, 72.3902035 23.6018815, 72.3902598 23.6019318, 72.3903023 23.6020063)",,,
226357436,False,Station Road,primary,False,124.14500000000001,"LINESTRING (72.3905963 23.5992378, 72.3903805 23.5992807, 72.3903242 23.5993093, 72.3902893 23.5993609, 72.3902755 23.5994249, 72.3902869 23.600154)",,,
226357436,False,Station Road,primary,True,131.401,"LINESTRING (72.3905963 23.5992378, 72.3905629 23.5990791, 72.3904386 23.5987294, 72.3903715 23.598575, 72.390193 23.5982154, 72.3901519 23.5981325)",,,
808059051,True,Station Road,primary,False,124.91,"LINESTRING (72.3904594 23.6038802, 72.3903845 23.6040542, 72.390325 23.6049889)",,,
808073822,True,Visnagar Road,primary,False,86.406,"LINESTRING (72.3904594 23.6038802, 72.3906017 23.6039335, 72.390745 23.6039469, 72.3909391 23.60397, 72.3912741 23.6040763)",2,,
980453261,False,Station Road,primary,True,208.983,"LINESTRING (72.3904594 23.6038802, 72.3904261 23.6034877, 72.3903023 23.6020063)",,,
"[242098594, 242109444]",False,,residential,False,329.75,"LINESTRING (72.3864934 23.6040381, 72.3875127 23.6040331, 72.3877909 23.6040527, 72.3878384 23.6040547, 72.3878901 23.6040726, 72.3879839 23.6041168, 72.3880403 23.604166, 72.3880684 23.604252, 72.3880741 23.6043496, 72.3880666 23.6051233, 72.3880582 23.6055454, 72.3880417 23.6056747)",,,
242098594,False,,residential,True,237.561,"LINESTRING (72.3864934 23.6040381, 72.3858867 23.604308, 72.3857445 23.6044105, 72.3848822 23.6050321, 72.3845777 23.6052389)",,,
"[242098596, 1215931014]",False,,residential,True,254.18399999999997,"LINESTRING (72.3864934 23.6040381, 72.3857982 23.6040036, 72.3857812 23.6036589, 72.3856966 23.60366, 72.3854854 23.6036674, 72.3851729 23.6036702, 72.3848277 23.6036974, 72.3843625 23.603734)",,,
242098596,False,,residential,False,43.911,"LINESTRING (72.3833554 23.6035962, 72.3837652 23.6037184)",,,
"[1215931009, 1215931007]",False,,residential,"[False, True]",179.08099999999996,"LINESTRING (72.3833554 23.6035962, 72.383337 23.6027674, 72.383734 23.6027428, 72.3837554 23.6027281, 72.3841809 23.6026838)",,,
