osmid,oneway,lanes,name,highway,access,reversed,length,geometry,junction
97821820,False,2,Merchant Road,tertiary,yes,False,7.05,"LINESTRING (88.7240504 26.5278014, 88.7240769 26.5277426)",
97821820,False,2,Merchant Road,tertiary,yes,True,97.88300000000001,"LINESTRING (88.7240504 26.5278014, 88.7240209 26.5278446, 88.723978 26.527889, 88.7239176 26.527937, 88.723878 26.5279707, 88.7233339 26.5284011)",
843872468,False,,,tertiary,,False,5.104,"LINESTRING (88.715396 26.5237144, 88.7154431 26.5237326)",
843872468,False,,,tertiary,,True,23.808,"LINESTRING (88.715396 26.5237144, 88.7151948 26.5235985)",
841171043,False,,,residential,,True,14.937000000000001,"LINESTRING (88.715396 26.5237144, 88.7154425 26.5237469, 88.7155143 26.5237971)",
97821800,False,2,DBC Road,tertiary,yes,True,9.581,"LINESTRING (88.7219218 26.52448, 88.7218265 26.5244676)",
97821800,False,2,DBC Road,tertiary,yes,False,65.496,"LINESTRING (88.7219218 26.52448, 88.7223526 26.5245424, 88.722572 26.5245721)",
841114983,False,,,residential,,False,147.838,"LINESTRING (88.7219218 26.52448, 88.7218275 26.5253211, 88.7217735 26.5258029)",
841114983,False,,,residential,,False,61.645,"LINESTRING (88.7216137 26.5274265, 88.7216028 26.5279808)",
841114983,False,,,residential,,True,42.046,"LINESTRING (88.7216137 26.5274265, 88.7216339 26.5270488)",
841171042,False,,,residential,,False,218.64999999999998,"LINESTRING (88.7216137 26.5274265, 88.7212762 26.5273924, 88.7212277 26.5274039, 88.7211639 26.5274472, 88.7210261 26.5275089, 88.7209419 26.5275249, 88.7208271 26.5275226, 88.7206918 26.5274997, 88.7199576 26.5273727, 88.719478 26.5272953)",
97821820,False,2,Merchant Road,tertiary,yes,True,11.589,"LINESTRING (88.7233339 26.5284011, 88.7232554 26.5284781)",
841114984,False,,,residential,,False,49.585,"LINESTRING (88.7233339 26.5284011, 88.7228819 26.5282132)",
97821820,False,2,Merchant Road,tertiary,yes,False,97.88300000000001,"LINESTRING (88.7233339 26.5284011, 88.723878 26.5279707, 88.7239176 26.527937, 88.723978 26.527889, 88.7240209 26.5278446, 88.7240504 26.5278014)",
841114983,False,,,residential,,True,61.645,"LINESTRING (88.7216028 26.5279808, 88.7216137 26.5274265)",
841114984,False,,,residential,,True,82.289,"LINESTRING (88.7216028 26.5279808, 88.7218804 26.5280002, 88.7221777 26.5280382, 88.7224203 26.5280858)",
841114985,False,,,living_street,,False,59.357,"LINESTRING (88.7222062 26.5284493, 88.7223741 26.5284662, 88.7224203 26.5280858)",
841114984,False,,,residential,,False,82.289,"LINESTRING (88.7224203 26.5280858, 88.7221777 26.5280382, 88.7218804 26.5280002, 88.7216028 26.5279808)",
841114984,False,,,residential,,True,48.147,"LINESTRING (88.7224203 26.5280858, 88.7225157 26.5281045, 88.7227033 26.5281513, 88.7228819 26.5282132)",
841114985,False,,,living_street,,True,59.357,"LINESTRING (88.7224203 26.5280858, 88.7223741 26.5284662, 88.7222062 26.5284493)",
841114987,False,,,residential,,False,47.595,"LINESTRING (88.7230262 26.5278051, 88.7228819 26.5282132)",
841114984,False,,,residential,,True,49.585,"LINESTRING (88.7228819 26.5282132, 88.7233339 26.5284011)",
841114987,False,,,residential,,True,47.595,"LINESTRING (88.7228819 26.5282132, 88.7230262 26.5278051)",
841114984,False,,,residential,,False,48.147,"LINESTRING (88.7228819 26.5282132, 88.7227033 26.5281513, 88.7225157 26.5281045, 88.7224203 26.5280858)",
97821820,False,2,Merchant Road,tertiary,yes,False,11.589,"LINESTRING (88.7232554 26.5284781, 88.7233339 26.5284011)",
97821820,False,2,Merchant Road,tertiary,yes,True,7.05,"LINESTRING (88.7240769 26.5277426, 88.7240504 26.5278014)",
841128583,False,,,residential,,True,26.161,"LINESTRING (88.7240769 26.5277426, 88.7242649 26.5279071)",
97821820,False,2,Merchant Road,tertiary,yes,False,46.33,"LINESTRING (88.7240769 26.5277426, 88.724113 26.5276537, 88.724239 26.527352)",
841128583,False,,,residential,,False,26.161,"LINESTRING (88.7242649 26.5279071, 88.7240769 26.5277426)",
841128583,False,,,residential,,True,22.106,"LINESTRING (88.7242649 26.5279071, 88.7244364 26.5280335)",
841128583,False,,,residential,,False,22.106,"LINESTRING (88.7244364 26.5280335, 88.7242649 26.5279071)",
841128583,False,,,residential,,True,24.272,"LINESTRING (88.7244364 26.5280335, 88.7246247 26.5281723)",
841128583,False,,,residential,,False,24.272,"LINESTRING (88.7246247 26.5281723, 88.7244364 26.5280335)",
852706884,False,2,,secondary,,True,52.032,"LINESTRING (88.7195621 26.5213821, 88.7195198 26.5209157)",
841141476,False,,,residential,,False,218.79200000000003,"LINESTRING (88.7195621 26.5213821, 88.7202237 26.5211582, 88.7207627 26.5209394, 88.7209152 26.5208679, 88.7210923 26.5207731, 88.7215165 26.520502)",
"[852706884, 1204132599]",False,2,Kadamtala Road,secondary,,False,18.708,"LINESTRING (88.7195621 26.5213821, 88.7195704 26.5214756, 88.7195773 26.5215498)",
22833150,False,2,Kadamtala Road,secondary,,False,35.847,"LINESTRING (88.719478 26.5272953, 88.719423 26.5276139)",
22833150,False,2,Kadamtala Road,secondary,,True,83.806,"LINESTRING (88.719478 26.5272953, 88.7196167 26.5265519)",
841171042,False,,,residential,,True,218.65,"LINESTRING (88.719478 26.5272953, 88.7199576 26.5273727, 88.7206918 26.5274997, 88.7208271 26.5275226, 88.7209419 26.5275249, 88.7210261 26.5275089, 88.7211639 26.5274472, 88.7212277 26.5274039, 88.7212762 26.5273924, 88.7216137 26.5274265)",
22833150,False,2,Kadamtala Road,secondary,,False,94.5,"LINESTRING (88.7198587 26.5252221, 88.7197409 26.5258925, 88.7197088 26.5260613)",
22833150,False,2,Kadamtala Road,secondary,,True,64.651,"LINESTRING (88.7198587 26.5252221, 88.7198739 26.5251065, 88.7198784 26.5249861, 88.7198796 26.5248016, 88.7198696 26.5246418)",
