osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,access
478006903,TB ROAD,unclassified,False,True,87.623,"LINESTRING (76.2403537 11.1953872, 76.2401902 11.1953821, 76.2401798 11.1953515, 76.2401565 11.1952548, 76.2400397 11.1951301, 76.2400138 11.1950563, 76.2398633 11.1950257, 76.2397799 11.1949722)",,,,
478006899,C.H. Byepass Road,tertiary,False,True,311.959,"LINESTRING (76.2411862 11.1936376, 76.2409656 11.1935786, 76.2403863 11.1935312, 76.2394514 11.1935888, 76.2388896 11.1936207, 76.2383432 11.1936862)",,,,
718218590,,unclassified,False,False,211.261,"LINESTRING (76.2330743 11.1927252, 76.2332243 11.1927743, 76.2336617 11.1928479, 76.2338534 11.1928846, 76.2338284 11.1930032, 76.2337992 11.1931503, 76.2338409 11.1934732, 76.2339185 11.193989)",,,,
892173715,,unclassified,False,True,35.181,"LINESTRING (76.2391182 11.1960472, 76.2394262 11.1959533)",,,,
806898056,Edavanna Wandoor Road,secondary,False,False,95.53399999999999,"LINESTRING (76.2327176 11.1966958, 76.2328663 11.1966262, 76.2332962 11.1963818, 76.2334927 11.1962982)",,,,
934211946,,residential,False,False,49.096999999999994,"LINESTRING (76.2327176 11.1966958, 76.2327031 11.1966396, 76.2326571 11.1965945, 76.2326076 11.1965233, 76.2326058 11.1964782, 76.2325793 11.1964469, 76.232558 11.1964209, 76.2325315 11.1963983, 76.2325014 11.1963567, 76.2324855 11.1963323)",,,,
934211946,,residential,False,True,49.097,"LINESTRING (76.2324855 11.1963323, 76.2325014 11.1963567, 76.2325315 11.1963983, 76.232558 11.1964209, 76.2325793 11.1964469, 76.2326058 11.1964782, 76.2326076 11.1965233, 76.2326571 11.1965945, 76.2327031 11.1966396, 76.2327176 11.1966958)",,,,
478006908,,residential,False,True,44.255,"LINESTRING (76.2332743 11.1958617, 76.2330475 11.1955317)",,,,
478006908,,residential,False,False,54.102,"LINESTRING (76.2332743 11.1958617, 76.2332915 11.1958867, 76.2334927 11.1962982)",,,,
934245356,,residential,False,False,78.39699999999999,"LINESTRING (76.2332743 11.1958617, 76.2334118 11.1957644, 76.2335154 11.195703, 76.2336527 11.1956794, 76.2337466 11.1955849, 76.2339008 11.1955872)",,,,
934245356,,residential,False,True,78.39699999999999,"LINESTRING (76.2339008 11.1955872, 76.2337466 11.1955849, 76.2336527 11.1956794, 76.2335154 11.195703, 76.2334118 11.1957644, 76.2332743 11.1958617)",,,,
478006909,Nilambur-Manjeri Road Connection,tertiary,False,False,213.069,"LINESTRING (76.2340612 11.1980384, 76.2340679 11.198116, 76.2340119 11.1984413, 76.2339792 11.198904, 76.2339232 11.1992705, 76.2339325 11.1999189, 76.2339268 11.1999438)",,,,
478006909,Nilambur-Manjeri Road Connection,tertiary,False,True,205.67000000000002,"LINESTRING (76.2340612 11.1980384, 76.2340306 11.1976818, 76.2340145 11.1976066, 76.2339512 11.1973108, 76.2338251 11.196871, 76.2335338 11.1962807)",,,,
478006909,Nilambur-Manjeri Road Connection,tertiary,False,True,213.069,"LINESTRING (76.2339268 11.1999438, 76.2339325 11.1999189, 76.2339232 11.1992705, 76.2339792 11.198904, 76.2340119 11.1984413, 76.2340679 11.198116, 76.2340612 11.1980384)",,,,
934300971,,unclassified,False,False,65.417,"LINESTRING (76.2339268 11.1999438, 76.2337232 11.1998955, 76.2334869 11.1998775, 76.2333456 11.1998193)",,,,
