osmid,ref,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge
1058248106,NH167,trunk,False,False,86.211,"LINESTRING (79.8720201 16.9019552, 79.8726917 16.9015214)",,,
77583568,,residential,False,False,183.046,"LINESTRING (79.8720201 16.9019552, 79.8719207 16.9017164, 79.8717339 16.9012652, 79.8713976 16.9004206)",,,
1058248106,NH167,trunk,False,True,125.231,"LINESTRING (79.8720201 16.9019552, 79.8714109 16.902342, 79.871038 16.902576)",,,
77583568,,residential,False,False,21.063,"LINESTRING (79.8713976 16.9004206, 79.8713565 16.9002353)",,,
318605911,,residential,False,True,48.205,"LINESTRING (79.8713976 16.9004206, 79.8718151 16.9002522)",,,
77583568,,residential,False,True,183.046,"LINESTRING (79.8713976 16.9004206, 79.8717339 16.9012652, 79.8719207 16.9017164, 79.8720201 16.9019552)",,,
318605893,,residential,False,False,48.041,"LINESTRING (79.8708963 16.8979447, 79.8713143 16.8977813)",,,
77583568,,residential,False,True,197.476,"LINESTRING (79.8708963 16.8979447, 79.8709086 16.8980596, 79.8711914 16.89935, 79.8712509 16.8996872)",,,
318605904,,residential,False,False,76.66,"LINESTRING (79.8708963 16.8979447, 79.870817 16.8976618, 79.8707133 16.8972779)",,,
318605893,,residential,False,True,45.948,"LINESTRING (79.871722 16.897645, 79.8713143 16.8977813)",,,
318605894,,residential,False,True,193.618,"LINESTRING (79.871722 16.897645, 79.872169 16.8993329)",,,
312734476,,residential,False,False,73.642,"LINESTRING (79.871722 16.897645, 79.8716519 16.8974435, 79.8717012 16.8973727, 79.8715965 16.8970219)",,,
390977882,,secondary,False,False,91.913,"LINESTRING (79.8738095 16.8987934, 79.8739665 16.8991301, 79.8741614 16.8995483)",,,
390977882,,secondary,False,True,209.562,"LINESTRING (79.8738095 16.8987934, 79.8736248 16.8982934, 79.8732824 16.8969793)",,,
1193927311,,residential,False,False,74.43900000000001,"LINESTRING (79.8738095 16.8987934, 79.8740507 16.8986495, 79.8744513 16.8985443)",,,
1058248104,NH167,trunk,False,True,6.059,"LINESTRING (79.876463 16.9040961, 79.8764383 16.904047)",,,
1058248103,,residential,False,False,182.05900000000003,"LINESTRING (79.876463 16.9040961, 79.8780235 16.9035554, 79.8780722 16.9035392)",,,
318605896,,residential,False,False,32.759,"LINESTRING (79.8715965 16.8970219, 79.8718919 16.8969388)",,,
318605909,,residential,False,True,6.326,"LINESTRING (79.8715965 16.8970219, 79.8715396 16.8970384)",,,
312734476,,residential,False,True,73.642,"LINESTRING (79.8715965 16.8970219, 79.8717012 16.8973727, 79.8716519 16.8974435, 79.871722 16.897645)",,,
318605896,,residential,False,True,142.462,"LINESTRING (79.8731904 16.8966261, 79.8718919 16.8969388)",,,
390977882,,secondary,False,False,40.476,"LINESTRING (79.8731904 16.8966261, 79.8732824 16.8969793)",,,
318605904,,residential,False,True,127.372,"LINESTRING (79.870378 16.8961787, 79.8705819 16.896792, 79.8707133 16.8972779)",,,
318605896,,residential,False,False,142.462,"LINESTRING (79.8718919 16.8969388, 79.8731904 16.8966261)",,,
318605896,,residential,False,True,32.759,"LINESTRING (79.8718919 16.8969388, 79.8715965 16.8970219)",,,
318605903,,residential,False,False,164.268,"LINESTRING (79.8718919 16.8969388, 79.8721222 16.8977432, 79.872271 16.8983705)",,,
318605914,,residential,False,False,21.042,"LINESTRING (79.8700929 16.8969712, 79.8698987 16.897007)",,,
318605882,,residential,False,False,40.848,"LINESTRING (79.8700929 16.8969712, 79.8700663 16.8973035, 79.8700638 16.8973375)",,,
318605909,,residential,False,False,6.326,"LINESTRING (79.8715396 16.8970384, 79.8715965 16.8970219)",,,
