osmid,oneway,highway,reversed,length,ref,name,geometry,bridge,lanes
1006126017,True,trunk,False,15.274,,,"LINESTRING (77.3458209 11.1037792, 77.3459389 11.1037053)",,
1092633871,True,trunk,False,29.786,NH381,Avinashi - Tirupur - Palladam - Pollachi,"LINESTRING (77.3458209 11.1037792, 77.3459545 11.1035456)",,
130375573,False,secondary,False,34.094,,State Highway 172,"LINESTRING (77.3486871 11.1018016, 77.3489966 11.1018437)",,
170314409,False,residential,True,58.629,,,"LINESTRING (77.3486871 11.1018016, 77.348623 11.1023251)",,
1006126019,False,secondary,False,77.423,,,"LINESTRING (77.3486871 11.1018016, 77.3480112 11.1015897)",,
130375573,False,secondary,True,34.094,,State Highway 172,"LINESTRING (77.3489966 11.1018437, 77.3486871 11.1018016)",,
169432246,False,residential,True,44.792,,,"LINESTRING (77.3489966 11.1018437, 77.3490545 11.1014449)",,
170314409,False,residential,False,55.312,,,"LINESTRING (77.3484499 11.1037141, 77.3485135 11.1032206)",,
130375575,False,residential,False,247.469,,,"LINESTRING (77.3484499 11.1037141, 77.3472995 11.1032916, 77.3466145 11.1028326, 77.3464386 11.1027197)",,
"[170209672, 454559937, 454559938]",True,trunk,False,290.276,NH381,"['Avinashi - Tiruppur - Avinashipalayam Road', 'Municipal Office Road']","LINESTRING (77.3465766 11.1010948, 77.3465475 11.1011162, 77.3465274 11.1011406, 77.34651 11.1011754, 77.3464575 11.1013236, 77.3463756 11.1015836, 77.346341 11.1017045, 77.3463196 11.1018111, 77.3463209 11.1019157, 77.3463236 11.1020256, 77.3463456 11.1023632, 77.3463713 11.1027142, 77.3463665 11.1027915, 77.3463491 11.1028691, 77.3463096 11.1029513, 77.3460091 11.1034548, 77.3459545 11.1035456)",yes,
299134584,False,tertiary,True,86.93,,,"LINESTRING (77.3465766 11.1010948, 77.346626 11.1009754, 77.346868 11.1003672)",,
454559940,True,primary,False,63.295,SH169,Tiruppur - Somanur Road,"LINESTRING (77.3465766 11.1010948, 77.3464396 11.1009754, 77.3461727 11.1006872)",,2
165586537,True,trunk,False,15.348,NH381,Avinashi - Tirupur - Palladam - Pollachi,"LINESTRING (77.3443274 11.1050203, 77.344444 11.1049431)",,
166227197,False,tertiary,False,64.9,,Court St,"LINESTRING (77.3443274 11.1050203, 77.3443184 11.1051789, 77.3443017 11.1056034)",,
169432251,False,tertiary,False,6.334,,,"LINESTRING (77.3411307 11.0985846, 77.3411861 11.0985676)",,
954525099,False,primary,False,33.356,SH169,Tiruppur - Somanur Road,"LINESTRING (77.3411307 11.0985846, 77.3413384 11.0988047)",,2
954525099,False,primary,True,30.196,SH169,Tiruppur - Somanur Road,"LINESTRING (77.3411307 11.0985846, 77.3408718 11.0984887)",,2
954525099,False,primary,True,35.812,SH169,Tiruppur - Somanur Road,"LINESTRING (77.3415614 11.099041, 77.3413384 11.0988047)",,2
165586540,True,secondary,False,121.86599999999999,,,"LINESTRING (77.3415614 11.099041, 77.3414702 11.0991989, 77.3413077 11.0995322, 77.3409305 11.0999322)",,
454559960,True,secondary,False,72.086,,,"LINESTRING (77.3410866 11.1045638, 77.3411055 11.1047788, 77.3411367 11.1052102)",,
165586536,True,tertiary,False,269.765,,Park Road,"LINESTRING (77.3459545 11.1035456, 77.3457664 11.1035087, 77.3456019 11.1034433, 77.345423 11.1033745, 77.345224 11.103322, 77.3446996 11.1034194, 77.3435554 11.1036643)",,
1006126013,True,tertiary,False,149.523,,Valam Road,"LINESTRING (77.3473219 11.1040495, 77.3462036 11.103564, 77.3460676 11.103508)",,
166227198,False,residential,False,26.822,,,"LINESTRING (77.3469744 11.1059663, 77.3469848 11.1062073)",,
166227198,False,residential,True,81.991,,,"LINESTRING (77.3469744 11.1059663, 77.3470729 11.1052353)",,
992355916,False,residential,True,63.605000000000004,,,"LINESTRING (77.3469744 11.1059663, 77.3468071 11.1058834, 77.3467105 11.1058834, 77.3464155 11.1058361)",,
454559960,True,secondary,False,49.138,,,"LINESTRING (77.3411367 11.1052102, 77.3411686 11.105651)",,
169432248,False,tertiary,False,38.006,,,"LINESTRING (77.3425858 11.098204, 77.342569 11.0978626)",,
169432248,False,tertiary,True,49.708,,,"LINESTRING (77.3425858 11.098204, 77.3426813 11.0986411)",,
169432251,False,tertiary,False,49.576,,,"LINESTRING (77.3425858 11.098204, 77.3430394 11.0981785)",,
169432251,False,tertiary,True,158.045,,,"LINESTRING (77.3425858 11.098204, 77.3415655 11.0984516, 77.3411861 11.0985676)",,
