osmid,oneway,ref,highway,reversed,length,lanes,maxspeed,geometry,name,tunnel
159001753,False,SH76,primary,True,44.792,,,"LINESTRING (75.9733861 13.5981477, 75.9736485 13.5984595)",,
203111924,False,NH69,trunk,False,1.117,2,50,"LINESTRING (75.9733861 13.5981477, 75.9733938 13.598141)",,
203111924,False,NH69,trunk,True,267.253,2,50,"LINESTRING (75.9733861 13.5981477, 75.9716247 13.5998346)",,
595975116,False,,tertiary,True,121.238,,,"LINESTRING (75.9733861 13.5981477, 75.9723956 13.5976359)",,
159001753,False,SH76,primary,True,17.23,,,"LINESTRING (75.9757927 13.6028492, 75.9756489 13.6029161)",,
159001753,False,SH76,primary,False,116.86800000000001,,,"LINESTRING (75.9757927 13.6028492, 75.9759744 13.6026779, 75.9760286 13.6023931, 75.975968 13.6020547, 75.9758999 13.6018961)",,
159001753,False,SH76,primary,False,27.56,,,"LINESTRING (75.9755433 13.6012127, 75.9754059 13.6010039)",,
159001753,False,SH76,primary,True,35.456,,,"LINESTRING (75.9755433 13.6012127, 75.9756751 13.6015047)",,
"[983189167, 986245495]",False,,residential,False,198.365,,,"LINESTRING (75.9755433 13.6012127, 75.9762933 13.6012668, 75.976643 13.6012704, 75.9769717 13.6013127, 75.9769744 13.6011264, 75.9769795 13.600922)",,
986245495,False,,residential,True,72.364,,,"LINESTRING (75.9755433 13.6012127, 75.9751475 13.6012544, 75.9749866 13.6012701, 75.9748856 13.6013118)",,
203111924,False,NH69,trunk,False,10.047,2,50,"LINESTRING (75.9690968 13.6023439, 75.9691618 13.6022793)",,
181999176,False,,residential,False,13.899,,,"LINESTRING (75.9723652 13.5999079, 75.9724935 13.5999165)",Old Ajjampura Road,
181999176,False,,residential,True,23.992,,,"LINESTRING (75.9723652 13.5999079, 75.9721462 13.5998726)",Old Ajjampura Road,
986593755,False,,residential,False,42.744,,,"LINESTRING (75.9723652 13.5999079, 75.9723782 13.6002921)",,
159001753,False,SH76,primary,False,17.23,,,"LINESTRING (75.9756489 13.6029161, 75.9757927 13.6028492)",,
159001753,False,SH76,primary,True,35.629000000000005,,,"LINESTRING (75.9756489 13.6029161, 75.9756061 13.6030732, 75.9756119 13.603231)",,
181999176,False,,residential,True,65.832,,,"LINESTRING (75.9756489 13.6029161, 75.9755591 13.6026367, 75.9754533 13.6023556)",Old Ajjampura Road,
309165227,False,,residential,False,93.035,,,"LINESTRING (75.9756489 13.6029161, 75.9755793 13.6028297, 75.9748363 13.602913)",,
309165227,False,,residential,True,74.182,,,"LINESTRING (75.9720758 13.6028393, 75.9727603 13.6028887)",,
309165227,False,,residential,False,116.60899999999998,,,"LINESTRING (75.9720758 13.6028393, 75.9719717 13.6027046, 75.9717154 13.6024933, 75.9715479 13.6024178, 75.9712636 13.6023709, 75.9711671 13.6023683)",,
