osmid,ref,highway,oneway,reversed,length,geometry,name,bridge,maxspeed,lanes
1026683823,NH114,trunk,False,False,92.63700000000001,"LINESTRING (87.6978225 23.6589868, 87.6978466 23.6590691, 87.6978506 23.6591563, 87.6978493 23.6592681, 87.6978305 23.65944, 87.6977983 23.6596194, 87.6977634 23.659811)",,,,
1026683823,NH114,trunk,False,True,30.043999999999997,"LINESTRING (87.6978225 23.6589868, 87.6977728 23.6588996, 87.6977259 23.6588295, 87.6976722 23.6587546)",,,,
1050287728,,residential,False,False,108.436,"LINESTRING (87.6978225 23.6589868, 87.6979163 23.6588847, 87.6979995 23.6587385, 87.6983428 23.6581391)",,,,
176019564,,secondary,False,False,32.925,"LINESTRING (87.6974915 23.6617795, 87.6978096 23.6618323)",,,,
1026683823,NH114,trunk,False,False,31.953,"LINESTRING (87.6974915 23.6617795, 87.6974718 23.6618163, 87.6974389 23.6618734, 87.6973209 23.6620196)",,,,
1026683823,NH114,trunk,False,True,110.364,"LINESTRING (87.6974915 23.6617795, 87.6975113 23.6617082, 87.6975261 23.6615897, 87.6975475 23.6614472, 87.6976079 23.6611978, 87.6976414 23.6607986)",,,,
231429622,SH9,primary,False,True,103.793,"LINESTRING (87.6973209 23.6620196, 87.6971963 23.662033, 87.6964041 23.6624118)",Bolpur - Sriniketan Road,,,
1026683823,NH114,trunk,False,False,95.441,"LINESTRING (87.6973209 23.6620196, 87.697087 23.6623485, 87.6968128 23.6627408)",,,,
1026683823,NH114,trunk,False,True,31.953000000000003,"LINESTRING (87.6973209 23.6620196, 87.6974389 23.6618734, 87.6974718 23.6618163, 87.6974915 23.6617795)",,,,
1133890381,,secondary,False,True,7.607,"LINESTRING (87.6989379 23.6619005, 87.699012 23.6618919)",,,,
1133890380,,secondary,False,False,219.406,"LINESTRING (87.6989379 23.6619005, 87.6992011 23.6621572, 87.6992896 23.6622776, 87.6993728 23.662398, 87.6994237 23.6625527, 87.6994747 23.6628328, 87.6995548 23.6635538, 87.6996194 23.6637058)",,,,
"[176019564, 231233508, 1133890380]",,secondary,False,True,115.36599999999999,"LINESTRING (87.6989379 23.6619005, 87.698583 23.6619076, 87.6981464 23.6618648, 87.6978096 23.6618323)",,yes,,
736281087,,residential,False,False,56.703,"LINESTRING (87.6964041 23.6624118, 87.6967796 23.6627883)",,,,
231429622,SH9,primary,False,False,103.793,"LINESTRING (87.6964041 23.6624118, 87.6971963 23.662033, 87.6973209 23.6620196)",Bolpur - Sriniketan Road,,,
231429622,SH9,primary,False,True,135.265,"LINESTRING (87.6964041 23.6624118, 87.695877 23.6626666, 87.6951967 23.6629144)",Bolpur - Sriniketan Road,,,
1003699128,,residential,False,True,117.38799999999999,"LINESTRING (87.6964041 23.6624118, 87.6963364 23.6620954, 87.6962613 23.6616531, 87.6962006 23.6613729)",,,,
1133890380,,secondary,False,True,25.519,"LINESTRING (87.6997102 23.6639197, 87.6996194 23.6637058)",,,,
176019577,,secondary,False,True,90.756,"LINESTRING (87.6997102 23.6639197, 87.6995127 23.66404, 87.6989329 23.664317)",,,,
1133890380,,secondary,False,False,143.047,"LINESTRING (87.6997102 23.6639197, 87.6999038 23.664351, 87.7000111 23.6647048, 87.7001399 23.6651421)",,,,
1050291923,,residential,False,False,38.249,"LINESTRING (87.6989329 23.664317, 87.6988311 23.6639859)",,,,
176019577,,secondary,False,False,90.756,"LINESTRING (87.6989329 23.664317, 87.6995127 23.66404, 87.6997102 23.6639197)",,,,
231429622,SH9,primary,False,True,55.006,"LINESTRING (87.6951967 23.6629144, 87.6946647 23.6629997)",Bolpur - Sriniketan Road,,,
623091610,,residential,False,True,69.79,"LINESTRING (87.6951967 23.6629144, 87.6953539 23.6635253)",Maszid Road,,,
231429622,SH9,primary,False,False,135.265,"LINESTRING (87.6951967 23.6629144, 87.695877 23.6626666, 87.6964041 23.6624118)",Bolpur - Sriniketan Road,,,
736283829,,residential,False,False,52.914,"LINESTRING (87.6957075 23.664959, 87.6962014 23.6651067)",,,,
1026683823,NH114,trunk,False,False,14.032,"LINESTRING (87.6957075 23.664959, 87.6956626 23.6650783)",,,,
623091610,,residential,False,False,163.46800000000002,"LINESTRING (87.6957075 23.664959, 87.6956546 23.664694, 87.6953539 23.6635253)",Maszid Road,,,
1026683823,NH114,trunk,False,True,102.232,"LINESTRING (87.6957075 23.664959, 87.6957893 23.6647736, 87.6959436 23.6644223, 87.6960804 23.6641054)",,,,
231429622,SH9,primary,False,False,72.178,"LINESTRING (87.6930125 23.6632248, 87.6937144 23.6631351)",Bolpur - Sriniketan Road,,,
231429622,SH9,primary,False,True,84.784,"LINESTRING (87.6930125 23.6632248, 87.692188 23.6633301)",Bolpur - Sriniketan Road,,,
623091614,,residential,False,True,144.674,"LINESTRING (87.6930125 23.6632248, 87.6931298 23.664211, 87.6931829 23.6645162)",College Road,,,
627565041,,residential,False,False,49.737,"LINESTRING (87.6915273 23.6646429, 87.6920154 23.6646576)",,,,
627565041,,residential,False,True,49.737,"LINESTRING (87.6920154 23.6646576, 87.6915273 23.6646429)",,,,
1083501060,,residential,False,False,23.524,"LINESTRING (87.6920154 23.6646576, 87.6920519 23.6644487)",,,,
627565041,,residential,False,False,121.0,"LINESTRING (87.6920154 23.6646576, 87.6924768 23.6646724, 87.6931829 23.6645162)",,,,
