osmid,oneway,highway,reversed,length,geometry,lanes,maxspeed
169485737,True,secondary,False,101.395,"LINESTRING (73.9584816 15.2730551, 73.9585498 15.2730631, 73.9590226 15.2731187, 73.9594108 15.2732127)",,
427329417,True,primary,False,69.196,"LINESTRING (73.9584816 15.2730551, 73.9586605 15.2725957, 73.9586703 15.2724645)",2,
98619818,True,secondary,False,81.585,"LINESTRING (73.9620702 15.2725554, 73.9628307 15.2725452)",,
178497232,False,residential,True,97.342,"LINESTRING (73.9620702 15.2725554, 73.96205 15.2734306)",,
178497232,False,residential,False,101.549,"LINESTRING (73.9620702 15.2725554, 73.9620612 15.2723374, 73.96208 15.2717267, 73.9620808 15.2716426)",,
178593518,False,residential,False,93.537,"LINESTRING (73.9628307 15.2725452, 73.9628305 15.271704)",,
178593518,False,residential,True,103.068,"LINESTRING (73.9628307 15.2725452, 73.9628258 15.2734721)",,
178497232,False,residential,False,130.37300000000002,"LINESTRING (73.9620808 15.2716426, 73.9620818 15.271532, 73.9620665 15.2707538, 73.9620696 15.2704703)",,
178497232,False,residential,True,101.549,"LINESTRING (73.9620808 15.2716426, 73.96208 15.2717267, 73.9620612 15.2723374, 73.9620702 15.2725554)",,
422965583,True,secondary,False,120.53500000000001,"LINESTRING (73.9620808 15.2716426, 73.9619646 15.2716258, 73.9615677 15.2716155, 73.9611197 15.2716517, 73.9609603 15.2716587)",,
178592418,True,residential,False,264.358,"LINESTRING (73.9590826 15.2704861, 73.9585279 15.2704369, 73.9581048 15.2704434, 73.9581848 15.271425, 73.958211 15.2718715)",,
427324698,False,primary,False,87.41000000000001,"LINESTRING (73.9590826 15.2704861, 73.9590825 15.2703799, 73.9590463 15.2701897, 73.9588957 15.2698464, 73.9588535 15.2697402)",2,50
427324698,False,primary,True,117.112,"LINESTRING (73.9590826 15.2704861, 73.9590543 15.2705804, 73.958817 15.2715076)",2,50
178497231,False,tertiary,False,33.931,"LINESTRING (73.958817 15.2715076, 73.9589766 15.271455, 73.9591075 15.2713891)",,
427324697,True,primary,False,60.595,"LINESTRING (73.958817 15.2715076, 73.9587472 15.2716219, 73.9586863 15.2716873, 73.9586426 15.2717487, 73.9585498 15.271822, 73.9584258 15.2718828)",2,80; 50
427324698,False,primary,False,117.112,"LINESTRING (73.958817 15.2715076, 73.9590543 15.2705804, 73.9590826 15.2704861)",2,50
452840274,True,residential,False,52.68,"LINESTRING (73.9579202 15.2718527, 73.9574291 15.2718501)",,
427324697,True,primary,False,73.47200000000001,"LINESTRING (73.9579202 15.2718527, 73.9578581 15.2719052, 73.9578366 15.2719777, 73.9578393 15.2722054, 73.9578368 15.272236, 73.9578353 15.2722586, 73.9578274 15.2724831)",2,80; 50
275623397,True,primary,False,25.852,"LINESTRING (73.9586271 15.2720064, 73.9586 15.2719764, 73.9585314 15.2719331, 73.9584258 15.2718828)",2,80; 50
427329417,True,primary,False,59.602000000000004,"LINESTRING (73.9586271 15.2720064, 73.9587593 15.2717422, 73.9588116 15.2715844, 73.958817 15.2715076)",2,
169485915,True,secondary,False,30.251,"LINESTRING (73.9588532 15.272169, 73.9586271 15.2720064)",,
178497396,True,primary,False,28.085,"LINESTRING (73.9573823 15.2747413, 73.9574934 15.2747075, 73.9576378 15.2746917)",,
