osmid,oneway,name,highway,reversed,length,geometry,ref,tunnel,junction
112597131,False,Shahupuri 3 rd Lane,residential,False,308.1,"LINESTRING (74.2394953 16.700059, 74.2366543 16.7005811)",,,
112597133,False,,tertiary,False,32.383,"LINESTRING (74.2394953 16.700059, 74.2394477 16.6999148, 74.2393973 16.6997834)",,,
112597133,False,,tertiary,True,50.510999999999996,"LINESTRING (74.2394953 16.700059, 74.2395958 16.7002335, 74.2397162 16.7004609)",,,
148862686,False,,tertiary,False,18.848,"LINESTRING (74.2423366 16.7034479, 74.2422944 16.7033996, 74.24226 16.7033602, 74.2422378 16.7033093)",,,
112595448,False,Dadasaheb Patil Kaulavkar Marg,tertiary,False,49.11,"LINESTRING (74.2410597 16.7054387, 74.2410994 16.7053621, 74.2411382 16.7052824, 74.2411624 16.7052246, 74.2412093 16.7051013, 74.2412442 16.7050345)",,,
112595448,False,Dadasaheb Patil Kaulavkar Marg,tertiary,True,44.197,"LINESTRING (74.2410597 16.7054387, 74.2410267 16.7055006, 74.2410166 16.7055312, 74.2410031 16.7055721, 74.2409838 16.7056208, 74.240926 16.7057671, 74.2409154 16.7058012, 74.2409127 16.7058097)",,,
148862685,False,,residential,False,41.641000000000005,"LINESTRING (74.2410597 16.7054387, 74.241298 16.7054599, 74.2414474 16.7054849)",,,
430704662,False,Rajarampuri Main road,tertiary,False,47.981,"LINESTRING (74.2417715 16.7011403, 74.2417738 16.7011624, 74.2417774 16.7011888, 74.241786 16.7013135, 74.2417801 16.7013756, 74.2417753 16.7014265, 74.2417483 16.7015684)",,,
430704662,False,Rajarampuri Main road,tertiary,True,54.644999999999996,"LINESTRING (74.2417715 16.7011403, 74.2417616 16.7010801, 74.2417515 16.701018, 74.2417401 16.7009707, 74.2417254 16.7008623, 74.2417259 16.7008479, 74.2417271 16.7008158, 74.2417406 16.7006907, 74.2417446 16.7006534)",,,
458070809,False,,residential,False,147.32,"LINESTRING (74.2417715 16.7011403, 74.2424575 16.7010277, 74.2431416 16.700965)",,,
112597133,False,,tertiary,True,28.501,"LINESTRING (74.238959 16.6992068, 74.2391145 16.6994154)",,,
112597133,False,,tertiary,False,4.831,"LINESTRING (74.2393973 16.6997834, 74.2393696 16.699749)",,,
112597130,False,Mahagaonkar Marg,tertiary,False,158.317,"LINESTRING (74.2393973 16.6997834, 74.2395276 16.6997463, 74.2398173 16.6996641, 74.2401338 16.6996076, 74.2404932 16.6996281, 74.240799 16.699659, 74.2408576 16.6996648)",,,
112597133,False,,tertiary,True,32.383,"LINESTRING (74.2393973 16.6997834, 74.2394477 16.6999148, 74.2394953 16.700059)",,,
