osmid,highway,oneway,reversed,length,ref,name,geometry,junction,bridge,width,maxspeed
1133623044,residential,False,True,15.306,,,"LINESTRING (72.8330538 21.20934, 72.8329582 21.2092351)",,,,
553652070,trunk,True,False,336.936,NH64,Laldarwaja Main Road,"LINESTRING (72.8330538 21.20934, 72.8323263 21.2102457, 72.8320701 21.2105139, 72.8308904 21.2114848, 72.8308383 21.2115386)",,,,
35377052,residential,False,True,117.59,,,"LINESTRING (72.8301527 21.2116891, 72.8301482 21.2127466)",,,,
407328513,trunk,True,False,47.218,NH64,Gotalawadi Road,"LINESTRING (72.8301527 21.2116891, 72.8306049 21.2117401)",,,,
407328513,trunk,True,False,15.105,NH64,Gotalawadi Road,"LINESTRING (72.8271896 21.2114213, 72.827328 21.2113788)",,,,
553147148,trunk,True,False,77.53999999999999,NH64,,"LINESTRING (72.8271896 21.2114213, 72.8273758 21.2116953, 72.8275753 21.2120186)",,,,
34130083,residential,False,False,67.149,,,"LINESTRING (72.8275261 21.2134403, 72.8269421 21.2137016)",,,,
34130083,residential,False,True,31.747,,,"LINESTRING (72.8275261 21.2134403, 72.8277948 21.2133033)",,,,
941696225,residential,False,True,38.499,,,"LINESTRING (72.8275261 21.2134403, 72.8273748 21.2131241)",,,,
34130083,residential,False,True,67.149,,,"LINESTRING (72.8269421 21.2137016, 72.8275261 21.2134403)",,,,
954249118,tertiary,True,False,3.905,,Vastadevdi Road,"LINESTRING (72.8345281 21.2126846, 72.8345654 21.2126895)",,,,
954249117,residential,True,False,28.57,,,"LINESTRING (72.8336537 21.2127786, 72.8336939 21.2127536, 72.833706 21.2127368, 72.8337646 21.2125531)",,,,
954249113,unclassified,True,False,10.580000000000002,,,"LINESTRING (72.833793 21.2125454, 72.833805 21.212539, 72.8338194 21.2125238, 72.8338279 21.212505, 72.8338293 21.2124842, 72.8338234 21.2124642)",roundabout,,,
954249118,tertiary,True,False,77.763,,Vastadevdi Road,"LINESTRING (72.833793 21.2125454, 72.8341445 21.2126162, 72.8345281 21.2126846)",,,,
954249115,tertiary,False,False,118.045,,Vastadevdi Road,"LINESTRING (72.83258 21.2119752, 72.8314461 21.2118773)",,,,
954249115,tertiary,False,True,115.237,,Vastadevdi Road,"LINESTRING (72.83258 21.2119752, 72.8328527 21.2120208, 72.8330742 21.2120578, 72.8333152 21.2120781, 72.8334817 21.2120921, 72.8336463 21.2121987)",,,,
953265978,tertiary,True,False,12.347,,,"LINESTRING (72.8355406 21.2090353, 72.8355583 21.2090289, 72.835573 21.2090177, 72.8355836 21.2090016, 72.8355879 21.2089831, 72.8355853 21.2089643, 72.8355761 21.2089475)",roundabout,,,
954249122,tertiary,False,True,91.495,,,"LINESTRING (72.8355406 21.2090353, 72.8358139 21.2097726, 72.8358292 21.2098129)",,,,
953265977,residential,False,True,113.041,,,"LINESTRING (72.8363868 21.2082676, 72.8355761 21.2089475)",,,,
953265977,residential,False,False,64.328,,,"LINESTRING (72.8363868 21.2082676, 72.8364516 21.2077335, 72.8364548 21.2076926)",,,,
953265977,residential,False,True,77.315,,,"LINESTRING (72.8363623 21.2064166, 72.8364865 21.2066048, 72.8365214 21.2068324, 72.8365025 21.2070762)",,,,
35376223,tertiary,False,False,29.697,,Ashkta Ashram Road,"LINESTRING (72.8310534 21.2064281, 72.8310468 21.2066951)",,,,
35376224,tertiary,False,False,42.292,,Station Road,"LINESTRING (72.8310534 21.2064281, 72.8314601 21.2063981)",,,,
35376223,tertiary,False,True,77.499,,Ashkta Ashram Road,"LINESTRING (72.8310534 21.2064281, 72.8310429 21.2062352, 72.8310314 21.2057315)",,,,
35376223,tertiary,False,True,186.744,,Ashkta Ashram Road,"LINESTRING (72.8311099 21.2083735, 72.8310468 21.2066951)",,,,
35376225,residential,False,False,129.071,,,"LINESTRING (72.8311099 21.2083735, 72.8298661 21.2084263)",,,,
