osmid,oneway,lanes,ref,name,highway,access,junction,reversed,length,geometry,bridge
234407893,True,2,NH748,Bogarvase Circle,trunk,yes,roundabout,False,16.637999999999998,"LINESTRING (74.5079957 15.8592731, 74.5079884 15.8593022, 74.50799 15.8593321, 74.5080005 15.8593603, 74.5080188 15.8593844, 74.5080436 15.8594025)",
162536956,False,,,N Telegraph Road,residential,,,False,8.994,"LINESTRING (74.5063873 15.8538855, 74.5064711 15.8538789)",
371351626,True,4,NH748,Belgaum - Panaji Highway,trunk,yes,,False,21.551,"LINESTRING (74.5063873 15.8538855, 74.5064221 15.8540764)",
45743055,False,,,Havelock Road,tertiary,,,True,11.033,"LINESTRING (74.5064419 15.8582103, 74.5063406 15.8581916)",
840491851,True,4,NH748,Belgaum - Panaji Highway,trunk,yes,,False,175.405,"LINESTRING (74.5064419 15.8582103, 74.5064042 15.8581024, 74.5063993 15.8579337, 74.5064204 15.8574673, 74.5064711 15.8569443, 74.506504 15.8566432)",
202979919,False,,,,tertiary,,,False,32.33,"LINESTRING (74.5102448 15.8588005, 74.5101939 15.8585139)",
138292638,False,,,Kirloskar Road,tertiary,,,False,109.059,"LINESTRING (74.5102448 15.8588005, 74.5099184 15.8588016, 74.5093342 15.8589675, 74.5092546 15.8589935)",
202979918,True,,,Ramdev Galli,tertiary,,,False,33.143,"LINESTRING (74.5102448 15.8588005, 74.5102673 15.8590434, 74.5102668 15.8590976)",
201088440,False,,,,unclassified,,,False,66.41,"LINESTRING (74.5029648 15.8536489, 74.503036 15.8530556)",
201088465,False,,,,unclassified,,,False,81.621,"LINESTRING (74.5029648 15.8536489, 74.5029067 15.8543808)",
202662866,False,,,Independence Road,secondary,,,False,55.993,"LINESTRING (74.5029576 15.855025, 74.5032895 15.8546356)",
641664050,False,,,Pickle Road,unclassified,,,False,98.23,"LINESTRING (74.5029576 15.855025, 74.5029587 15.8559084)",
201088433,False,,,EW Fernandes Road,unclassified,,,False,71.861,"LINESTRING (74.5029576 15.855025, 74.5029389 15.8548788, 74.5029067 15.8543808)",
202662866,False,,,Independence Road,secondary,,,True,56.958,"LINESTRING (74.5029576 15.855025, 74.5028213 15.8552736, 74.5027048 15.8554758)",
45743047,False,,,,residential,,,True,182.296,"LINESTRING (74.5046956 15.8534284, 74.503036 15.8530556)",
202662866,False,,,Independence Road,secondary,,,False,43.685,"LINESTRING (74.5046956 15.8534284, 74.5050355 15.8532106)",
202662866,False,,,Independence Road,secondary,,,True,72.968,"LINESTRING (74.5046956 15.8534284, 74.5041654 15.8538413)",
201088435,False,,,D Silva Lane,residential,,,False,153.22899999999998,"LINESTRING (74.5046956 15.8534284, 74.504626 15.853769, 74.5042931 15.8547489)",
45743047,False,,,,residential,,,False,182.296,"LINESTRING (74.503036 15.8530556, 74.5046956 15.8534284)",
201088440,False,,,,unclassified,,,True,66.41,"LINESTRING (74.503036 15.8530556, 74.5029648 15.8536489)",
45743055,False,,,Havelock Road,tertiary,,,False,63.972,"LINESTRING (74.5029757 15.856544, 74.5035146 15.8567935)",
45743055,False,,,Havelock Road,tertiary,,,True,53.362,"LINESTRING (74.5029757 15.856544, 74.5025225 15.8563434)",
641664050,False,,,Pickle Road,unclassified,,,True,70.699,"LINESTRING (74.5029757 15.856544, 74.5029587 15.8559084)",
641664055,False,,,,unclassified,,,False,61.342,"LINESTRING (74.5023917 15.8558257, 74.5029587 15.8559084)",
202662866,False,,,Independence Road,secondary,,,False,51.373000000000005,"LINESTRING (74.5023917 15.8558257, 74.5025672 15.8556429, 74.5027048 15.8554758)",
641664050,False,,,Pickle Road,unclassified,,,False,70.699,"LINESTRING (74.5029587 15.8559084, 74.5029757 15.856544)",
641664050,False,,,Pickle Road,unclassified,,,True,98.23,"LINESTRING (74.5029587 15.8559084, 74.5029576 15.855025)",
641664055,False,,,,unclassified,,,False,77.38,"LINESTRING (74.5029587 15.8559084, 74.5036647 15.8560602)",
641664055,False,,,,unclassified,,,True,61.342,"LINESTRING (74.5029587 15.8559084, 74.5023917 15.8558257)",
371351626,True,4,NH748,Belgaum - Panaji Highway,trunk,yes,,False,12.317,"LINESTRING (74.506449 15.8565237, 74.5064346 15.8566336)",
641664055,False,,,,unclassified,,,True,13.481,"LINESTRING (74.506449 15.8565237, 74.506323 15.8565208)",
38561600,False,,,Ganeshpur Road,secondary,,,True,14.337,"LINESTRING (74.5076711 15.8609658, 74.5075381 15.8609818)",
234407894,False,,,Samadevi Galli,secondary,,,True,38.086,"LINESTRING (74.5076711 15.8609658, 74.5080257 15.8609347)",
371348617,True,2,NH748,Belgaum - Panaji Highway,trunk,yes,,False,147.517,"LINESTRING (74.5076711 15.8609658, 74.508059 15.8596927)",
154099303,False,,,Khade Bazar,secondary,,,True,51.949,"LINESTRING (74.5102508 15.8608198, 74.5107347 15.8607799)",
234407894,False,,,Samadevi Galli,secondary,,,False,87.165,"LINESTRING (74.5102508 15.8608198, 74.5094361 15.8608381)",
38561600,False,,,Ganeshpur Road,secondary,,,False,214.774,"LINESTRING (74.5043583 15.8610837, 74.5063638 15.8609882)",
124093402,False,,,Cattle Road,unclassified,,,False,342.884,"LINESTRING (74.5043583 15.8610837, 74.504848 15.8597881, 74.5049213 15.859407, 74.5049038 15.8586225, 74.5049479 15.8580914)",
