osmid,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,junction
298103752,residential,False,True,42.508,,,"LINESTRING (77.2900684 30.1209245, 77.2903597 30.121212)",,
38626882,tertiary,False,False,33.57,ODR,50,"LINESTRING (77.288753 30.1210535, 77.2888788 30.1211104, 77.2889397 30.1211479, 77.2890418 30.1212207)",,
38626882,tertiary,False,True,73.072,ODR,50,"LINESTRING (77.288753 30.1210535, 77.2886694 30.1210111, 77.288604 30.120974, 77.2881086 30.1207055)",,
298103771,residential,False,True,60.908,,,"LINESTRING (77.288753 30.1210535, 77.2890633 30.1208988, 77.2892897 30.1207636)",,
298103763,residential,False,False,44.025,,,"LINESTRING (77.2911285 30.12113, 77.2908144 30.120842)",,
298103767,residential,False,False,7.503,,,"LINESTRING (77.2911285 30.12113, 77.2911889 30.1210873)",,
298103767,residential,False,True,30.728,,,"LINESTRING (77.2911285 30.12113, 77.2908951 30.1213187)",,
298103752,residential,False,False,42.508,,,"LINESTRING (77.2903597 30.121212, 77.2900684 30.1209245)",,
298103754,residential,False,False,43.096,,,"LINESTRING (77.2903597 30.121212, 77.2900337 30.1214779)",,
298103754,residential,False,True,60.044,,,"LINESTRING (77.2903597 30.121212, 77.2908144 30.120842)",,
298103754,residential,False,True,44.787,,,"LINESTRING (77.289691 30.1217506, 77.2900337 30.1214779)",,
38626882,tertiary,False,False,46.099,ODR,50,"LINESTRING (77.289691 30.1217506, 77.2899809 30.1219112, 77.2900962 30.121972)",,
38626882,tertiary,False,True,23.705,ODR,50,"LINESTRING (77.289691 30.1217506, 77.289571 30.1216834, 77.2894961 30.1216216)",,
298103740,residential,False,False,121.705,,,"LINESTRING (77.2862997 30.1222613, 77.2857348 30.1212819)",,
298103740,residential,False,True,173.21,,,"LINESTRING (77.2862997 30.1222613, 77.2871399 30.1236391)",,
298106983,residential,False,False,101.924,,,"LINESTRING (77.2862997 30.1222613, 77.2870717 30.1217134, 77.2870978 30.1217061, 77.2871311 30.1217017)",,
298103750,residential,False,True,62.765,,,"LINESTRING (77.2886444 30.1249263, 77.2880557 30.1251699)",,
169377135,secondary,True,False,176.993,,50,"LINESTRING (77.2886444 30.1249263, 77.2887965 30.1253962, 77.2890722 30.1259436, 77.2893173 30.1264038)",2,
298103774,residential,False,False,38.962,,,"LINESTRING (77.2857625 30.1191747, 77.2857035 30.1193608, 77.2856588 30.1195134)",,
