osmid,oneway,lanes,ref,name,highway,reversed,length,geometry
564943200,False,2,MDR788,Athimanjeri – Podaturpet - Nagari R.S. Road,secondary,False,15.369,"LINESTRING (79.483579 13.2819296, 79.483561 13.2817925)"
1136970796,False,,,Chinna thoppu street,residential,False,143.848,"LINESTRING (79.483579 13.2819296, 79.4822905 13.2822473)"
564943200,False,2,MDR788,Athimanjeri – Podaturpet - Nagari R.S. Road,secondary,True,79.189,"LINESTRING (79.483579 13.2819296, 79.483651 13.2822296, 79.4837232 13.2825009, 79.4837396 13.2825558, 79.4837561 13.2826205)"
564943200,False,2,MDR788,Athimanjeri – Podaturpet - Nagari R.S. Road,secondary,False,28.937,"LINESTRING (79.4834927 13.2814767, 79.4834 13.2812326)"
564943200,False,2,MDR788,Athimanjeri – Podaturpet - Nagari R.S. Road,secondary,True,35.885,"LINESTRING (79.4834927 13.2814767, 79.483561 13.2817925)"
1136970797,False,,,,residential,False,158.802,"LINESTRING (79.4834927 13.2814767, 79.4832939 13.2815184, 79.4830635 13.2815791, 79.482921 13.2816256, 79.4827706 13.2816957, 79.4826891 13.2817542, 79.482617 13.2818126, 79.4825144 13.2818624, 79.4823862 13.2819168, 79.4823289 13.2819614, 79.4822747 13.2820105, 79.4822088 13.2820978)"
564943200,False,2,MDR788,Athimanjeri – Podaturpet - Nagari R.S. Road,secondary,False,43.703,"LINESTRING (79.4832765 13.2804034, 79.4832536 13.280011)"
564943200,False,2,MDR788,Athimanjeri – Podaturpet - Nagari R.S. Road,secondary,True,43.453,"LINESTRING (79.4832765 13.2804034, 79.483305 13.2807932)"
1250353909,False,,,,residential,True,134.222,"LINESTRING (79.4832765 13.2804034, 79.4820375 13.2803491)"
1152215941,False,,,,residential,False,141.551,"LINESTRING (79.4832765 13.2804034, 79.4836727 13.2804664, 79.4845789 13.2804898)"
564918037,False,,,,residential,True,131.402,"LINESTRING (79.483274 13.279644, 79.4820612 13.2795874)"
564943200,False,2,MDR788,Athimanjeri – Podaturpet - Nagari R.S. Road,secondary,False,59.585,"LINESTRING (79.483274 13.279644, 79.4833052 13.279109)"
564943200,False,2,MDR788,Athimanjeri – Podaturpet - Nagari R.S. Road,secondary,True,40.868,"LINESTRING (79.483274 13.279644, 79.4832536 13.280011)"
564918037,False,,,,residential,False,165.55200000000002,"LINESTRING (79.483274 13.279644, 79.4840205 13.2796867, 79.4848005 13.2797406)"
564943200,False,2,MDR788,Athimanjeri – Podaturpet - Nagari R.S. Road,secondary,True,54.799,"LINESTRING (79.4833697 13.2786202, 79.4833052 13.279109)"
1244503287,False,,,,residential,False,132.73399999999998,"LINESTRING (79.4833697 13.2786202, 79.4840541 13.2786935, 79.4843927 13.2787039, 79.4845918 13.2786977)"
1250353909,False,,,,residential,False,134.222,"LINESTRING (79.4820375 13.2803491, 79.4832765 13.2804034)"
1152215946,False,,,,residential,False,48.128,"LINESTRING (79.4820375 13.2803491, 79.4819598 13.2801738, 79.48191 13.2799368)"
1152215946,False,,,,residential,True,46.152,"LINESTRING (79.4820375 13.2803491, 79.4820956 13.2804128, 79.4820841 13.2805775, 79.4820899 13.2807422)"
564917758,False,,,,residential,True,46.495,"LINESTRING (79.4845789 13.2804898, 79.4847103 13.2800917)"
1152215941,False,,,,residential,False,115.252,"LINESTRING (79.4845789 13.2804898, 79.4856407 13.2805696)"
1250353910,False,,,,residential,True,39.699,"LINESTRING (79.4845789 13.2804898, 79.4845611 13.2808464)"
1152215941,False,,,,residential,True,141.551,"LINESTRING (79.4845789 13.2804898, 79.4836727 13.2804664, 79.4832765 13.2804034)"
564917758,False,,,,residential,True,56.643,"LINESTRING (79.4848005 13.2797406, 79.4848212 13.2792316)"
564918037,False,,,,residential,False,101.794,"LINESTRING (79.4848005 13.2797406, 79.4857391 13.2798004)"
564917758,False,,,,residential,False,40.277,"LINESTRING (79.4848005 13.2797406, 79.4847607 13.2799261, 79.4847103 13.2800917)"
564918037,False,,,,residential,True,165.55200000000002,"LINESTRING (79.4848005 13.2797406, 79.4840205 13.2796867, 79.483274 13.279644)"
564917758,False,,,,residential,False,56.643,"LINESTRING (79.4848212 13.2792316, 79.4848005 13.2797406)"
564917758,False,,,,residential,True,102.116,"LINESTRING (79.4848212 13.2792316, 79.4857538 13.2793713)"
