osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,tunnel
175447656,Khermai Road,unclassified,False,True,5.625,"LINESTRING (80.106204 22.4294001, 80.1061718 22.429441)",,,
361359704,,residential,False,False,107.214,"LINESTRING (80.106204 22.4294001, 80.1062781 22.4293657, 80.10635 22.4293266, 80.1071387 22.4289726)",,,
467718493,,trunk,True,False,161.792,"LINESTRING (80.106204 22.4294001, 80.1059143 22.4292098, 80.105048 22.4286551, 80.1049125 22.4285683)",1,NH543,
918671827,,residential,False,False,4.737,"LINESTRING (80.1014418 22.4288838, 80.1014795 22.4288593)",,,
"[362031204, 918690199, 918690200, 918690201, 918690202]",,residential,False,False,54.672,"LINESTRING (80.1014418 22.4288838, 80.1015214 22.428965, 80.1016408 22.4290836, 80.1016827 22.4291351, 80.1017524 22.4292243, 80.1017802 22.429262)",,,yes
175447656,Khermai Road,unclassified,False,False,30.212,"LINESTRING (80.1033267 22.4317356, 80.103556 22.4315656)",,,
175447656,Khermai Road,unclassified,False,True,80.691,"LINESTRING (80.1033267 22.4317356, 80.1031666 22.4318094, 80.1029454 22.4318928, 80.1027543 22.4319534, 80.1025945 22.4319923)",,,
361346412,,residential,False,False,90.21600000000001,"LINESTRING (80.1033267 22.4317356, 80.1034005 22.4322011, 80.1034741 22.4325351)",,,
175447656,Khermai Road,unclassified,False,False,80.691,"LINESTRING (80.1025945 22.4319923, 80.1027543 22.4319534, 80.1029454 22.4318928, 80.1031666 22.4318094, 80.1033267 22.4317356)",,,
918690202,,residential,False,True,122.283,"LINESTRING (80.1025945 22.4319923, 80.102549 22.4314921, 80.1025083 22.4311944, 80.1024606 22.4309)",,,
919633371,Khermai Road,unclassified,False,False,37.319,"LINESTRING (80.1025945 22.4319923, 80.1024305 22.4320613, 80.102341 22.4321109, 80.1022761 22.4321518)",,,
919633372,Khermai Road,unclassified,True,False,3.367,"LINESTRING (80.1022761 22.4321518, 80.1022436 22.4321556)",,,
919633371,Khermai Road,unclassified,False,True,37.319,"LINESTRING (80.1022761 22.4321518, 80.102341 22.4321109, 80.1024305 22.4320613, 80.1025945 22.4319923)",,,
467718494,,trunk,True,False,33.227,"LINESTRING (80.1045263 22.428383, 80.1047932 22.4285516)",1,NH543,
361346409,,residential,False,False,66.489,"LINESTRING (80.1045263 22.428383, 80.1044383 22.4284938, 80.1042698 22.4287013, 80.104146 22.4288666)",,,
361346425,,residential,False,False,5.907,"LINESTRING (80.1049125 22.4285683, 80.1048736 22.4286074)",,,
467718493,,trunk,True,False,9.468,"LINESTRING (80.1049125 22.4285683, 80.1048381 22.4285181)",1,NH543,
361346419,,residential,False,True,22.515,"LINESTRING (80.1049863 22.428683, 80.1050152 22.4288091, 80.1050504 22.4288751)",,,
467718494,,trunk,True,False,148.161,"LINESTRING (80.1049863 22.428683, 80.1052592 22.428859, 80.1061718 22.429441)",1,NH543,
361346416,,residential,False,False,33.027,"LINESTRING (80.1045011 22.4290994, 80.1047636 22.4292707)",,,
361346425,,residential,False,True,66.775,"LINESTRING (80.1045011 22.4290994, 80.1048736 22.4286074)",,,
361359712,,residential,False,True,44.746,"LINESTRING (80.1045011 22.4290994, 80.104146 22.4288666)",,,
361346425,,residential,False,False,85.57900000000001,"LINESTRING (80.1045011 22.4290994, 80.1042198 22.4294578, 80.1042138 22.4294869, 80.1042192 22.4295042, 80.1042326 22.4295303, 80.1044525 22.4296764)",,,
361346416,,residential,False,True,33.027,"LINESTRING (80.1047636 22.4292707, 80.1045011 22.4290994)",,,
361346419,,residential,False,True,55.295,"LINESTRING (80.1047636 22.4292707, 80.1044525 22.4296764)",,,
