osmid,highway,oneway,reversed,length,geometry,ref,name,maxspeed,lanes,junction,bridge
52468674,secondary,False,True,88.67399999999999,"LINESTRING (75.1340527 15.352384, 75.1340875 15.3521912, 75.1340676 15.3520803, 75.1339906 15.3517042, 75.1339632 15.3516017)",,,,,,
122619490,secondary,True,False,65.634,"LINESTRING (75.1340527 15.352384, 75.134158 15.3524558, 75.1342108 15.3525717, 75.1342535 15.3526634, 75.1342762 15.3527091, 75.1343034 15.3527743, 75.1343757 15.3528693)",,,,,,
52468674,secondary,False,False,17.604,"LINESTRING (75.1333792 15.3481808, 75.1333448 15.3483356)",,,,,,
52468673,trunk,False,False,130.91,"LINESTRING (75.1333792 15.3481808, 75.134157 15.3483117, 75.1345816 15.3483846)",NH67,Karwar Road,,,,
52468674,secondary,False,False,23.941,"LINESTRING (75.1333448 15.3483356, 75.1333311 15.3485505)",,,,,,
52468674,secondary,False,True,17.604,"LINESTRING (75.1333448 15.3483356, 75.1333792 15.3481808)",,,,,,
132364601,trunk,True,False,5.651,"LINESTRING (75.1388957 15.3503823, 75.1389363 15.3504147)",NH67,,,,,
324941687,trunk,True,False,84.336,"LINESTRING (75.1388957 15.3503823, 75.1384356 15.350236, 75.1381366 15.3501948)",NH67,Sir Siddappa Kambli Road,,,,
52120983,tertiary,False,False,4.225,"LINESTRING (75.1400106 15.3481217, 75.1400219 15.3480853)",,,,,,
52120983,tertiary,False,True,71.914,"LINESTRING (75.1400106 15.3481217, 75.1397695 15.3487252)",,,,,,
223785382,residential,False,True,219.757,"LINESTRING (75.1400106 15.3481217, 75.1413452 15.3485613, 75.1417126 15.348569, 75.1419406 15.3486078, 75.1419804 15.3486125)",,,10,,,
123943038,tertiary,False,True,97.35,"LINESTRING (75.1380712 15.3486538, 75.138402 15.3478385)",,,,,,
77045707,primary,False,False,119.755,"LINESTRING (75.1380712 15.3486538, 75.1377386 15.3492273, 75.1376304 15.349452, 75.1375656 15.3496124)",SH73,Pune Bangalore Road,,,,
843820085,primary,False,True,90.375,"LINESTRING (75.1380712 15.3486538, 75.1378987 15.3484099, 75.1376046 15.347977)",SH73,Pune Bangalore Road,,,,
52468673,trunk,False,False,95.737,"LINESTRING (75.1365556 15.3486706, 75.1366568 15.3487673, 75.1370489 15.3493043, 75.137089 15.3493588)",NH67,Karwar Road,,,,
52468673,trunk,False,True,60.272999999999996,"LINESTRING (75.1365556 15.3486706, 75.1364385 15.3486197, 75.136011 15.3485495)",NH67,Karwar Road,,,,
123248000,trunk_link,True,False,53.858,"LINESTRING (75.1381366 15.3501948, 75.1380004 15.3503128, 75.1379463 15.3503608, 75.1379253 15.3504151, 75.1379035 15.3504556, 75.1378873 15.350588)",,,,,,
324941687,trunk,True,False,24.003999999999998,"LINESTRING (75.1381366 15.3501948, 75.1380345 15.3501536, 75.1379281 15.3501164)",NH67,Sir Siddappa Kambli Road,,,,
122619483,trunk,False,False,36.8,"LINESTRING (75.13895 15.3520377, 75.1391505 15.3523063)",,Solapur Road,,,,
122619491,trunk,True,False,34.056,"LINESTRING (75.13895 15.3520377, 75.1389275 15.3517322)",,,,,,
122619489,residential,False,False,205.43099999999998,"LINESTRING (75.13895 15.3520377, 75.1389731 15.3523233, 75.1390064 15.3527355, 75.1391364 15.3538762)",,,,,,
52876338,unclassified,False,False,78.654,"LINESTRING (75.1361546 15.3549135, 75.1355752 15.3553473)",,,,,,
122624703,tertiary,False,True,296.734,"LINESTRING (75.1361546 15.3549135, 75.1343757 15.3528693)",,,,,,
124024568,tertiary,False,False,77.434,"LINESTRING (75.1361546 15.3549135, 75.1362536 15.3551605, 75.13631 15.3553217, 75.136383 15.3555735)",,,,,,
124024570,tertiary,False,False,106.862,"LINESTRING (75.1361546 15.3549135, 75.1363337 15.354735, 75.1366819 15.3541064)",,Neelgin Road,,,,
52876336,trunk,True,False,23.314,"LINESTRING (75.1377517 15.3504241, 75.1378873 15.350588)",NH67,Solapur Road,,,,
"[1209674075, 151705861]",trunk,True,False,44.690000000000005,"LINESTRING (75.1377517 15.3504241, 75.1377989 15.3503751, 75.137827 15.3503138, 75.1378328 15.350247, 75.1378157 15.3501821, 75.1377775 15.3501261, 75.1377225 15.3500852)",NH67,Rani Chennamma Circle,,2,roundabout,
52468673,trunk,False,True,44.187,"LINESTRING (75.1373273 15.349683, 75.137089 15.3493588)",NH67,Karwar Road,,,,
324941688,trunk,False,False,25.887999999999998,"LINESTRING (75.1373273 15.349683, 75.1373703 15.3497981, 75.1374059 15.3499031)",NH67,Karwar Road,,,,
122624648,residential,False,False,93.428,"LINESTRING (75.136383 15.3555735, 75.1372355 15.3557472)",,,,,,
122624648,residential,False,True,90.19900000000001,"LINESTRING (75.136383 15.3555735, 75.1361828 15.3555141, 75.1355752 15.3553473)",,,,,,
