osmid,oneway,highway,reversed,length,name,maxspeed,geometry,lanes,access,bridge
746527433,True,tertiary,False,22.225,,,"LINESTRING (76.9476658 8.4846867, 76.9474681 8.4847281)",,,
1239622510,True,primary,False,22.886,Mahatma Gandhi Road,40,"LINESTRING (76.9476658 8.4846867, 76.9476875 8.4848914)",,,
702983753,False,secondary,False,156.13,Power House Road,,"LINESTRING (76.9500144 8.4856529, 76.9502036 8.4856046, 76.950328 8.4855727, 76.9504612 8.4855354, 76.9505408 8.4855165, 76.9507468 8.4854619, 76.9513819 8.4852766)",,,
702983753,False,secondary,True,9.385,Power House Road,,"LINESTRING (76.9500144 8.4856529, 76.950005 8.4856553, 76.9499298 8.4856632)",,,
235639468,False,tertiary,False,47.001,Gandhari Amman Kovil Road,,"LINESTRING (76.9494065 8.4915171, 76.9493427 8.4913167, 76.9492892 8.4911108)",,,
235639468,False,tertiary,True,89.656,Gandhari Amman Kovil Road,,"LINESTRING (76.9494065 8.4915171, 76.9494371 8.4916007, 76.9494837 8.4917123, 76.9495305 8.4918968, 76.9495535 8.4920584, 76.9495605 8.4921697, 76.9495806 8.4922589, 76.9495878 8.4922986)",,,
235641071,False,residential,False,233.70299999999997,Dharmalayam Road,,"LINESTRING (76.9494065 8.4915171, 76.9490317 8.4916035, 76.9489515 8.4916165, 76.9486607 8.4916599, 76.9485207 8.491679, 76.9482511 8.4917205, 76.9477706 8.4917542, 76.9474283 8.4917974, 76.9473208 8.4918108, 76.9473054 8.4918127)",,,
244016169,False,residential,False,38.442,Sreemoolam Road,,"LINESTRING (76.9494065 8.4915171, 76.9496771 8.4914596, 76.9497474 8.491441)",,,
235639728,False,tertiary,False,66.137,SS Kovil Road,,"LINESTRING (76.9515748 8.490694, 76.9514685 8.4905756, 76.9512945 8.4903618, 76.9511917 8.4902357)",,,
235639728,False,tertiary,True,142.14999999999998,SS Kovil Road,,"LINESTRING (76.9515748 8.490694, 76.9518166 8.4909936, 76.9519298 8.4912325, 76.9519545 8.491307, 76.9520252 8.4915202, 76.9520701 8.4917558, 76.9520875 8.4918428)",,,
244016169,False,residential,True,68.725,Sreemoolam Road,,"LINESTRING (76.9515748 8.490694, 76.9514547 8.4907911, 76.9513376 8.4908684, 76.9511173 8.4909899, 76.9510475 8.4910215)",,,
235641071,False,residential,True,233.70300000000003,Dharmalayam Road,,"LINESTRING (76.9473054 8.4918127, 76.9473208 8.4918108, 76.9474283 8.4917974, 76.9477706 8.4917542, 76.9482511 8.4917205, 76.9485207 8.491679, 76.9486607 8.4916599, 76.9489515 8.4916165, 76.9490317 8.4916035, 76.9494065 8.4915171)",,,
599540590,True,primary,False,95.514,Mahatma Gandhi Road,50,"LINESTRING (76.9473054 8.4918127, 76.9472591 8.4916461, 76.9472075 8.491404, 76.9472015 8.4912826, 76.9471929 8.4910137, 76.9471897 8.4909656)",2,,
737539202,False,tertiary,True,9.523,,,"LINESTRING (76.9493346 8.487958, 76.9493205 8.4878735)",,,
1245807566,True,primary,False,110.54,NH 66,50,"LINESTRING (76.9493346 8.487958, 76.9503351 8.4878628)",2,,
761391710,False,tertiary,True,157.12599999999998,Manjalikkulam Road,,"LINESTRING (76.9493346 8.487958, 76.9493 8.4879895, 76.949279 8.4880086, 76.9492594 8.4881105, 76.949233 8.4884219, 76.9491696 8.4887409, 76.9491116 8.489057, 76.9490703 8.4893297)",,,
1202743026,False,tertiary,True,167.395,SS Kovil Road,,"LINESTRING (76.9493346 8.487958, 76.9493996 8.4879891, 76.9494771 8.4880692, 76.949606 8.4882189, 76.9497424 8.4883827, 76.9498658 8.4885434, 76.9499462 8.4886524, 76.9500517 8.4887955, 76.9501467 8.4889193, 76.9502447 8.4890362, 76.950302 8.4891102)",,,
599540592,False,tertiary,True,37.088,Kunnumpuram Road,,"LINESTRING (76.9438521 8.4910649, 76.9441873 8.4911015)",,destination,
844436728,False,tertiary,False,48.87,Uppidammodu Road,,"LINESTRING (76.9438521 8.4910649, 76.943501 8.4907955)",,,
844436728,False,tertiary,True,61.803,Uppidammodu Road,,"LINESTRING (76.9438521 8.4910649, 76.9441307 8.4915476)",,,
