osmid,highway,junction,oneway,reversed,length,geometry,ref
845269357,unclassified,roundabout,True,False,25.314000000000004,"LINESTRING (77.5000629 19.1414511, 77.5001073 19.1414392, 77.5001506 19.1414182, 77.5001887 19.1413895, 77.5002201 19.1413544, 77.5002414 19.1413204, 77.5002437 19.1413142)",
841782695,residential,,False,False,134.02,"LINESTRING (77.5047273 19.1437745, 77.5060023 19.1438179)",
842616493,primary,,False,False,34.572,"LINESTRING (77.5047273 19.1437745, 77.5047943 19.1434701)",SH44
841782695,residential,,False,True,134.02,"LINESTRING (77.5060023 19.1438179, 77.5047273 19.1437745)",
841782708,residential,,False,False,102.324,"LINESTRING (77.5058654 19.1430426, 77.5050561 19.1429454, 77.5048991 19.1429265)",
842616493,primary,,False,True,61.44,"LINESTRING (77.5048991 19.1429265, 77.5047943 19.1434701)",SH44
841782708,residential,,False,True,102.324,"LINESTRING (77.5048991 19.1429265, 77.5050561 19.1429454, 77.5058654 19.1430426)",
842616493,primary,,False,False,166.815,"LINESTRING (77.5048991 19.1429265, 77.5049307 19.1427707, 77.5050965 19.1417237, 77.505122 19.1415571, 77.5051401 19.1414438)",SH44
842616493,primary,,False,True,166.815,"LINESTRING (77.5051401 19.1414438, 77.505122 19.1415571, 77.5050965 19.1417237, 77.5049307 19.1427707, 77.5048991 19.1429265)",SH44
841782711,unclassified,,False,False,53.37,"LINESTRING (77.5047943 19.1434701, 77.5043421 19.1432513)",
842616493,primary,,False,False,61.44,"LINESTRING (77.5047943 19.1434701, 77.5048991 19.1429265)",SH44
842616493,primary,,False,True,34.572,"LINESTRING (77.5047943 19.1434701, 77.5047273 19.1437745)",SH44
841782711,unclassified,,False,True,53.37,"LINESTRING (77.5043421 19.1432513, 77.5047943 19.1434701)",
841782712,unclassified,,True,False,485.906,"LINESTRING (77.5043421 19.1432513, 77.5042834 19.1431956, 77.504194 19.143149, 77.5036742 19.1428737, 77.5016622 19.141808, 77.501079 19.1414852, 77.5010025 19.1414472, 77.5009207 19.1414168, 77.500264 19.1412247)",
845269357,unclassified,roundabout,True,False,12.379,"LINESTRING (77.4997702 19.1412443, 77.4997716 19.1412636, 77.499785 19.1413078, 77.4998073 19.1413487)",
845253197,unclassified,,False,False,49.508,"LINESTRING (77.4999227 19.1410067, 77.4997924 19.1407386, 77.4997702 19.140693, 77.499726 19.1406021)",
845269357,unclassified,roundabout,True,False,33.330999999999996,"LINESTRING (77.4999227 19.1410067, 77.4998809 19.1410244, 77.4998428 19.141053, 77.4998114 19.1410881, 77.4997878 19.1411283, 77.499773 19.1411721, 77.4997675 19.1412178, 77.4997702 19.1412443)",
841782713,unclassified,,True,False,484.305,"LINESTRING (77.5002437 19.1413142, 77.5008416 19.1414459, 77.5009583 19.1414877, 77.5010602 19.1415283, 77.5015875 19.1418225, 77.5041489 19.1431917, 77.5042495 19.1432382, 77.5043421 19.1432513)",
845269357,unclassified,roundabout,True,False,10.227,"LINESTRING (77.5002437 19.1413142, 77.5002552 19.1412807, 77.5002585 19.1412704, 77.500264 19.1412247)",
845269357,unclassified,roundabout,True,False,30.932000000000002,"LINESTRING (77.4998073 19.1413487, 77.4998376 19.1413846, 77.4998748 19.1414143, 77.4999174 19.1414366, 77.4999637 19.1414506, 77.5000121 19.1414558, 77.5000606 19.1414519, 77.5000629 19.1414511)",
845269357,unclassified,roundabout,True,False,51.526,"LINESTRING (77.500264 19.1412247, 77.5002599 19.1411789, 77.5002465 19.1411347, 77.5002242 19.1410939, 77.5001938 19.1410579, 77.5001567 19.1410282, 77.5001141 19.141006, 77.5000678 19.140992, 77.5000194 19.1409868, 77.4999709 19.1409906, 77.4999241 19.1410033, 77.4999227 19.1410067)",
845253197,unclassified,,False,True,49.508,"LINESTRING (77.499726 19.1406021, 77.4997702 19.140693, 77.4997924 19.1407386, 77.4999227 19.1410067)",
