osmid,oneway,lanes,ref,highway,maxspeed,access,reversed,length,name,geometry
70219207,False,2,SH91,primary,60,yes,False,96.527,,"LINESTRING (75.8029046 12.1977019, 75.8023689 12.1970095)"
70219207,False,2,SH91,primary,60,yes,True,203.41,,"LINESTRING (75.8029046 12.1977019, 75.8040005 12.1991848)"
70219185,False,,SH27,primary,,,True,407.812,Virajapet - Madikeri Road,"LINESTRING (75.8029046 12.1977019, 75.802761 12.197817, 75.8018897 12.198027, 75.8015055 12.1981772, 75.8012858 12.1982631, 75.800846 12.198722, 75.800547 12.19887, 75.7995095 12.1989439)"
22837779,False,,,tertiary,,,True,377.33799999999997,,"LINESTRING (75.8058027 12.1944905, 75.8057425 12.1949145, 75.8056659 12.1952644, 75.8055914 12.1955961, 75.8054948 12.1958901, 75.8053894 12.1962584, 75.8052851 12.1965427, 75.8052144 12.1967066, 75.8051585 12.1968603, 75.805073 12.1970536, 75.8049847 12.1972556, 75.8049098 12.1974489, 75.8048644 12.1975446, 75.8047767 12.1977156)"
35209567,False,,SH90,primary,,,False,145.239,,"LINESTRING (75.8058027 12.1944905, 75.8058172 12.1943487, 75.8059102 12.1940075, 75.8061479 12.1936833, 75.8063266 12.1934728, 75.8064317 12.1933804)"
35209567,False,,SH90,primary,,,True,245.27499999999998,,"LINESTRING (75.8058027 12.1944905, 75.805631 12.194521, 75.8053961 12.1944741, 75.8051503 12.1943644, 75.8049699 12.194289, 75.8047624 12.194278, 75.8045559 12.1943428, 75.8043143 12.1944409, 75.8038382 12.1946287, 75.8037216 12.1946509, 75.8036645 12.1946439)"
35209567,False,,SH90,primary,,,False,108.423,,"LINESTRING (75.8026962 12.194571, 75.8027646 12.1945555, 75.802823 12.194537, 75.802903 12.1945182, 75.8029821 12.1945058, 75.8031745 12.1945037, 75.8032618 12.1945196, 75.8033424 12.1945444, 75.8035177 12.1945953, 75.8036645 12.1946439)"
70219207,False,2,SH91,primary,60,yes,True,67.06800000000001,,"LINESTRING (75.8026962 12.194571, 75.8027646 12.194811, 75.802778 12.1949997, 75.8027684 12.1951643)"
232301604,False,,,residential,,,True,538.579,,"LINESTRING (75.8026962 12.194571, 75.8024413 12.1946693, 75.802177 12.1946855, 75.8018875 12.1947585, 75.8017668 12.1948135, 75.8016997 12.194879, 75.8016541 12.1950652, 75.8016837 12.1952618, 75.8018526 12.1955843, 75.8018902 12.1956891, 75.8018821 12.1957363, 75.8017954 12.1957361, 75.8016103 12.1956758, 75.8010256 12.1954634, 75.8007395 12.1953719, 75.8002138 12.1952802, 75.7997381 12.1951541, 75.7994055 12.1951043, 75.7990202 12.1951412)"
70219207,False,2,SH91,primary,60,yes,False,140.144,,"LINESTRING (75.8072293 12.2013894, 75.8072028 12.2013423, 75.8071667 12.2013152, 75.8069999 12.2012133, 75.8067811 12.2011114, 75.8065101 12.2010096, 75.8062703 12.2008771, 75.8060946 12.2008234)"
