osmid,lanes,highway,oneway,reversed,length,geometry,name,junction,bridge
150662766,2,tertiary,False,True,90.946,"LINESTRING (84.8594161 22.2496891, 84.8585541 22.249509)",,,
"[150662724, 150662766]",2,tertiary,False,"[False, True]",109.837,"LINESTRING (84.8594161 22.2496891, 84.8600524 22.2498221, 84.8600578 22.2502061)",,,
"[150662724, 150662766]",2,tertiary,False,"[False, True]",109.837,"LINESTRING (84.8600578 22.2502061, 84.8600524 22.2498221, 84.8594161 22.2496891)",,,
150662724,2,tertiary,False,True,228.572,"LINESTRING (84.8600578 22.2502061, 84.860063 22.2505803, 84.8601055 22.2511447, 84.8602607 22.252251)",,,
"[150671436, 150671413]",,residential,False,"[False, True]",110.536,"LINESTRING (84.8600578 22.2502061, 84.8597272 22.2502691, 84.8591439 22.2503869, 84.8591651 22.2505145)",,,
150662692,2,tertiary,False,True,15.353,"LINESTRING (84.8535071 22.2527954, 84.8534978 22.2529332)",,,
150664886,,residential,False,False,34.537,"LINESTRING (84.8535071 22.2527954, 84.8535312 22.2524856)",,,
150662692,2,tertiary,False,False,35.718,"LINESTRING (84.8534762 22.2532538, 84.8534978 22.2529332)",,,
150662692,2,tertiary,False,True,15.365,"LINESTRING (84.8534762 22.2532538, 84.8535014 22.25339)",,,
150662692,2,tertiary,False,False,15.365,"LINESTRING (84.8535014 22.25339, 84.8534762 22.2532538)",,,
150662692,2,tertiary,False,True,57.792,"LINESTRING (84.8535014 22.25339, 84.8536746 22.2538844)",,,
1049894110,,residential,False,False,175.41899999999998,"LINESTRING (84.8535014 22.25339, 84.8540211 22.2534085, 84.8545415 22.2534383, 84.8547399 22.2534184, 84.8547775 22.2533787, 84.8548043 22.2533042, 84.8547989 22.2531602, 84.8548043 22.2530067)",,,
150662724,2,tertiary,False,False,71.987,"LINESTRING (84.8604715 22.2537537, 84.8603814 22.2531117)",,,
150662724,2,tertiary,False,True,14.711,"LINESTRING (84.8604715 22.2537537, 84.8604899 22.2538849)",,,
150690747,2,primary,True,False,134.107,"LINESTRING (84.8604715 22.2537537, 84.8596361 22.2537465, 84.8591685 22.2537546)",Ring Road,,
150662692,2,tertiary,False,False,57.792,"LINESTRING (84.8536746 22.2538844, 84.8535014 22.25339)",,,
150662558,,primary,True,False,10.24,"LINESTRING (84.8536746 22.2538844, 84.8536217 22.2539146, 84.8535998 22.2539426)",,roundabout,
150662724,2,tertiary,False,False,14.711,"LINESTRING (84.8604899 22.2538849, 84.8604715 22.2537537)",,,
150662558,,primary,True,False,17.84,"LINESTRING (84.8538245 22.2539391, 84.8538097 22.2539197, 84.853772 22.2538922, 84.8537238 22.2538793, 84.8536746 22.2538844)",,roundabout,
150662558,,primary,True,False,14.254999999999999,"LINESTRING (84.8535998 22.2539426, 84.8535865 22.2539819, 84.8535914 22.2540328, 84.8536086 22.254065)",,roundabout,
150662516,2,primary,True,False,549.345,"LINESTRING (84.8538265 22.2540516, 84.8564971 22.2539575, 84.8588355 22.253879, 84.859161 22.2538801)",Ring Road,,
150662558,,primary,True,False,12.969,"LINESTRING (84.8538265 22.2540516, 84.8538404 22.2540078, 84.853835 22.2539615, 84.8538245 22.2539391)",,roundabout,
150662558,,primary,True,False,10.452,"LINESTRING (84.8536086 22.254065, 84.8536543 22.254102, 84.8536931 22.2541138)",,roundabout,
150687758,2,tertiary,False,False,154.498,"LINESTRING (84.8536931 22.2541138, 84.8536139 22.2555013)",,,
150662558,,primary,True,False,16.299,"LINESTRING (84.8536931 22.2541138, 84.8537517 22.2541098, 84.8537913 22.2540906, 84.8538265 22.2540516)",,roundabout,
150664886,,residential,False,True,106.422,"LINESTRING (84.8536862 22.2504949, 84.8536119 22.2514495)",,,
"[1077883498, 1049894107]",,residential,False,"[False, True]",351.788,"LINESTRING (84.8536862 22.2504949, 84.853833 22.2505143, 84.8540234 22.2505143, 84.8542849 22.2504866, 84.854621 22.2505316, 84.8550993 22.2506381, 84.8570623 22.2509096)",,,
150664886,,residential,False,False,106.422,"LINESTRING (84.8536119 22.2514495, 84.8536862 22.2504949)",,,
150664886,,residential,False,True,52.063,"LINESTRING (84.8536119 22.2514495, 84.8535755 22.2519165)",,,
150664886,,residential,False,False,52.063,"LINESTRING (84.8535755 22.2519165, 84.8536119 22.2514495)",,,
150664886,,residential,False,True,12.43,"LINESTRING (84.8535755 22.2519165, 84.8535669 22.252028)",,,
150664886,,residential,False,False,37.158,"LINESTRING (84.8535409 22.2523613, 84.8535669 22.252028)",,,
150664886,,residential,False,True,13.858,"LINESTRING (84.8535409 22.2523613, 84.8535312 22.2524856)",,,
150671409,,residential,False,True,63.745,"LINESTRING (84.8591651 22.2505145, 84.8585581 22.2506286)",,,
150671436,,residential,False,True,211.731,"LINESTRING (84.8591651 22.2505145, 84.8595727 22.2523809)",,,
"[150671436, 150671413]",,residential,False,"[False, True]",110.536,"LINESTRING (84.8591651 22.2505145, 84.8591439 22.2503869, 84.8597272 22.2502691, 84.8600578 22.2502061)",,,
150671409,,residential,False,False,63.745,"LINESTRING (84.8585581 22.2506286, 84.8591651 22.2505145)",,,
150671471,,residential,False,False,47.933,"LINESTRING (84.8585581 22.2506286, 84.858645 22.2510521)",,,
150671409,,residential,False,True,157.079,"LINESTRING (84.8585581 22.2506286, 84.8575597 22.2508162, 84.8570623 22.2509096)",,,
1049894109,,residential,False,False,125.27099999999999,"LINESTRING (84.8585581 22.2506286, 84.8585058 22.2504048, 84.8585058 22.2500572, 84.8585541 22.249509)",,,
150671475,,residential,False,True,44.747,"LINESTRING (84.8570623 22.2509096, 84.8571426 22.2513051)",,,
150671409,,residential,False,False,157.079,"LINESTRING (84.8570623 22.2509096, 84.8575597 22.2508162, 84.8585581 22.2506286)",,,
"[1077883498, 1049894107]",,residential,False,"[False, True]",351.78800000000007,"LINESTRING (84.8570623 22.2509096, 84.8550993 22.2506381, 84.854621 22.2505316, 84.8542849 22.2504866, 84.8540234 22.2505143, 84.853833 22.2505143, 84.8536862 22.2504949)",,,
150671331,,residential,False,True,157.157,"LINESTRING (84.858645 22.2510521, 84.8571426 22.2513051)",,,
150671471,,residential,False,False,44.199,"LINESTRING (84.858645 22.2510521, 84.8587252 22.2514426)",,,
150671471,,residential,False,True,47.933,"LINESTRING (84.858645 22.2510521, 84.8585581 22.2506286)",,,
150671331,,residential,False,False,157.157,"LINESTRING (84.8571426 22.2513051, 84.858645 22.2510521)",,,
150671475,,residential,False,False,44.747,"LINESTRING (84.8571426 22.2513051, 84.8570623 22.2509096)",,,
150671475,,residential,False,True,52.993,"LINESTRING (84.8571426 22.2513051, 84.8571923 22.2515502, 84.8573819 22.2516945)",,,
150671386,,residential,False,False,141.054,"LINESTRING (84.8587252 22.2514426, 84.8573819 22.2516945)",,,
150671471,,residential,False,False,47.017,"LINESTRING (84.8587252 22.2514426, 84.8588105 22.251858)",,,
150671471,,residential,False,True,44.199,"LINESTRING (84.8587252 22.2514426, 84.858645 22.2510521)",,,
150671386,,residential,False,True,141.054,"LINESTRING (84.8573819 22.2516945, 84.8587252 22.2514426)",,,
150671475,,residential,False,True,59.991,"LINESTRING (84.8573819 22.2516945, 84.8578322 22.2520371)",,,
150671475,,residential,False,False,52.993,"LINESTRING (84.8573819 22.2516945, 84.8571923 22.2515502, 84.8571426 22.2513051)",,,
150671376,,residential,False,False,102.632,"LINESTRING (84.8588105 22.251858, 84.8578322 22.2520371)",,,
150671471,,residential,False,False,47.459,"LINESTRING (84.8588105 22.251858, 84.8588966 22.2522773)",,,
150671471,,residential,False,True,47.017,"LINESTRING (84.8588105 22.251858, 84.8587252 22.2514426)",,,
150664886,,residential,False,False,12.43,"LINESTRING (84.8535669 22.252028, 84.8535755 22.2519165)",,,
