osmid,oneway,highway,reversed,length,junction,geometry,name,lanes
60260568,True,secondary,False,26.635,,"LINESTRING (86.2029315 22.804566, 86.2030325 22.8043453)",,
60258365,True,secondary,False,15.642000000000001,roundabout,"LINESTRING (86.2029315 22.804566, 86.2028535 22.8045586, 86.202783 22.8045799)",,
60259694,False,residential,False,42.633,,"LINESTRING (86.2018495 22.804831, 86.2016472 22.805166)",,
1022489851,True,tertiary,False,82.827,,"LINESTRING (86.2018495 22.804831, 86.2024113 22.8048131, 86.2026572 22.8048113)",straight mile road,
60258316,False,tertiary,False,85.494,,"LINESTRING (86.2035388 22.8048124, 86.2043725 22.8047897)",,
60258316,False,tertiary,True,44.291,,"LINESTRING (86.2035388 22.8048124, 86.2031072 22.8047933)",,
1055599764,True,residential,False,101.46,,"LINESTRING (86.2034193 22.8057634, 86.203006 22.8049343)",,
60259710,False,residential,False,8.501,,"LINESTRING (86.1992541 22.8048272, 86.1992462 22.8047511)",,
60259710,False,residential,True,47.751,,"LINESTRING (86.1992541 22.8048272, 86.1994191 22.8052288)",,
1022489851,True,tertiary,False,266.037,,"LINESTRING (86.1992541 22.8048272, 86.2018495 22.804831)",straight mile road,
60258316,False,tertiary,True,5.922,,"LINESTRING (86.2044301 22.8047856, 86.2043725 22.8047897)",,
1022489841,True,tertiary,False,36.356,,"LINESTRING (86.2044301 22.8047856, 86.2045405 22.804811, 86.2047814 22.8048109)",,
425874366,False,residential,False,9.99,,"LINESTRING (86.2050134 22.8048106, 86.2049852 22.8047246)",Jhanda Chowk,
1022489841,True,tertiary,False,122.594,,"LINESTRING (86.2050134 22.8048106, 86.2062094 22.804813)",,
60258316,False,tertiary,False,44.291,,"LINESTRING (86.2031072 22.8047933, 86.2035388 22.8048124)",,
60258365,True,secondary,False,19.417,roundabout,"LINESTRING (86.2031072 22.8047933, 86.2030849 22.8046965, 86.2030413 22.8046324)",,
60258365,True,secondary,False,7.126,roundabout,"LINESTRING (86.2026572 22.8048113, 86.2026898 22.8048679)",,
60258320,False,residential,False,18.147,,"LINESTRING (86.207246 22.8048548, 86.2072164 22.8046939)",,
1022489839,False,tertiary,True,43.513,,"LINESTRING (86.207246 22.8048548, 86.2068219 22.8048377)",,
60258311,False,residential,True,45.819,,"LINESTRING (86.2062094 22.804813, 86.2062326 22.8052245)",,
1022489841,True,tertiary,False,23.331000000000003,,"LINESTRING (86.2062094 22.804813, 86.2063258 22.8048104, 86.2064368 22.8048046)",,
1022489841,True,tertiary,False,23.781,,"LINESTRING (86.2047814 22.8048109, 86.2050134 22.8048106)",,
60258365,True,secondary,False,19.229,roundabout,"LINESTRING (86.203006 22.8049343, 86.203079 22.8048653, 86.2031072 22.8047933)",,
60258320,False,residential,True,5.643,,"LINESTRING (86.2069796 22.8010534, 86.206985 22.8011039)",,
60259687,False,residential,True,122.40599999999999,,"LINESTRING (86.1999738 22.8011665, 86.1992639 22.8017857, 86.1991783 22.8018484, 86.1990776 22.8018831)",Tapti Road,
60260576,True,tertiary,False,106.505,,"LINESTRING (86.1999738 22.8011665, 86.2004643 22.8016529, 86.2006744 22.8018737)",,
60258320,False,residential,False,149.968,,"LINESTRING (86.2070056 22.8027452, 86.2069701 22.8013969)",,
60258337,False,tertiary,False,23.612,,"LINESTRING (86.2070056 22.8027452, 86.207235 22.8027259)",,
60258337,False,tertiary,True,54.264,,"LINESTRING (86.2070056 22.8027452, 86.2064859 22.8028381)",,
