osmid,oneway,highway,junction,reversed,length,geometry,name,ref
156504129,True,primary,roundabout,False,25.366999999999997,"LINESTRING (73.8090272 15.5888385, 73.8089937 15.5888856, 73.8089842 15.5889418, 73.8090004 15.5889967, 73.8090393 15.5890397)",,
427565779,True,primary,,False,22.88,"LINESTRING (73.8103414 15.5908942, 73.8105547 15.5909056)",Hutatma Bann Desai Marg,
1182204934,True,primary,roundabout,False,22.543,"LINESTRING (73.8103414 15.5908942, 73.8103704 15.5908519, 73.8103801 15.5908021, 73.8103692 15.5907525, 73.8103393 15.5907108)",Hutatma Chowk,
427567071,True,secondary,,False,42.073,"LINESTRING (73.8098066 15.5909864, 73.8100117 15.5909293, 73.8101908 15.5909206)",Hutatma Vinayak Sapte Marg,MDR7
1021034191,False,tertiary,,False,69.118,"LINESTRING (73.8098066 15.5909864, 73.809796 15.5910487, 73.8097991 15.5912205, 73.8098604 15.5916026)",,
1181755853,False,tertiary,,True,5.83,"LINESTRING (73.8103976 15.5926979, 73.810406 15.5927497)",,
251073338,False,residential,,False,100.519,"LINESTRING (73.8103976 15.5926979, 73.8105403 15.5926159, 73.8105815 15.5925681, 73.8106719 15.5924634, 73.8107254 15.5923343, 73.810661 15.5920243, 73.8107093 15.5919467)",,
1181755853,False,tertiary,,False,132.788,"LINESTRING (73.8103976 15.5926979, 73.8103185 15.5920894, 73.8102493 15.5915123)",,
114049694,False,tertiary,,True,17.65,"LINESTRING (73.8098604 15.5916026, 73.809702 15.5916464)",,
1181742654,False,tertiary,,False,42.846,"LINESTRING (73.8098604 15.5916026, 73.8102493 15.5915123)",,
1021034191,False,tertiary,,True,69.118,"LINESTRING (73.8098604 15.5916026, 73.8097991 15.5912205, 73.809796 15.5910487, 73.8098066 15.5909864)",,
1181742654,False,tertiary,,True,42.846,"LINESTRING (73.8102493 15.5915123, 73.8098604 15.5916026)",,
1181755853,False,tertiary,,True,132.788,"LINESTRING (73.8102493 15.5915123, 73.8103185 15.5920894, 73.8103976 15.5926979)",,
