osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access,junction,ref
185772705,False,2,Power House Road,tertiary,60,False,186.816,"LINESTRING (74.9482873 30.2072602, 74.9502236 30.2074101)",,,
185772705,False,2,Power House Road,tertiary,60,True,43.759,"LINESTRING (74.9482873 30.2072602, 74.9478336 30.2072266)",,,
185772748,False,,,tertiary,,False,110.871,"LINESTRING (74.9482873 30.2072602, 74.9483329 30.206667, 74.9483637 30.2062653)",,,
185772705,False,2,Power House Road,tertiary,60,False,38.483,"LINESTRING (74.9502837 30.2074148, 74.9506822 30.207449)",,,
185772705,False,2,Power House Road,tertiary,60,True,5.799,"LINESTRING (74.9502837 30.2074148, 74.9502236 30.2074101)",,,
185772749,False,,,tertiary,,False,128.285,"LINESTRING (74.9502837 30.2074148, 74.9504284 30.2062679)",,,
185772686,False,,Ajit Road,tertiary,40,False,11.878,"LINESTRING (74.9461226 30.2105943, 74.9462461 30.2105897)",yes,,
185772686,False,,Ajit Road,tertiary,40,True,10.753,"LINESTRING (74.9461226 30.2105943, 74.9460107 30.2105934)",yes,,
1060995864,False,,,residential,,False,41.147,"LINESTRING (74.9461226 30.2105943, 74.9461609 30.2108372, 74.9461985 30.2109578)",,,
185772686,False,,Ajit Road,tertiary,40,False,11.389,"LINESTRING (74.9468306 30.210568, 74.9469486 30.2105584)",yes,,
185772686,False,,Ajit Road,tertiary,40,True,56.218,"LINESTRING (74.9468306 30.210568, 74.9462461 30.2105897)",yes,,
1060995864,False,,,residential,,True,29.468,"LINESTRING (74.9468306 30.210568, 74.9468476 30.2108326)",,,
185772686,False,,Ajit Road,tertiary,40,False,16.848,"LINESTRING (74.947949 30.2104767, 74.9481243 30.2104793)",yes,,
185772686,False,,Ajit Road,tertiary,40,True,48.839,"LINESTRING (74.947949 30.2104767, 74.947443 30.210518)",yes,,
1060991978,False,,Ajit Road Street Number 5,residential,,False,70.94800000000001,"LINESTRING (74.947949 30.2104767, 74.9478614 30.2099749, 74.9478185 30.2098497)",,,
185772686,False,,Ajit Road,tertiary,40,True,29.053,"LINESTRING (74.9484266 30.2104838, 74.9481243 30.2104793)",yes,,
185772686,False,,Ajit Road,tertiary,40,False,50.742999999999995,"LINESTRING (74.9484266 30.2104838, 74.9488912 30.2105756, 74.9489397 30.2105905)",yes,,
1060991979,False,,Ajit Road street number 7,residential,,False,157.278,"LINESTRING (74.9484266 30.2104838, 74.9483925 30.2103922, 74.9482208 30.2096225, 74.9481297 30.209094)",,,
185772686,False,,Ajit Road,tertiary,40,False,68.658,"LINESTRING (74.9495869 30.2107887, 74.9502563 30.2110046)",yes,,
185772686,False,,Ajit Road,tertiary,40,True,65.981,"LINESTRING (74.9495869 30.2107887, 74.9489397 30.2105905)",yes,,
500322295,False,,Ajit Road street number 9a,residential,,True,53.938,"LINESTRING (74.9495869 30.2107887, 74.9495773 30.2112737)",,,
1060991983,False,,Ajit Road street number 9b,residential,,True,134.26,"LINESTRING (74.9495869 30.2107887, 74.9496692 30.210726, 74.9495941 30.2100491, 74.9495753 30.2096168)",,,
185772767,False,,,tertiary,,True,159.791,"LINESTRING (74.9488001 30.2026963, 74.948718 30.2034113, 74.9487151 30.2034357, 74.9486358 30.2041263)",,,
185772790,True,,,tertiary,,False,22.185000000000002,"LINESTRING (74.9488001 30.2026963, 74.9488568 30.2026871, 74.9489071 30.2026626, 74.9489456 30.2026255, 74.9489683 30.2025796)",,roundabout,
185772772,False,,,tertiary,,True,180.109,"LINESTRING (74.950838 30.2026914, 74.9489683 30.2025796)",,,
185772753,False,,,tertiary,,True,150.224,"LINESTRING (74.950838 30.2026914, 74.9507537 30.2033666, 74.9506703 30.2040346)",,,
185772749,False,,,tertiary,,True,128.285,"LINESTRING (74.9504284 30.2062679, 74.9502837 30.2074148)",,,
185772749,False,,,tertiary,,False,149.99699999999999,"LINESTRING (74.9504284 30.2062679, 74.9505628 30.2050828, 74.9505754 30.204925)",,,
185772784,False,,,tertiary,,True,181.95,"LINESTRING (74.9504284 30.2062679, 74.9490409 30.2061344, 74.9485439 30.2061188)",,,
185772748,False,,,tertiary,,True,110.871,"LINESTRING (74.9483637 30.2062653, 74.9483329 30.206667, 74.9482873 30.2072602)",,,
185772801,True,,,tertiary,,False,26.184,"LINESTRING (74.9483637 30.2062653, 74.9484576 30.2062454, 74.9485237 30.2061863, 74.9485439 30.2061188)",,roundabout,
185772749,False,,,tertiary,,True,149.99699999999999,"LINESTRING (74.9505754 30.204925, 74.9505628 30.2050828, 74.9504284 30.2062679)",,,
185772752,True,,,tertiary,,False,76.969,"LINESTRING (74.9505754 30.204925, 74.9507351 30.204914, 74.9508831 30.2048613, 74.9510055 30.204772, 74.9510904 30.2046546, 74.9511297 30.2045203)",,roundabout,
185772806,False,,Civil Lines Area,tertiary,,True,130.399,"LINESTRING (74.9501019 30.2044183, 74.9487528 30.2042925)",,,
185772752,True,,,tertiary,,False,80.77199999999999,"LINESTRING (74.9501019 30.2044183, 74.9501064 30.2045636, 74.9501645 30.2046999, 74.9502701 30.2048129, 74.9504121 30.2048907, 74.9505754 30.204925)",,roundabout,
185772752,True,,,tertiary,,False,76.38,"LINESTRING (74.9506703 30.2040346, 74.9505115 30.204041, 74.9503624 30.2040887, 74.9502371 30.2041733, 74.9501475 30.2042867, 74.9501019 30.2044183)",,roundabout,
185772753,False,,,tertiary,,False,150.224,"LINESTRING (74.9506703 30.2040346, 74.9507537 30.2033666, 74.950838 30.2026914)",,,
185772752,True,,,tertiary,,False,76.99499999999999,"LINESTRING (74.9511297 30.2045203, 74.9511195 30.2043821, 74.951061 30.2042532, 74.9509595 30.204146, 74.950825 30.2040707, 74.9506703 30.2040346)",,roundabout,
185772775,False,,,tertiary,,True,170.467,"LINESTRING (74.948546 30.2044432, 74.9484157 30.2059721)",,,
185772762,True,,,tertiary,,False,28.759999999999998,"LINESTRING (74.948546 30.2044432, 74.9486057 30.2044395, 74.9486612 30.20442, 74.9487069 30.2043867, 74.9487385 30.2043427, 74.9487528 30.2042925)",,roundabout,
185772762,True,,,tertiary,,False,28.857999999999997,"LINESTRING (74.9483723 30.2042632, 74.9483761 30.204315, 74.9483984 30.2043632, 74.9484368 30.2044031, 74.9484877 30.2044306, 74.948546 30.2044432)",,roundabout,
248969523,False,,,tertiary,,False,187.091,"LINESTRING (74.9483723 30.2042632, 74.9466251 30.2041466, 74.946431 30.2041365)",,,
185772762,True,,,tertiary,,False,34.196,"LINESTRING (74.9486358 30.2041263, 74.9485782 30.2041142, 74.948519 30.204118, 74.9484641 30.2041372, 74.9484186 30.2041702, 74.948387 30.2042135, 74.9483723 30.2042632)",,roundabout,
