osmid,oneway,name,highway,reversed,length,geometry,tunnel,maxspeed,bridge
201485974,True,Mini BiPass Road,primary,False,74.363,"LINESTRING (79.9887712 14.449869, 79.9889712 14.4505091)",,,
274504382,False,,road,True,58.532,"LINESTRING (79.9887712 14.449869, 79.9882719 14.4500771)",,,
279284270,False,,residential,False,58.314,"LINESTRING (79.991178 14.4491815, 79.9916766 14.4489768)",,,
279284270,False,,residential,True,52.657,"LINESTRING (79.991178 14.4491815, 79.9907325 14.4493768)",,,
"[134867010, 133954212]",False,Balaji Nagar(andhra bank road),unclassified,"[False, True]",145.505,"LINESTRING (79.991178 14.4491815, 79.9916828 14.4499327, 79.9913432 14.4501814)",,,
279284272,False,,residential,True,246.096,"LINESTRING (79.991178 14.4491815, 79.9909424 14.4484128, 79.9907254 14.4477182, 79.9905644 14.4470505)",,,
133954873,False,Vijaya Mahal Gate Road,secondary,False,113.76,"LINESTRING (79.9893861 14.4516729, 79.988565 14.4520296, 79.9884191 14.4520846)",,,
201485974,True,Mini BiPass Road,primary,False,80.949,"LINESTRING (79.9893861 14.4516729, 79.9895806 14.4522696, 79.989617 14.4523656)",,,
201485980,False,Vijaya Mahal Gate Road,secondary,False,30.952,"LINESTRING (79.9861416 14.4531792, 79.9858546 14.4531948)",,,
201485980,False,Vijaya Mahal Gate Road,secondary,True,65.917,"LINESTRING (79.9861416 14.4531792, 79.9862757 14.4531532, 79.9865761 14.4530363, 79.9867065 14.4529613)",,,
201485980,False,Vijaya Mahal Gate Road,secondary,False,29.617,"LINESTRING (79.9871373 14.4527136, 79.9869008 14.4528496)",,,
1041394091,False,,secondary,False,53.676,"LINESTRING (79.9871373 14.4527136, 79.9875817 14.4524949)",,,
134101960,False,Cine Complex Road,secondary,True,85.267,"LINESTRING (79.9871373 14.4527136, 79.9871623 14.4528009, 79.9873878 14.4534409)",,,
201485970,False,Cine Complex Road,secondary,False,138.22,"LINESTRING (79.9871373 14.4527136, 79.987095 14.4525703, 79.9869114 14.4521844, 79.9865949 14.4515896)",,,
201485980,False,Vijaya Mahal Gate Road,secondary,True,101.569,"LINESTRING (79.9849422 14.453412, 79.9850446 14.4533688, 79.98529 14.4533023, 79.9857406 14.453201, 79.9858546 14.4531948)",,,
1217057061,True,Grand Trunk Road,primary,False,118.44600000000001,"LINESTRING (79.9849422 14.453412, 79.9848342 14.4532463, 79.9847738 14.4531459, 79.9846813 14.4529824, 79.9846509 14.4529233, 79.9843681 14.4525415, 79.9843485 14.4525173)",,,
