osmid,lanes,highway,oneway,reversed,length,ref,geometry,bridge,name,junction
921114412,2,tertiary,False,False,27.557,,"LINESTRING (76.3499434 26.0151575, 76.3497454 26.01533)",,,
921198760,2,trunk,False,False,19.313,NH552,"LINESTRING (76.3499434 26.0151575, 76.3500669 26.0152911)",,,
921198760,2,trunk,False,True,102.082,NH552,"LINESTRING (76.3499434 26.0151575, 76.3496535 26.0148063, 76.3493468 26.0144124)",,,
131450243,2,trunk,False,True,184.789,NH552,"LINESTRING (76.3527527 26.0153977, 76.3522997 26.0157921, 76.3514245 26.016554)",yes,,
"[131450312, 131450261]",2,tertiary,False,False,444.52700000000004,,"LINESTRING (76.3527527 26.0153977, 76.3536487 26.0161795, 76.3546304 26.0170548, 76.3549159 26.0173453, 76.3553038 26.0177032, 76.3553311 26.0177443, 76.3553307 26.0177838, 76.3552749 26.0178732, 76.3552148 26.018028, 76.3552243 26.0181571, 76.3552893 26.0182751, 76.35537 26.0183837)",yes,railway station road,
260414598,,residential,False,False,23.626,,"LINESTRING (76.3526474 26.016459, 76.3525067 26.0164142, 76.3524196 26.0164113)",,,
921115940,2,residential,False,False,34.745,,"LINESTRING (76.3526474 26.016459, 76.3526791 26.0165634, 76.3527759 26.0167482)",,,
921115940,2,residential,False,True,84.41,,"LINESTRING (76.3526474 26.016459, 76.3526605 26.0163459, 76.352722 26.0162085, 76.3527143 26.0161228, 76.3526748 26.0160695, 76.3525328 26.0159467, 76.352393 26.0158319)",,,
"[921198760, 131450229]",2,trunk,False,True,195.255,NH552,"LINESTRING (76.3514245 26.016554, 76.3502511 26.0154593, 76.3500669 26.0152911)",yes,,
"[131450232, 131450233]",2,trunk,False,True,216.234,NH148N,"LINESTRING (76.3514245 26.016554, 76.3507615 26.0170985, 76.3505216 26.0173161, 76.3498775 26.0179126)",yes,,
131450243,2,trunk,False,False,184.789,NH552,"LINESTRING (76.3514245 26.016554, 76.3522997 26.0157921, 76.3527527 26.0153977)",yes,,
131450291,2,residential,False,False,17.999,,"LINESTRING (76.3514664 26.0168394, 76.3513443 26.0167204)",,bajriya road,
131450310,2,residential,True,False,80.229,,"LINESTRING (76.3514664 26.0168394, 76.3514949 26.0168979, 76.3520323 26.0173443)",,bajriya road,
131450289,,residential,False,False,7.165,,"LINESTRING (76.3520824 26.0172982, 76.3520323 26.0173443)",,,
131450308,2,residential,True,False,54.565,,"LINESTRING (76.3520824 26.0172982, 76.3516805 26.016966)",,,
131450289,,residential,False,False,68.468,,"LINESTRING (76.3520323 26.0173443, 76.3515532 26.0177845)",,,
131450289,,residential,False,True,7.165,,"LINESTRING (76.3520323 26.0173443, 76.3520824 26.0172982)",,,
131450310,2,residential,True,False,103.035,,"LINESTRING (76.3520323 26.0173443, 76.3527532 26.0180068)",,bajriya road,
131450270,,residential,False,False,64.426,,"LINESTRING (76.3515532 26.0177845, 76.3520175 26.0181865)",,,
131450289,,residential,False,False,141.374,,"LINESTRING (76.3515532 26.0177845, 76.350555 26.0186855)",,,
131450289,,residential,False,True,68.468,,"LINESTRING (76.3515532 26.0177845, 76.3520323 26.0173443)",,,
548836353,,residential,False,True,44.5,,"LINESTRING (76.3515532 26.0177845, 76.3512335 26.0175059)",,,
"[131450232, 131450233]",2,trunk,False,False,216.234,NH148N,"LINESTRING (76.3498775 26.0179126, 76.3505216 26.0173161, 76.3507615 26.0170985, 76.3514245 26.016554)",yes,,
131450234,2,trunk,True,False,14.165,NH148N,"LINESTRING (76.3498775 26.0179126, 76.3498038 26.0179442, 76.3497593 26.0179805)",,,
921114412,2,tertiary,False,False,6.526,,"LINESTRING (76.3497593 26.0179805, 76.3498029 26.0180242)",,,
921114412,2,tertiary,False,True,6.526,,"LINESTRING (76.3497593 26.0179805, 76.3497151 26.0179373)",,,
131450234,2,trunk,True,False,131.501,NH148N,"LINESTRING (76.3497593 26.0179805, 76.3490958 26.0185783, 76.3489414 26.0187265, 76.348845 26.0188304)",,,
131450311,2,residential,False,False,8.867,,"LINESTRING (76.3498029 26.0180242, 76.3498695 26.0180769)",,,
921114412,2,tertiary,False,True,6.526,,"LINESTRING (76.3498029 26.0180242, 76.3497593 26.0179805)",,,
