osmid,highway,oneway,reversed,length,ref,maxspeed,geometry,name
102438477,secondary,False,False,48.422,,,"LINESTRING (75.2193209 33.6834652, 75.2198347 33.6835479)",
"[100150880, 293163266]",trunk,False,True,43.364000000000004,NH244,40,"LINESTRING (75.2193209 33.6834652, 75.2196316 33.6832639, 75.2196795 33.683216)",
102438477,secondary,False,True,230.90500000000003,,,"LINESTRING (75.222055 33.6844499, 75.2212593 33.6841289, 75.2208728 33.6839742, 75.2208058 33.6839614, 75.2204999 33.6839028, 75.220114 33.6837577, 75.2198347 33.6835479)",
525235189,secondary,False,True,39.601,,30,"LINESTRING (75.2196795 33.683216, 75.2198347 33.6835479)",Achabal-Shangus Road
"[100150880, 293163266]",trunk,False,False,43.364000000000004,NH244,40,"LINESTRING (75.2196795 33.683216, 75.2196316 33.6832639, 75.2193209 33.6834652)",
102438477,secondary,False,True,48.422,,,"LINESTRING (75.2198347 33.6835479, 75.2193209 33.6834652)",
525235189,secondary,False,False,39.601,,30,"LINESTRING (75.2198347 33.6835479, 75.2196795 33.683216)",Achabal-Shangus Road
102438477,secondary,False,False,230.90500000000003,,,"LINESTRING (75.2198347 33.6835479, 75.220114 33.6837577, 75.2204999 33.6839028, 75.2208058 33.6839614, 75.2208728 33.6839742, 75.2212593 33.6841289, 75.222055 33.6844499)",
