osmid,highway,junction,oneway,reversed,length,geometry,name,lanes,bridge
925501205,trunk,roundabout,True,False,20.759,"LINESTRING (74.6432883 26.4690796, 74.6433135 26.4690216, 74.6433111 26.4689594, 74.6432815 26.4689031)",,,
696099392,trunk,,False,False,69.141,"LINESTRING (74.6417651 26.4681932, 74.6417354 26.4680904, 74.6414603 26.4676374)",Kutcherry Rd,,
"[891445995, 56445284]",tertiary,,True,False,30.908,"LINESTRING (74.6417651 26.4681932, 74.6416486 26.4681452, 74.6415321 26.4680972, 74.6414815 26.4680803)",Jaipur Road,,
89211272,residential,,False,False,15.71,"LINESTRING (74.6356173 26.473117, 74.635498 26.4730245)",,,
922342397,trunk,,False,False,106.032,"LINESTRING (74.6356173 26.473117, 74.6356897 26.4730042, 74.6357938 26.4729362, 74.6360507 26.4728532, 74.6365301 26.4726777)",MakadWali Road,2,
645643194,tertiary,,False,False,21.012,"LINESTRING (74.6376297 26.4697338, 74.6375044 26.4697471, 74.6374226 26.4697267)",,,
645643194,tertiary,,False,True,104.06700000000001,"LINESTRING (74.6376297 26.4697338, 74.6382649 26.4695414, 74.6385291 26.4694614, 74.6386242 26.4694732)",,,
"[420263219, 927692155, 927692156]",residential,,False,False,103.635,"LINESTRING (74.6376297 26.4697338, 74.6380824 26.4702375, 74.638199 26.4703574, 74.6382426 26.4704023, 74.6382918 26.4704529)",,,yes
420772587,residential,,False,False,81.828,"LINESTRING (74.6397535 26.4709259, 74.6402053 26.4715407)",,,
922342397,trunk,,False,False,146.401,"LINESTRING (74.6397535 26.4709259, 74.6400556 26.4707401, 74.6403842 26.4705661, 74.6410279 26.4702724)",MakadWali Road,2,
922342397,trunk,,False,True,60.760000000000005,"LINESTRING (74.6397535 26.4709259, 74.639527 26.4710815, 74.6393137 26.4713009)",MakadWali Road,2,
419210268,residential,,False,False,44.943,"LINESTRING (74.6382141 26.4721718, 74.6384326 26.4725255)",,,
922342397,trunk,,False,False,38.743,"LINESTRING (74.6382141 26.4721718, 74.6385491 26.4719944)",MakadWali Road,2,
