osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,tunnel
577777410,87,袖ケ浦中島木更津線,primary,False,False,127.201,"LINESTRING (139.953298 35.4277993, 139.9545023 35.4283872)",,
371760124,,,residential,False,True,117.06000000000002,"LINESTRING (139.953298 35.4277993, 139.9536564 35.4272824, 139.9536483 35.4272118, 139.9535711 35.4271606, 139.9532628 35.4269841)",,
577777410,87,袖ケ浦中島木更津線,primary,False,True,103.768,"LINESTRING (139.953298 35.4277993, 139.9527849 35.4276203, 139.952232 35.4274594)",,
38073057,224,,secondary,True,False,44.472,"LINESTRING (139.9586274 35.4303084, 139.9583812 35.4306544)",,
577777410,87,袖ケ浦中島木更津線,primary,False,False,105.903,"LINESTRING (139.9586274 35.4303084, 139.9596353 35.4307907)",,
577777410,87,袖ケ浦中島木更津線,primary,False,True,87.79,"LINESTRING (139.9586274 35.4303084, 139.9577774 35.4299294)",,
38073242,,袖ケ浦駅前通り,tertiary,False,True,131.138,"LINESTRING (139.9586274 35.4303084, 139.9587263 35.430144, 139.9589502 35.4299083, 139.959194 35.4296537, 139.959517 35.4293862)",,
38350098,143,南総昭和線,secondary,False,True,27.208,"LINESTRING (139.9560239 35.4288194, 139.9559887 35.4290624)",,
38350098,143,南総昭和線,secondary,False,False,79.513,"LINESTRING (139.9560239 35.4288194, 139.9560418 35.4286277, 139.956037 35.4283737, 139.9560102 35.4281058)",,
400918333,,,unclassified,False,False,82.686,"LINESTRING (139.9560239 35.4288194, 139.9562475 35.4289266, 139.9566485 35.4290588, 139.9568481 35.4291353)",,
38350098,143,南総昭和線,secondary,False,True,89.23700000000001,"LINESTRING (139.9564989 35.4254285, 139.9563152 35.4256029, 139.9561968 35.4257409, 139.956114 35.4258663, 139.9560375 35.4260105, 139.9559925 35.4261087)",,
38350098,143,南総昭和線,secondary,False,True,79.437,"LINESTRING (139.9559236 35.4273949, 139.9560102 35.4281058)",,
38350098,143,南総昭和線,secondary,False,False,117.334,"LINESTRING (139.9559236 35.4273949, 139.9558783 35.426739, 139.9559035 35.4264772, 139.9559188 35.4263421)",,
156210326,,,residential,False,False,182.904,"LINESTRING (139.9559236 35.4273949, 139.9562648 35.4274708, 139.9563659 35.42749, 139.9564547 35.4275352, 139.9575397 35.4283269)",1,
156214880,,,residential,False,True,39.353,"LINESTRING (139.9578374 35.4280692, 139.9575397 35.4283269)",1,
371795341,,,residential,False,False,73.099,"LINESTRING (139.9578374 35.4280692, 139.9572456 35.4276224)",1,
371795341,,,residential,False,True,42.223,"LINESTRING (139.9578374 35.4280692, 139.9581747 35.4283312)",1,
156214880,,,residential,False,False,39.353,"LINESTRING (139.9575397 35.4283269, 139.9578374 35.4280692)",1,
156210326,,,residential,False,False,135.213,"LINESTRING (139.9575397 35.4283269, 139.9577594 35.4285163, 139.9578933 35.4286927, 139.9581712 35.4289233, 139.9585353 35.4286193)",1,
156210326,,,residential,False,True,182.904,"LINESTRING (139.9575397 35.4283269, 139.9564547 35.4275352, 139.9563659 35.42749, 139.9562648 35.4274708, 139.9559236 35.4273949)",1,
371795341,,,residential,False,False,45.758,"LINESTRING (139.9585353 35.4286193, 139.9581747 35.4283312)",1,
371795341,,,residential,False,True,74.987,"LINESTRING (139.9585353 35.4286193, 139.9591346 35.4290844)",1,
156210326,,,residential,False,True,135.21299999999997,"LINESTRING (139.9585353 35.4286193, 139.9581712 35.4289233, 139.9578933 35.4286927, 139.9577594 35.4285163, 139.9575397 35.4283269)",1,
371795341,,,residential,False,False,48.235,"LINESTRING (139.959517 35.4293862, 139.9591346 35.4290844)",1,
