osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,maxspeed,bridge,est_width,tunnel
715825524,residential,False,False,297.442,"LINESTRING (139.2222283 35.3371874, 139.2222624 35.3369911, 139.2222463 35.3369266, 139.2222168 35.3368194, 139.2221349 35.3367176, 139.22208 35.3366575, 139.2220625 35.3366181, 139.2220652 35.3365787, 139.2220813 35.3365437, 139.222261 35.3364015, 139.2223737 35.3364146, 139.2226164 35.3363336, 139.2229302 35.336291, 139.2230214 35.3362264, 139.2230952 35.3362122, 139.2232105 35.3362056, 139.2233728 35.3361126, 139.2234492 35.3360465, 139.2235015 35.3359781, 139.2235478 35.3359031, 139.2235592 35.3358534, 139.2236155 35.3354759, 139.2236839 35.3353785)",,,,,,,
1033168018,primary,False,False,60.242,"LINESTRING (139.2222283 35.3371874, 139.2221089 35.3370424, 139.2220318 35.336958, 139.2218742 35.3368339, 139.2217871 35.3367907)",2,77,平塚松田線,40,,,
"[531077433, 1033168018, 1033168019]",primary,False,True,103.946,"LINESTRING (139.2222283 35.3371874, 139.2223992 35.337526, 139.2224785 35.3376833, 139.2225193 35.3377642, 139.2225526 35.3378301, 139.2226057 35.3379353, 139.2226449 35.3380572)",2,77,平塚松田線,40,yes,,
318370325,unclassified,False,False,63.619,"LINESTRING (139.2183225 35.3320522, 139.2183626 35.331481)",,,,,,,
"[1033168017, 990459517]",unclassified,False,False,98.172,"LINESTRING (139.2183225 35.3320522, 139.2179767 35.3319327, 139.2177808 35.3318512, 139.2175557 35.3317542, 139.2174339 35.3317211, 139.2173304 35.3317145)",1,,平塚松田線旧道,30,,,
990459517,unclassified,False,True,80.612,"LINESTRING (139.2183225 35.3320522, 139.2190158 35.3321883, 139.2191183 35.3321959, 139.2191782 35.3321624)",1,,平塚松田線旧道,30,,,
1033168016,unclassified,False,False,69.977,"LINESTRING (139.2173304 35.3317145, 139.2177144 35.3311687)",,,,30,,,
93458526,unclassified,False,False,112.861,"LINESTRING (139.2173304 35.3317145, 139.2173303 35.3318043, 139.2173589 35.3320779, 139.2172506 35.3325241, 139.217226 35.3327188)",,,,,,,
"[990459520, 1033168017, 990459521]",unclassified,False,False,145.785,"LINESTRING (139.2173304 35.3317145, 139.2171986 35.3317397, 139.2169913 35.3317836, 139.2157771 35.3320506)",1,,平塚松田線旧道,30,yes,,
"[1033168017, 990459517]",unclassified,False,True,98.172,"LINESTRING (139.2173304 35.3317145, 139.2174339 35.3317211, 139.2175557 35.3317542, 139.2177808 35.3318512, 139.2179767 35.3319327, 139.2183225 35.3320522)",1,,平塚松田線旧道,30,,,
41518988,unclassified,False,False,439.305,"LINESTRING (139.2226449 35.3380572, 139.2227908 35.3380335, 139.2229891 35.3380085, 139.2230517 35.3379925, 139.2231209 35.3379415, 139.2231593 35.337893, 139.2232167 35.3377927, 139.2232647 35.3376924, 139.2233242 35.3375648, 139.2233844 35.3374755, 139.2234662 35.3373711, 139.2235403 35.337278, 139.2236036 35.3371937, 139.2236568 35.3371184, 139.2236794 35.3370576, 139.2236866 35.3370068, 139.2236875 35.3369608, 139.2236821 35.3369224, 139.2236359 35.3368068, 139.2236098 35.3367352, 139.2235913 35.3366749, 139.2235859 35.3366297, 139.2235949 35.3365709, 139.2236276 35.3365275, 139.2236724 35.3364893, 139.22374 35.3364501, 139.2238122 35.3364185, 139.223916 35.3363891, 139.2240213 35.3363673, 139.2241728 35.3363538, 139.2243425 35.3363507, 139.2245625 35.3363496, 139.2246421 35.3363596, 139.2247093 35.3363798, 139.2247633 35.3364077, 139.2248172 35.3364407, 139.2249507 35.3365642, 139.2250013 35.3366156, 139.2250596 35.3366896, 139.2250858 35.3367347, 139.225112 35.336786, 139.2251368 35.3368526, 139.2251586 35.3369179, 139.2252109 35.3371619, 139.2252332 35.3372477, 139.2252584 35.3372951)",,,,,,,
"[531077433, 1033168018, 1033168019]",primary,False,False,103.946,"LINESTRING (139.2226449 35.3380572, 139.2226057 35.3379353, 139.2225526 35.3378301, 139.2225193 35.3377642, 139.2224785 35.3376833, 139.2223992 35.337526, 139.2222283 35.3371874)",2,77,平塚松田線,40,yes,,
