osmid,bridge,tunnel,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed
882378290,no,no,2,8,飯田南木曽線,primary,False,False,210.06799999999998,"LINESTRING (137.8196724 35.5171099, 137.8197279 35.5170799, 137.8206455 35.5165768, 137.8211332 35.5163119, 137.8215342 35.5161029, 137.8216083 35.5160681)",
882378290,no,no,2,8,飯田南木曽線,primary,False,True,81.718,"LINESTRING (137.8196724 35.5171099, 137.8195913 35.5171532, 137.8189986 35.5174714, 137.8189214 35.5175177)",
"[1184116710, 118400583]",no,,,,,tertiary,False,False,32.363,"LINESTRING (137.8196724 35.5171099, 137.8197246 35.5171641, 137.8198163 35.5172675, 137.8198748 35.5173493)",
"[1184116710, 151797455]",no,,,,,"['unclassified', 'tertiary']",False,"[False, True]",243.23000000000002,"LINESTRING (137.8196724 35.5171099, 137.8196257 35.5170644, 137.8196181 35.5170576, 137.8195194 35.5169476, 137.819129 35.5162424, 137.8190777 35.5161877, 137.8189017 35.5158947, 137.8183134 35.5161556, 137.8180067 35.5162557)",
151797464,,,,,,tertiary,False,False,83.09599999999999,"LINESTRING (137.8216083 35.5160681, 137.8216933 35.5160214, 137.8223815 35.5156652)",
151797504,,,,,三州街道,tertiary,False,True,61.356,"LINESTRING (137.8216083 35.5160681, 137.8215637 35.516015, 137.8212054 35.5156244)",
882378290,no,no,2,8,飯田南木曽線,primary,False,True,210.068,"LINESTRING (137.8216083 35.5160681, 137.8215342 35.5161029, 137.8211332 35.5163119, 137.8206455 35.5165768, 137.8197279 35.5170799, 137.8196724 35.5171099)",
1020445912,no,no,2,8,飯田南木曽線,primary,False,False,18.254,"LINESTRING (137.8216083 35.5160681, 137.8216529 35.5161206, 137.8217218 35.5162038)",
118400764,,,2,256,国道256号,trunk,False,False,73.733,"LINESTRING (137.8247234 35.5173188, 137.8246639 35.5172483, 137.824331 35.5167978, 137.8242981 35.5167534)",
118400767,,,2,151,中央通り,trunk,False,True,23.256,"LINESTRING (137.8247234 35.5173188, 137.8246445 35.5173591, 137.8245031 35.5174264)",
