osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,tunnel,bridge
69333015,2,67,西京高槻線,primary,False,False,69.488,"LINESTRING (135.6883187 34.9032519, 135.6885716 34.9038414)",,,
69333015,2,67,西京高槻線,primary,False,True,203.28,"LINESTRING (135.6883187 34.9032519, 135.6880882 34.9027863, 135.6880342 34.9026809, 135.6880198 34.9026528, 135.6878044 34.9022713, 135.6874321 34.9016413, 135.6873996 34.9015872)",,,
126173199,,,,unclassified,False,True,168.362,"LINESTRING (135.6883187 34.9032519, 135.6883869 34.9032682, 135.6885468 34.9033039, 135.6886872 34.9033588, 135.6898505 34.9036221, 135.690097 34.9036076)",,,
58682667,2,212,下植野大山崎線,secondary,False,False,30.104999999999997,"LINESTRING (135.686404 34.9001675, 135.6864443 34.9001547, 135.6865537 34.9001209, 135.6866576 34.9000969, 135.6867195 34.9000933)",,,
69333015,2,67,西京高槻線,primary,False,False,68.601,"LINESTRING (135.686404 34.9001675, 135.6866058 34.9004593, 135.6867835 34.9007001)",,,
58682667,2,212,下植野大山崎線,secondary,False,False,144.734,"LINESTRING (135.6880578 34.900811, 135.6885915 34.9010999, 135.6889349 34.9012826, 135.6893582 34.9015553)",,,
58682667,2,212,下植野大山崎線,secondary,False,True,51.777,"LINESTRING (135.6880578 34.900811, 135.6877665 34.9006445, 135.6875988 34.9005372)",,,
194234453,,,,residential,False,True,53.423,"LINESTRING (135.6880578 34.900811, 135.6879718 34.9008903, 135.6880037 34.9012637)",,,
69333015,2,67,西京高槻線,primary,False,True,69.488,"LINESTRING (135.6885716 34.9038414, 135.6883187 34.9032519)",,,
58683332,,,,unclassified,False,False,194.601,"LINESTRING (135.6885716 34.9038414, 135.6885873 34.9038914, 135.6886601 34.9041236, 135.688729 34.9043366, 135.6887985 34.9046163, 135.6888349 34.9048498, 135.6888895 34.9055659)",,,
126173205,2,67,西京高槻線,primary,False,False,144.632,"LINESTRING (135.6885716 34.9038414, 135.6886876 34.9038713, 135.690086 34.9042278)",,,
126173337,2,,,tertiary,False,False,20.38,"LINESTRING (135.6885716 34.9038414, 135.6885055 34.9038237, 135.6883592 34.9037844)",,,
85266365,,,,unclassified,False,False,139.518,"LINESTRING (135.6918928 34.90846, 135.6918483 34.9084431, 135.6918347 34.9084138, 135.6918139 34.9081886, 135.6917962 34.9079615, 135.6918335 34.9076353, 135.6918641 34.9075758, 135.6918923 34.9074293, 135.6918835 34.9073962, 135.6918628 34.9073636, 135.6918118 34.9073244, 135.6917418 34.907303)",,,
85266373,,,,unclassified,False,False,194.338,"LINESTRING (135.6918928 34.90846, 135.6915536 34.9084898, 135.6914541 34.9084547, 135.6913187 34.9083953, 135.6912134 34.9083502, 135.6912201 34.9083109, 135.6913334 34.9078784, 135.6914689 34.9073351, 135.6915013 34.9072189)",,,
489810822,,,,unclassified,False,False,12.255,"LINESTRING (135.6910883 34.9072476, 135.6910377 34.9073497)",,,
85266367,,,,unclassified,False,False,197.44700000000003,"LINESTRING (135.6910883 34.9072476, 135.6912798 34.9069231, 135.6914729 34.9065861, 135.6916851 34.9061635, 135.6918149 34.9058108, 135.6918277 34.9056668, 135.6918357 34.9055941)",,,
85266367,,,,unclassified,False,True,39.299,"LINESTRING (135.6910883 34.9072476, 135.6911398 34.9072636, 135.691244 34.907278, 135.6914203 34.9072218, 135.6915013 34.9072189)",,,
487232601,,,,unclassified,False,True,26.372,"LINESTRING (135.6910883 34.9072476, 135.6910928 34.9073189, 135.6911082 34.9073778, 135.6911478 34.9074267, 135.6911967 34.9074509)",,,
69333015,2,67,西京高槻線,primary,False,False,203.28,"LINESTRING (135.6873996 34.9015872, 135.6874321 34.9016413, 135.6878044 34.9022713, 135.6880198 34.9026528, 135.6880342 34.9026809, 135.6880882 34.9027863, 135.6883187 34.9032519)",,,
69333015,2,67,西京高槻線,primary,False,True,49.795,"LINESTRING (135.6873996 34.9015872, 135.6873727 34.9015429, 135.6871505 34.9011887)",,,
85269260,,,,tertiary,False,False,180.726,"LINESTRING (135.6873996 34.9015872, 135.6874513 34.9015696, 135.6875316 34.9015394, 135.687637 34.901517, 135.6878291 34.9015119, 135.6888945 34.9015824, 135.6890933 34.901584, 135.6892694 34.901576, 135.6893582 34.9015553)",,,
194234446,,,,residential,False,True,213.10399999999998,"LINESTRING (135.6873996 34.9015872, 135.6873468 34.9016056, 135.6868659 34.9017741, 135.6866046 34.9012526, 135.6864175 34.9008626, 135.6863243 34.900727, 135.6861775 34.9007831, 135.6861225 34.9007864, 135.6860507 34.9007688, 135.685983 34.9007402)",,,
58682667,2,212,下植野大山崎線,secondary,False,False,71.632,"LINESTRING (135.6893582 34.9015553, 135.6900113 34.9019132)",,,
58682667,2,212,下植野大山崎線,secondary,False,True,144.734,"LINESTRING (135.6893582 34.9015553, 135.6889349 34.9012826, 135.6885915 34.9010999, 135.6880578 34.900811)",,,
85269260,,,,tertiary,False,True,180.726,"LINESTRING (135.6893582 34.9015553, 135.6892694 34.901576, 135.6890933 34.901584, 135.6888945 34.9015824, 135.6878291 34.9015119, 135.687637 34.901517, 135.6875316 34.9015394, 135.6874513 34.9015696, 135.6873996 34.9015872)",,,
"[477653516, 126172724]",,,,residential,False,True,33.6,"LINESTRING (135.6844525 34.8999269, 135.6845124 34.9000856, 135.6845679 34.9002138)",,,
126172666,,,,unclassified,False,True,3.301,"LINESTRING (135.6855716 34.899972, 135.6856042 34.8999591)",,,
"[126172724, 477653516]",,,,residential,False,False,33.6,"LINESTRING (135.6845679 34.9002138, 135.6845124 34.9000856, 135.6844525 34.8999269)",,,
126172724,,,,residential,False,True,36.674,"LINESTRING (135.6845679 34.9002138, 135.6846522 34.9003617, 135.6847506 34.9005074)",,,
126172773,,,,residential,False,True,169.511,"LINESTRING (135.6845679 34.9002138, 135.6839288 34.9003748, 135.6839203 34.9004612, 135.6839801 34.9006776, 135.6840592 34.9007001, 135.6847506 34.9005074)",,,
126172724,,,,residential,False,False,36.674,"LINESTRING (135.6847506 34.9005074, 135.6846522 34.9003617, 135.6845679 34.9002138)",,,
