osmid,highway,oneway,reversed,length,lanes,ref,name,geometry,bridge,tunnel,maxspeed
124500933,unclassified,False,True,8.799,,,,"LINESTRING (137.2460022 36.1358349, 137.2460871 36.1358744)",,,
245134497,trunk,True,False,48.791000000000004,2,41,高山バイパス,"LINESTRING (137.2460022 36.1358349, 137.2458377 36.136146, 137.2457854 36.1362372)",,,
245136975,secondary,False,True,143.648,2,460,石浦陣屋下切線,"LINESTRING (137.2544272 36.142763, 137.2543488 36.1440533)",,,
733260725,trunk,False,False,36.275,2,158,国道158号,"LINESTRING (137.2544272 36.142763, 137.254831 36.1427534)",,,
814971575,trunk,False,True,79.201,2,158,国道158号,"LINESTRING (137.2544272 36.142763, 137.2544928 36.1420527)",,,
28694598,primary,False,True,85.732,2,74,高山停車場線,"LINESTRING (137.2544272 36.142763, 137.2539038 36.1427728, 137.2534726 36.1427736)",,,
124363582,tertiary,False,False,82.324,,,,"LINESTRING (137.2546272 36.1406698, 137.2537156 36.1405913)",,,
124539992,secondary,False,True,51.317,2,462,岩井高山停車場線,"LINESTRING (137.2546272 36.1406698, 137.2551969 36.1407061)",,,
814971575,trunk,False,False,93.306,2,158,国道158号,"LINESTRING (137.2546272 36.1406698, 137.2545467 36.1415064)",,,
814971577,trunk,False,True,58.638,2,158,国道158号,"LINESTRING (137.2546272 36.1406698, 137.2546846 36.1401445)",,,
26830727,secondary,False,False,77.002,,460,石浦陣屋下切線,"LINESTRING (137.2549126 36.1385278, 137.2550154 36.1378403)",,,
124539997,trunk,False,True,49.067,2,158,国道158号,"LINESTRING (137.2549126 36.1385278, 137.2543684 36.1384882)",,,
814971577,trunk,False,False,124.532,2,158,国道158号,"LINESTRING (137.2549126 36.1385278, 137.2547584 36.1396408)",,,
814971576,secondary,False,True,86.428,,460,石浦陣屋下切線,"LINESTRING (137.2549126 36.1385278, 137.255148 36.1385422, 137.2558723 36.1385864)",,,
124539992,secondary,False,False,80.63,2,462,岩井高山停車場線,"LINESTRING (137.2560921 36.1407624, 137.2551969 36.1407061)",,,
124511374,unclassified,False,True,71.151,,,,"LINESTRING (137.2560921 36.1407624, 137.2560856 36.1404784, 137.2560644 36.1403402, 137.2559713 36.1401371)",,,
124511484,unclassified,False,True,54.63,,,,"LINESTRING (137.2560921 36.1407624, 137.2560622 36.1410475, 137.2560261 36.1412506)",,,
124539997,trunk,False,False,6.736,2,158,国道158号,"LINESTRING (137.2523714 36.1383917, 137.2524464 36.1383927)",,,
34925898,tertiary,False,False,121.27000000000001,,,,"LINESTRING (137.2523714 36.1383917, 137.2523081 36.1390101, 137.2522573 36.1394784)",,,
"[124540016, 124539997, 124494807]",trunk,False,True,139.861,2,158,国道158号,"LINESTRING (137.2523714 36.1383917, 137.2516551 36.1383825, 137.2514685 36.1383785, 137.2511137 36.1383664, 137.2508153 36.1383478)",viaduct,,
34925898,tertiary,False,True,110.615,,,,"LINESTRING (137.2521137 36.1404664, 137.2522573 36.1394784)",,,
124363582,tertiary,False,True,62.247,,,,"LINESTRING (137.2521137 36.1404664, 137.2528036 36.1405209)",,,
28694598,primary,False,False,97.62900000000002,2,74,高山停車場線,"LINESTRING (137.2521137 36.1404664, 137.2520618 36.1405493, 137.2519933 36.1412276, 137.2519827 36.1413318)",,,
124363583,tertiary,False,False,90.6,,,,"LINESTRING (137.2517963 36.1431679, 137.2517018 36.1439791)",,,
124363583,tertiary,False,True,40.271,,,,"LINESTRING (137.2517963 36.1431679, 137.2518337 36.142807)",,,
128285556,unclassified,False,True,222.53900000000002,,,,"LINESTRING (137.2517963 36.1431679, 137.2511653 36.1431084, 137.2513033 36.1421099, 137.2519006 36.1421447)",,,
28694598,primary,False,False,65.167,2,74,高山停車場線,"LINESTRING (137.2518337 36.142807, 137.2525593 36.1427961)",,,
28694598,primary,False,True,73.889,2,74,高山停車場線,"LINESTRING (137.2518337 36.142807, 137.2519006 36.1421447)",,,
124363583,tertiary,False,False,40.271,,,,"LINESTRING (137.2518337 36.142807, 137.2517963 36.1431679)",,,
"[128254577, 128106570, 128059055]",tertiary,False,True,174.649,2,,,"LINESTRING (137.2518337 36.142807, 137.2512417 36.142769, 137.2504861 36.1427453, 137.2498914 36.1427323)",,yes,
28694596,unclassified,False,True,149.586,,,,"LINESTRING (137.2483272 36.1381676, 137.2482643 36.1395119)",,,
124540016,trunk,False,False,155.556,2,158,国道158号,"LINESTRING (137.2483272 36.1381676, 137.2500529 36.138289)",,,
124540016,trunk,False,True,118.227,2,158,国道158号,"LINESTRING (137.2483272 36.1381676, 137.2476562 36.1381384, 137.2470137 36.1380967)",,,
124509188,unclassified,False,True,61.36,,,,"LINESTRING (137.2539554 36.1384658, 137.2539047 36.1390161)",,,
124511180,unclassified,False,False,67.025,,,,"LINESTRING (137.2539554 36.1384658, 137.2540093 36.1378646)",,,
