osmid,highway,oneway,reversed,length,lanes,ref,name,est_width,bridge,geometry
121181525,residential,False,False,8.634,,,,,,"LINESTRING (135.9844522 35.0228268, 135.9844353 35.0229032)"
"[897408137, 897408138, 897408132]",trunk,True,False,254.03300000000002,2,1;8,東海道,5.5m〜13.0m,yes,"LINESTRING (135.9844522 35.0228268, 135.9844136 35.0228202, 135.9843286 35.022806, 135.9817188 35.0223701)"
"[121180012, 700618183]",residential,False,False,11.224,,,,,yes,"LINESTRING (135.9824635 35.0236015, 135.982478 35.0236721, 135.9824835 35.0237011)"
"[700618184, 121180820]",residential,False,False,44.86,,,,,,"LINESTRING (135.9815595 35.0234637, 135.9813105 35.0237729, 135.9812933 35.0238028)"
"[121180067, 121179895]","['unclassified', 'tertiary']",False,True,114.50399999999999,,,,,,"LINESTRING (135.983276 35.0233476, 135.9831139 35.0234623, 135.9830551 35.023526, 135.9830487 35.0236227, 135.9831412 35.0237254, 135.9835737 35.0241462)"
"[121180700, 121180173, 700618182]",unclassified,False,False,96.70899999999999,,,,,yes,"LINESTRING (135.983276 35.0233476, 135.983261 35.023301, 135.9832423 35.0232169, 135.9832204 35.0231416, 135.9831721 35.0230679, 135.9830997 35.0229875, 135.9828678 35.0227662, 135.982774 35.0226723, 135.9827279 35.0226229)"
121181817,residential,False,True,82.852,,,,,,"LINESTRING (135.983276 35.0233476, 135.9830583 35.023417, 135.9828715 35.0235314, 135.98272 35.0236058, 135.9825895 35.0236756, 135.9824835 35.0237011)"
"[121181525, 700618191]",residential,False,"[False, True]",125.13800000000002,,,,,,"LINESTRING (135.983276 35.0233476, 135.9834122 35.0233069, 135.9835658 35.023231, 135.9836129 35.0232234, 135.9836892 35.0231886, 135.9838494 35.0231788, 135.9839868 35.0231813, 135.9840971 35.0231736, 135.9841947 35.0231524, 135.9842728 35.0231218, 135.9843481 35.0230571, 135.9844144 35.0229664, 135.9844233 35.0229394, 135.9844353 35.0229032)"
121181330,residential,False,True,36.174,,,,,,"LINESTRING (135.9817175 35.0236165, 135.9815459 35.0239099)"
121180804,unclassified,False,True,9.063,,,,,,"LINESTRING (135.9886025 35.0238316, 135.9886845 35.0237854)"
121181817,residential,False,False,82.85199999999999,,,,,,"LINESTRING (135.9824835 35.0237011, 135.9825895 35.0236756, 135.98272 35.0236058, 135.9828715 35.0235314, 135.9830583 35.023417, 135.983276 35.0233476)"
121181817,residential,False,True,92.38799999999999,,,,,,"LINESTRING (135.9824835 35.0237011, 135.9823778 35.0237137, 135.982257 35.0237281, 135.982118 35.0237182, 135.98202 35.0237023, 135.981979 35.023733, 135.9819471 35.0238304, 135.981895 35.0238975, 135.98169 35.024042)"
"[121180012, 700618183]",residential,False,True,11.224,,,,,yes,"LINESTRING (135.9824835 35.0237011, 135.982478 35.0236721, 135.9824635 35.0236015)"
121181817,residential,False,True,34.176,,,,,,"LINESTRING (135.98169 35.024042, 135.981915 35.024288)"
121181817,residential,False,False,92.388,,,,,,"LINESTRING (135.98169 35.024042, 135.981895 35.0238975, 135.9819471 35.0238304, 135.981979 35.023733, 135.98202 35.0237023, 135.982118 35.0237182, 135.982257 35.0237281, 135.9823778 35.0237137, 135.9824835 35.0237011)"
700618186,residential,False,True,20.102,,,,,,"LINESTRING (135.98169 35.024042, 135.9816688 35.0240294, 135.981577 35.0239219, 135.9815459 35.0239099)"
121179780,unclassified,False,True,139.658,,,,,,"LINESTRING (135.9835737 35.0241462, 135.9823259 35.0248765)"
121179793,tertiary,False,True,115.439,,,,,,"LINESTRING (135.9835737 35.0241462, 135.9836083 35.0241793, 135.9843772 35.0249492)"
"[121180067, 121179895]","['unclassified', 'tertiary']",False,False,114.504,,,,,,"LINESTRING (135.9835737 35.0241462, 135.9831412 35.0237254, 135.9830487 35.0236227, 135.9830551 35.023526, 135.9831139 35.0234623, 135.983276 35.0233476)"
121180183,unclassified,False,True,28.052,,,,,,"LINESTRING (135.9803458 35.0243824, 135.9804844 35.0246077)"
121181793,unclassified,False,False,18.44,,,,,,"LINESTRING (135.9803458 35.0243824, 135.9802738 35.0242274)"
