osmid,highway,oneway,reversed,length,lanes,geometry,maxspeed,ref,name,bridge,tunnel,width,access
77882357,unclassified,False,True,8.246,,"LINESTRING (130.0241809 33.1951695, 130.0242525 33.1952132)",,,,,,,
889397319,tertiary,True,False,57.141,2,"LINESTRING (130.0241809 33.1951695, 130.0238077 33.1955776)",,,,,,,
77882357,unclassified,False,False,92.333,,"LINESTRING (130.0241809 33.1951695, 130.0241297 33.1951366, 130.0233943 33.1946633)",,,,,,,
190142711,residential,False,False,51.515,,"LINESTRING (130.0202485 33.1922836, 130.0200695 33.192722)",,,,,,,
454175410,tertiary,True,False,67.758,2,"LINESTRING (130.0202485 33.1922836, 130.0205577 33.1923579, 130.0209389 33.192476)",40,,,,,,
79355215,trunk,True,False,67.074,2,"LINESTRING (130.0231491 33.1921085, 130.0238694 33.1921314)",,34,武雄バイパス,,,,
454156773,residential,False,True,91.448,,"LINESTRING (130.0231491 33.1921085, 130.0231043 33.1921587, 130.0230673 33.1921908, 130.0226938 33.1924547, 130.0224331 33.1926694)",,,,,,,
"[505427529, 80429525]",trunk,True,False,151.527,"['2', '4']","LINESTRING (130.0209811 33.1921641, 130.0217631 33.1921681, 130.0224908 33.1921416, 130.0226086 33.1921357)",,34,武雄バイパス,yes,,,
454280487,tertiary,False,True,8.572,2,"LINESTRING (130.0245726 33.1947319, 130.0246459 33.1947786)",40,,,,,,
454280487,tertiary,False,False,128.904,2,"LINESTRING (130.0245726 33.1947319, 130.0243989 33.1946211, 130.0234708 33.1940292)",40,,,,,,
889397319,tertiary,True,False,60.79599999999999,2,"LINESTRING (130.0245726 33.1947319, 130.0244148 33.1949082, 130.0241809 33.1951695)",,,,,,,
190141711,tertiary,True,False,16.49,,"LINESTRING (130.0209389 33.192476, 130.0207987 33.1923853)",,,,,,,
454419310,tertiary,False,True,76.592,2,"LINESTRING (130.0209389 33.192476, 130.0213364 33.1926822, 130.0216257 33.192855)",40,,,,,,
425647088,tertiary,False,False,58.458,,"LINESTRING (130.0240483 33.1915309, 130.0240253 33.1917696, 130.0239596 33.1919748, 130.023911 33.1920364)",50,,,,,,
"[425647088, 81239510, 425647087]",tertiary,False,True,63.721,,"LINESTRING (130.0240483 33.1915309, 130.0240492 33.1914924, 130.0240697 33.191078, 130.0240778 33.1909584)",50,,,yes,,,
78007139,unclassified,False,False,64.994,,"LINESTRING (130.0234655 33.1927051, 130.0240202 33.1930603)",,,,,,,
425647088,tertiary,False,False,57.143,,"LINESTRING (130.0234655 33.1927051, 130.0232524 33.1928667, 130.0229963 33.1930362)",50,,,,,,
425647088,tertiary,False,True,74.774,,"LINESTRING (130.0234655 33.1927051, 130.0235608 33.1926136, 130.0237101 33.1924355, 130.023802 33.1922991, 130.0238694 33.1921314)",50,,,,,,
425647088,tertiary,False,False,63.571,,"LINESTRING (130.0229963 33.1930362, 130.0224475 33.1933767)",50,,,,,,
454156774,unclassified,False,False,66.408,,"LINESTRING (130.0229963 33.1930362, 130.0224331 33.1926694)",,,,,,,
454156774,unclassified,False,True,101.796,,"LINESTRING (130.0229963 33.1930362, 130.0238655 33.1935921)",,,,,,,
425647088,tertiary,False,True,57.143,,"LINESTRING (130.0229963 33.1930362, 130.0232524 33.1928667, 130.0234655 33.1927051)",50,,,,,,
190677458,tertiary,False,False,56.806,2,"LINESTRING (130.0224475 33.1933767, 130.0219618 33.1930672)",50,,,,,,
425647088,tertiary,False,True,63.571,,"LINESTRING (130.0224475 33.1933767, 130.0229963 33.1930362)",50,,,,,,
454280487,tertiary,False,True,119.711,2,"LINESTRING (130.0224475 33.1933767, 130.0234708 33.1940292)",40,,,,,,
"[889397321, 78007130]",tertiary,False,"[False, True]",60.593999999999994,"['2', '3']","LINESTRING (130.0224475 33.1933767, 130.022094 33.193674, 130.0219882 33.193763)",50,,,,,,
78007122,unclassified,False,False,55.705,,"LINESTRING (130.0242264 33.1931924, 130.0238655 33.1935921)",,,,,,,
78007139,unclassified,False,True,24.164,,"LINESTRING (130.0242264 33.1931924, 130.0240202 33.1930603)",,,,,,,
78007122,unclassified,False,True,60.919,,"LINESTRING (130.0234708 33.1940292, 130.0238655 33.1935921)",,,,,,,
454280487,tertiary,False,False,119.711,2,"LINESTRING (130.0234708 33.1940292, 130.0224475 33.1933767)",40,,,,,,
"[984283696, 78007122, 78007132]",unclassified,False,False,60.516000000000005,,"LINESTRING (130.0234708 33.1940292, 130.0232877 33.194232, 130.0232374 33.1942877, 130.0230787 33.1944634)",,,,yes,,,
454280487,tertiary,False,True,128.904,2,"LINESTRING (130.0234708 33.1940292, 130.0243989 33.1946211, 130.0245726 33.1947319)",40,,,,,,
78007139,unclassified,False,False,24.164,,"LINESTRING (130.0240202 33.1930603, 130.0242264 33.1931924)",,,,,,,
