osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,width
160690407,2,25,観音通り,primary,False,True,11.131,"LINESTRING (139.0032657 36.3181986, 139.003158 36.3181487)",,,
160690407,2,25,観音通り,primary,False,False,75.22,"LINESTRING (139.0032657 36.3181986, 139.0033733 36.3182524, 139.0036053 36.3183243, 139.0038096 36.3183751, 139.004053 36.318423)",,,
160576226,,,,tertiary,False,False,64.987,"LINESTRING (139.0064497 36.3198226, 139.0066964 36.319273)",,,
160690407,2,25,観音通り,primary,False,False,57.631,"LINESTRING (139.0064497 36.3198226, 139.007021 36.3200608)",,,
160690407,2,25,観音通り,primary,False,True,46.044,"LINESTRING (139.0064497 36.3198226, 139.0059997 36.3196226)",,,
220492037,,,,residential,False,True,53.293000000000006,"LINESTRING (139.0064497 36.3198226, 139.0064426 36.3198918, 139.0063919 36.3202996)",30,,
33971700,2,25,旧中山道,primary,False,False,54.24,"LINESTRING (139.0077999 36.3203652, 139.0077226 36.320849)",,,
136145892,4,134,南大通り,secondary,False,False,66.265,"LINESTRING (139.0077999 36.3203652, 139.0078858 36.3197733)",,,
160690407,2,25,観音通り,primary,False,True,45.279,"LINESTRING (139.0077999 36.3203652, 139.0073406 36.3201953)",,,
159993815,2,,観音通り,tertiary,False,True,45.729,"LINESTRING (139.0077999 36.3203652, 139.0079545 36.3203864, 139.0083078 36.3203979)",,,
136145892,4,134,南大通り,secondary,False,True,25.805,"LINESTRING (139.0079223 36.3195431, 139.0078858 36.3197733)",,,
136145892,4,134,南大通り,secondary,False,False,66.979,"LINESTRING (139.0079223 36.3195431, 139.0079568 36.3193554, 139.0079994 36.319236, 139.0080731 36.3191292, 139.0081937 36.3189944)",,,
209023354,,,,residential,False,True,57.152,"LINESTRING (139.0079223 36.3195431, 139.007827 36.3195337, 139.0072891 36.3194808)",,,
160690407,2,25,観音通り,primary,False,False,11.131,"LINESTRING (139.003158 36.3181487, 139.0032657 36.3181986)",,,
809047742,2,17,高崎バイパス,trunk,True,False,459.024,"LINESTRING (139.003158 36.3181487, 139.0030716 36.3182609, 139.0026623 36.3187886, 139.0018914 36.3198611, 139.0016223 36.3202078, 139.0009109 36.3211068, 139.0004871 36.3216708)",60,,
159785603,2,,,tertiary,False,False,123.966,"LINESTRING (139.0069566 36.3258815, 139.0070649 36.3258856, 139.0083379 36.3259479)",,,
220490543,2,25,田町通り,primary,False,True,59.52,"LINESTRING (139.0069566 36.3258815, 139.0069718 36.3258083, 139.0070386 36.3253504)",,,
159785603,2,,,tertiary,False,True,123.966,"LINESTRING (139.0083379 36.3259479, 139.0070649 36.3258856, 139.0069566 36.3258815)",,,
159993818,,,,unclassified,True,False,56.015,"LINESTRING (139.0083379 36.3259479, 139.008344 36.3259043, 139.0084077 36.3254473)",,,
"[44716696, 265783045, 160009936]",2,,"['さくら橋通り', 'さくら橋']",tertiary,False,False,150.51500000000001,"LINESTRING (139.0026339 36.3256712, 139.0027691 36.3256838, 139.0041304 36.325804, 139.0042444 36.325814, 139.0042508 36.3258143, 139.0043042 36.3258168)",,yes,
77904203,4,29,渋川街道,primary,False,True,72.726,"LINESTRING (139.0026339 36.3256712, 139.0026477 36.3255276, 139.0026964 36.3250191)",,,12
220492036,4,29,シンフォニーロード,primary,False,True,37.627,"LINESTRING (139.0047313 36.3223867, 139.0051414 36.3223137)",,,
74430361,,,お濠端通り,tertiary,False,False,27.773,"LINESTRING (139.0047313 36.3223867, 139.0047305 36.3225137, 139.0047254 36.3226364)",,,
"[171775672, 160009930]",4,29,シンフォニーロード,primary,False,False,73.747,"LINESTRING (139.0047313 36.3223867, 139.0044962 36.3224242, 139.0040726 36.3224901, 139.0039249 36.3225193)",,yes,
"[160009929, 160009938, 695893157, 160009935]",2,,,tertiary,False,"[False, True]",205.785,"LINESTRING (139.0039249 36.3225193, 139.0039285 36.3223687, 139.004132 36.3210766, 139.004167 36.3207898, 139.0041754 36.3207109, 139.0041807 36.320681)",,yes,
