osmid,highway,oneway,reversed,length,lanes,width,geometry,bridge,maxspeed
172024432,unclassified,False,True,103.558,,,"LINESTRING (130.4760786 33.5342833, 130.4760437 33.5343151, 130.4753245 33.5349705)",,
181050270,tertiary,False,False,18.742,2,5,"LINESTRING (130.4763434 33.5346069, 130.4764744 33.5347353)",,
181050270,tertiary,False,True,43.556,2,5,"LINESTRING (130.4763434 33.5346069, 130.4760786 33.5342833)",,
57717858,tertiary,False,False,94.21600000000001,2,5,"LINESTRING (130.4763434 33.5346069, 130.4759813 33.5349671, 130.4756774 33.5352468)",,
61434184,tertiary,False,False,56.523,2,5,"LINESTRING (130.47573 33.5319835, 130.4755356 33.532021, 130.4753708 33.5320799, 130.4751691 33.5321737)",,
61434184,tertiary,False,True,67.814,2,5,"LINESTRING (130.47573 33.5319835, 130.4760427 33.5319259, 130.4762655 33.5318927, 130.4764466 33.531861)",,
61984286,unclassified,False,False,66.737,,,"LINESTRING (130.47573 33.5319835, 130.475711 33.5319146, 130.4756445 33.5318014, 130.4753123 33.531508)",,
61984286,unclassified,False,True,81.53699999999999,,,"LINESTRING (130.47573 33.5319835, 130.4757781 33.5320701, 130.4758184 33.5322098, 130.4758071 33.532416, 130.4757717 33.5325439, 130.4756883 33.5326841)",,
61434184,tertiary,False,True,11.869,2,5,"LINESTRING (130.4764466 33.531861, 130.4765457 33.5317934)",,
61434184,tertiary,False,False,67.814,2,5,"LINESTRING (130.4764466 33.531861, 130.4762655 33.5318927, 130.4760427 33.5319259, 130.47573 33.5319835)",,
61984287,unclassified,False,True,33.65,,,"LINESTRING (130.4764466 33.531861, 130.4764339 33.5320422, 130.4764152 33.5321623)",,
61964648,residential,True,False,29.618000000000002,1,2.5,"LINESTRING (130.4686071 33.5358164, 130.4687973 33.5358299, 130.4688273 33.535837, 130.4689019 33.5358893)",,
172017155,residential,False,False,28.428,,,"LINESTRING (130.4686071 33.5358164, 130.4686075 33.5357358, 130.4686973 33.5356169, 130.4687242 33.5355906)",,
176869719,residential,False,True,59.312000000000005,1,4,"LINESTRING (130.4686071 33.5358164, 130.468427 33.5358016, 130.4683892 33.5357975, 130.4683531 33.5358126, 130.4681201 33.5360012, 130.468068 33.5360175)",,
722207496,residential,False,False,29.073,,,"LINESTRING (130.4687242 33.5355906, 130.4689525 33.5354113)",,
172017155,residential,False,True,28.428,,,"LINESTRING (130.4687242 33.5355906, 130.4686973 33.5356169, 130.4686075 33.5357358, 130.4686071 33.5358164)",,
169515848,tertiary,False,True,65.812,2,5,"LINESTRING (130.4689525 33.5354113, 130.4694262 33.5358522)",,
722207496,residential,False,True,29.073,,,"LINESTRING (130.4689525 33.5354113, 130.4687242 33.5355906)",,
56453001,unclassified,False,True,55.796,,,"LINESTRING (130.4689525 33.5354113, 130.4688228 33.5352591, 130.4690901 33.5350363)",,
176869719,residential,False,False,59.312000000000005,1,4,"LINESTRING (130.468068 33.5360175, 130.4681201 33.5360012, 130.4683531 33.5358126, 130.4683892 33.5357975, 130.468427 33.5358016, 130.4686071 33.5358164)",,
176869719,residential,False,True,100.346,1,4,"LINESTRING (130.468068 33.5360175, 130.467961 33.5360528, 130.4672938 33.5366369)",,
176869719,residential,False,False,100.346,1,4,"LINESTRING (130.4672938 33.5366369, 130.467961 33.5360528, 130.468068 33.5360175)",,
54407456,tertiary,False,False,59.093,,,"LINESTRING (130.4713442 33.5328602, 130.4717805 33.5324727)",,
54407456,tertiary,False,True,320.72999999999996,,,"LINESTRING (130.4713442 33.5328602, 130.4691861 33.5346871, 130.469109 33.5347504, 130.4689738 33.5348106, 130.4688557 33.5348392)",,
57901367,tertiary,False,True,23.997,2,5,"LINESTRING (130.4713442 33.5328602, 130.4714156 33.5329274, 130.4714472 33.532952, 130.471525 33.5330144)",,
