osmid,lanes,ref,name,highway,access,oneway,reversed,length,geometry
127612274,2,299,国道299号,trunk,yes,False,False,123.712,"LINESTRING (139.012097 36.019096, 139.0132604 36.0185024)"
127612274,2,299,国道299号,trunk,yes,False,True,124.186,"LINESTRING (139.012097 36.019096, 139.0109345 36.0196987)"
127614073,,,,residential,,False,True,69.739,"LINESTRING (139.012097 36.019096, 139.0123014 36.019701)"
127615568,,,,residential,,False,False,49.114,"LINESTRING (139.012097 36.019096, 139.0120176 36.018659)"
127613434,,,,residential,,False,False,71.539,"LINESTRING (139.013487 36.0141371, 139.0133901 36.0141988, 139.013218 36.0143534, 139.0130664 36.0144588, 139.0128933 36.0145619)"
127613508,,,,unclassified,,False,False,120.06799999999998,"LINESTRING (139.013487 36.0141371, 139.0139017 36.0140132, 139.0139839 36.0140015, 139.0140682 36.0140221, 139.0141109 36.0140806, 139.0140775 36.0141687, 139.0140355 36.0142817, 139.0139665 36.0143997, 139.013908 36.0145137, 139.0139385 36.0145588)"
127613508,,,,unclassified,,False,True,120.06800000000001,"LINESTRING (139.0139385 36.0145588, 139.013908 36.0145137, 139.0139665 36.0143997, 139.0140355 36.0142817, 139.0140775 36.0141687, 139.0141109 36.0140806, 139.0140682 36.0140221, 139.0139839 36.0140015, 139.0139017 36.0140132, 139.013487 36.0141371)"
1158120879,,,,residential,,False,True,66.471,"LINESTRING (139.0139385 36.0145588, 139.0134663 36.0147626, 139.0132723 36.0148132)"
127613434,,,,residential,,False,False,63.166,"LINESTRING (139.0128933 36.0145619, 139.0122658 36.014817)"
127613434,,,,residential,,False,True,71.539,"LINESTRING (139.0128933 36.0145619, 139.0130664 36.0144588, 139.013218 36.0143534, 139.0133901 36.0141988, 139.013487 36.0141371)"
1158120878,,,,residential,,False,True,53.372,"LINESTRING (139.0128933 36.0145619, 139.0130699 36.0145423, 139.0131207 36.0145538, 139.0131736 36.0145899, 139.0132723 36.0148132)"
127613434,,,,residential,,False,True,63.166,"LINESTRING (139.0122658 36.014817, 139.0128933 36.0145619)"
241198218,,,,unclassified,,False,False,120.102,"LINESTRING (139.0122658 36.014817, 139.0119959 36.0149283, 139.0119517 36.0149947, 139.0120214 36.0151727, 139.012 36.015472, 139.0118899 36.0157302)"
540118377,,,,residential,,False,False,101.603,"LINESTRING (139.0122658 36.014817, 139.0124997 36.0151676, 139.0126767 36.0154329, 139.0127875 36.0156271)"
