osmid,lanes,highway,oneway,reversed,length,geometry,bridge,ref,name,tunnel
331526683,2,tertiary,False,False,112.919,"LINESTRING (130.4774813 33.6283045, 130.4773671 33.6279512, 130.4772824 33.627676, 130.477159 33.6273252)",,,,
173402674,,unclassified,False,True,30.414,"LINESTRING (130.477159 33.6273252, 130.476842 33.6273969)",,,,
173402938,,tertiary,False,False,159.024,"LINESTRING (130.477159 33.6273252, 130.4780778 33.6271197, 130.4788072 33.6269244)",,,,
331526683,2,tertiary,False,False,117.827,"LINESTRING (130.477159 33.6273252, 130.4770835 33.6270789, 130.4770539 33.6268904, 130.4770396 33.6267111, 130.4770417 33.626447, 130.4770621 33.6262763)",,,,
331526683,2,tertiary,False,True,112.91900000000001,"LINESTRING (130.477159 33.6273252, 130.4772824 33.627676, 130.4773671 33.6279512, 130.4774813 33.6283045)",,,,
173403104,,unclassified,False,False,60.451,"LINESTRING (130.4770621 33.6262763, 130.476438 33.626436)",,,,
"[173402619, 173402763]",,tertiary,False,True,132.70600000000002,"LINESTRING (130.4770621 33.6262763, 130.4778624 33.6260592, 130.4784274 33.6259132)",,,,
331526683,2,tertiary,False,False,113.187,"LINESTRING (130.4770621 33.6262763, 130.4771192 33.6259824, 130.4772538 33.6254481, 130.4772959 33.6252774)",,,,
331526683,2,tertiary,False,True,117.827,"LINESTRING (130.4770621 33.6262763, 130.4770417 33.626447, 130.4770396 33.6267111, 130.4770539 33.6268904, 130.4770835 33.6270789, 130.477159 33.6273252)",,,,
173403165,,tertiary,False,False,136.68,"LINESTRING (130.4772959 33.6252774, 130.4764077 33.6255126, 130.4763161 33.6255288, 130.4762368 33.6255324, 130.4761192 33.62553, 130.4760023 33.6255, 130.4758963 33.6254357)",,,,
173403165,,tertiary,False,True,136.52800000000002,"LINESTRING (130.4772959 33.6252774, 130.4775463 33.6252102, 130.4786798 33.624915, 130.4787025 33.624909)",,,,
331526683,2,tertiary,False,False,133.221,"LINESTRING (130.4772959 33.6252774, 130.4773724 33.6248974, 130.4774576 33.6245311, 130.4775564 33.6240992)",,,,
331526683,2,tertiary,False,True,113.18699999999998,"LINESTRING (130.4772959 33.6252774, 130.4772538 33.6254481, 130.4771192 33.6259824, 130.4770621 33.6262763)",,,,
173402776,,tertiary,False,True,73.804,"LINESTRING (130.4775564 33.6240992, 130.4783238 33.6239197)",,,,
173402776,,tertiary,False,False,225.805,"LINESTRING (130.4775564 33.6240992, 130.4768648 33.6242657, 130.4767863 33.6243014, 130.4767169 33.624388, 130.4764945 33.6247244, 130.4762599 33.6250208, 130.4761283 33.6251762, 130.4758963 33.6254357)",,,,
"[62256513, 62256514, 331526683]",2,tertiary,False,False,322.942,"LINESTRING (130.4775564 33.6240992, 130.4775665 33.6239121, 130.4775758 33.6236856, 130.47756 33.6234184, 130.4775412 33.6232862, 130.4775073 33.6231397, 130.477322 33.6225336, 130.4771635 33.6220594, 130.477008 33.6215493, 130.4769818 33.6214431, 130.4769754 33.6213806, 130.4769723 33.6212552)",yes,,,
331526683,2,tertiary,False,True,133.221,"LINESTRING (130.4775564 33.6240992, 130.4774576 33.6245311, 130.4773724 33.6248974, 130.4772959 33.6252774)",,,,
173576460,2,primary,False,True,77.77,"LINESTRING (130.4777801 33.6195995, 130.4773127 33.6201806)",,24,福岡東環状線,
173404020,,residential,False,False,82.217,"LINESTRING (130.4777801 33.6195995, 130.4777112 33.6195627, 130.47739 33.619562, 130.477348 33.619572, 130.477285 33.619607, 130.4770146 33.6198117)",,,,
173404027,,residential,False,True,79.516,"LINESTRING (130.4777801 33.6195995, 130.4778829 33.6196614, 130.4784537 33.6197304, 130.4785598 33.6198246)",,,,
