osmid,highway,oneway,reversed,length,geometry,name,ref,bridge,lanes
109932357,residential,False,True,79.98599999999999,"LINESTRING (139.989043 38.0425471, 139.989414 38.043035, 139.9894606 38.0431811)",,,,
315753986,tertiary,False,False,70.985,"LINESTRING (139.989043 38.0425471, 139.9891608 38.0429972, 139.9891883 38.0431747)",,,,
"[109934736, 109932734]",unclassified,False,False,425.665,"LINESTRING (139.986367 38.043812, 139.986374 38.044218, 139.986403 38.044449, 139.986453 38.044601, 139.986524 38.044713, 139.986581 38.044803, 139.986609 38.044899, 139.9867644 38.0458142, 139.9868713 38.0466804, 139.9868919 38.0467649, 139.9869522 38.0468329, 139.9870302 38.0468683, 139.9873085 38.0469277, 139.9878673 38.0470121)",,,,
109934181,tertiary,False,True,103.406,"LINESTRING (139.9890899 38.0437761, 139.9902668 38.0438519)",,,,
315753986,tertiary,False,True,45.922,"LINESTRING (139.9890899 38.0437761, 139.9891598 38.0433668)",,,,
1130706660,tertiary,False,False,384.331,"LINESTRING (139.9890899 38.0437761, 139.988987 38.044241, 139.9888712 38.0446933, 139.98883 38.044871, 139.988601 38.045913, 139.9884706 38.0463781, 139.9883431 38.0466144, 139.9881773 38.0468088, 139.9878673 38.0470121)",置賜西部広域農道,,,
109933242,tertiary,False,True,127.43099999999998,"LINESTRING (139.9918896 38.0413141, 139.9918626 38.0414741, 139.9919604 38.0420203, 139.9919607 38.0424533)",,,,
109932304,unclassified,False,True,44.431,"LINESTRING (139.9916545 38.0500933, 139.9911471 38.0500968)",,,,
109934450,tertiary,False,True,171.75300000000001,"LINESTRING (139.9916545 38.0500933, 139.9918451 38.0490083, 139.9918972 38.0485609)",,,,
109934426,secondary,False,False,44.033,"LINESTRING (139.9921194 38.0438714, 139.9926158 38.0438083)",椿長井線,251,,
"[109933752, 109934233, 109933293]",tertiary,False,False,443.454,"LINESTRING (139.9921194 38.0438714, 139.9921273 38.044441, 139.992134 38.0446563, 139.9920175 38.0456123, 139.9919673 38.0460284, 139.9919984 38.0464909, 139.9919645 38.0466177, 139.9919122 38.0470474, 139.9918393 38.0475881, 139.9918196 38.0478442)",,,,
109934375,secondary,False,True,162.362,"LINESTRING (139.9921194 38.0438714, 139.9918115 38.0438877, 139.9909332 38.0438743, 139.9902668 38.0438519)",椿長井線,251,,
109934712,tertiary,False,False,158.60500000000002,"LINESTRING (139.9921194 38.0438714, 139.9920464 38.043353, 139.9919544 38.0428362, 139.9919607 38.0424533)",,,,
