osmid,highway,oneway,reversed,length,geometry,tunnel,lanes,ref,name,bridge
120637604,tertiary,False,True,168.815,"LINESTRING (136.1182981 35.0537414, 136.1189531 35.053781, 136.1195688 35.0537632, 136.1201503 35.053776)",,,,,
"[427114081, 120636305, 427114084]",unclassified,False,False,381.73,"LINESTRING (136.1182981 35.0537414, 136.1181868 35.0538607, 136.1180709 35.0540862, 136.1180035 35.0542199, 136.1177543 35.0544981, 136.1174052 35.0551883, 136.1172902 35.0556086, 136.1172601 35.0557883, 136.117005 35.056095, 136.116826 35.0563513, 136.1167211 35.0565371, 136.1165634 35.0568283)",yes,,,,
120637221,tertiary,False,True,59.407,"LINESTRING (136.1201503 35.053776, 136.1208014 35.0538127)",,,,,
120637604,tertiary,False,False,168.815,"LINESTRING (136.1201503 35.053776, 136.1195688 35.0537632, 136.1189531 35.053781, 136.1182981 35.0537414)",,,,,
120637221,tertiary,False,False,59.407,"LINESTRING (136.1208014 35.0538127, 136.1201503 35.053776)",,,,,
"[120636098, 120636092, 120636127]",secondary,False,False,276.79200000000003,"LINESTRING (136.1208014 35.0538127, 136.120746 35.0539085, 136.1205001 35.0542526, 136.1193819 35.0560135)",yes,2,165,春日竜王線,
120637947,residential,False,True,147.752,"LINESTRING (136.118051 35.0552528, 136.1193819 35.0560135)",,,,,
120638827,residential,False,True,205.652,"LINESTRING (136.113861 35.055695, 136.114066 35.055774, 136.114299 35.055875, 136.114635 35.056022, 136.115094 35.056197, 136.115758 35.056422, 136.115863 35.0565242)",,,,,
120637947,residential,False,False,147.752,"LINESTRING (136.1193819 35.0560135, 136.118051 35.0552528)",,,,,
120636112,secondary,False,False,87.107,"LINESTRING (136.1193819 35.0560135, 136.1191131 35.0565312, 136.1190149 35.0567369)",,2,165,春日竜王線,
"[120636098, 120636092, 120636127]",secondary,False,True,276.792,"LINESTRING (136.1193819 35.0560135, 136.1205001 35.0542526, 136.120746 35.0539085, 136.1208014 35.0538127)",yes,2,165,春日竜王線,
120636356,unclassified,False,False,13.082,"LINESTRING (136.115863 35.0565242, 136.1159612 35.0564383)",,,,,
120636586,unclassified,False,True,62.787,"LINESTRING (136.115863 35.0565242, 136.1155217 35.0570149)",,,,,
120638827,residential,False,False,205.652,"LINESTRING (136.115863 35.0565242, 136.115758 35.056422, 136.115094 35.056197, 136.114635 35.056022, 136.114299 35.055875, 136.114066 35.055774, 136.113861 35.055695)",,,,,
120637543,unclassified,False,False,68.035,"LINESTRING (136.1165634 35.0568283, 136.1162816 35.057395)",,,,,
