osmid,highway,oneway,reversed,length,lanes,ref,name,geometry,bridge,width
180133260,unclassified,False,False,94.858,,,,"LINESTRING (140.3094194 42.6636233, 140.3105791 42.663646)",,
180133418,unclassified,False,True,128.553,,,,"LINESTRING (140.3094194 42.6636233, 140.3093834 42.6647791)",,
180133260,unclassified,False,True,94.858,,,,"LINESTRING (140.3105791 42.663646, 140.3094194 42.6636233)",,
180133386,primary,False,False,52.412,2,9,寿都黒松内線,"LINESTRING (140.3105791 42.663646, 140.3105454 42.6641167)",,
180133381,unclassified,False,False,81.807,,,,"LINESTRING (140.3105454 42.6641167, 140.3115355 42.6642225)",,
180133386,primary,False,False,76.283,2,9,寿都黒松内線,"LINESTRING (140.3105454 42.6641167, 140.3104969 42.6648018)",,
180133386,primary,False,True,52.412,2,9,寿都黒松内線,"LINESTRING (140.3105454 42.6641167, 140.3105791 42.663646)",,
180133324,unclassified,False,False,0.292,,,,"LINESTRING (140.3126639 42.664211, 140.3126634 42.6642136)",,
180133381,unclassified,False,True,97.51100000000001,,,,"LINESTRING (140.3126639 42.664211, 140.3124638 42.6643257, 140.3115355 42.6642225)",,
180133324,unclassified,False,True,0.292,,,,"LINESTRING (140.3126634 42.6642136, 140.3126639 42.664211)",,
180133381,unclassified,False,True,81.807,,,,"LINESTRING (140.3115355 42.6642225, 140.3105454 42.6641167)",,
180133381,unclassified,False,False,97.51100000000001,,,,"LINESTRING (140.3115355 42.6642225, 140.3124638 42.6643257, 140.3126639 42.664211)",,
180133326,residential,False,False,104.822,,,,"LINESTRING (140.3039545 42.6644312, 140.3038929 42.6653728)",,
180133406,unclassified,False,True,53.054,,,,"LINESTRING (140.3048146 42.6644617, 140.3047907 42.6649385)",,
180133299,residential,False,True,83.175,,,,"LINESTRING (140.3032922 42.6646031, 140.3032449 42.6653503)",,
180133347,secondary,False,True,215.428,2,266,大成黒松内停車場線,"LINESTRING (140.3066293 42.6647331, 140.3064604 42.6666665)",,
"[180133424, 1005714792, 1005714791]",unclassified,False,True,229.688,,,,"LINESTRING (140.3066293 42.6647331, 140.3072542 42.664825, 140.3076563 42.6648471, 140.3078129 42.6648416, 140.3079695 42.6647663, 140.3081442 42.6647253, 140.3087733 42.6647526, 140.3088674 42.6647567, 140.3093834 42.6647791)",yes,
180133418,unclassified,False,False,128.553,,,,"LINESTRING (140.3093834 42.6647791, 140.3094194 42.6636233)",,
1005714791,unclassified,False,True,91.081,,,,"LINESTRING (140.3093834 42.6647791, 140.3104969 42.6648018)",,
180133418,unclassified,False,True,191.399,,,,"LINESTRING (140.3093834 42.6647791, 140.3093475 42.6656378, 140.3091396 42.6659722, 140.3090824 42.6661859, 140.309116 42.6664615)",,
"[1005714792, 180133424, 1005714791]",unclassified,False,False,229.688,,,,"LINESTRING (140.3093834 42.6647791, 140.3088674 42.6647567, 140.3087733 42.6647526, 140.3081442 42.6647253, 140.3079695 42.6647663, 140.3078129 42.6648416, 140.3076563 42.6648471, 140.3072542 42.664825, 140.3066293 42.6647331)",yes,
180133386,primary,False,False,50.452,2,9,寿都黒松内線,"LINESTRING (140.3104969 42.6648018, 140.3104576 42.6652546)",,
180133386,primary,False,True,76.283,2,9,寿都黒松内線,"LINESTRING (140.3104969 42.6648018, 140.3105454 42.6641167)",,
1005714791,unclassified,False,False,91.081,,,,"LINESTRING (140.3104969 42.6648018, 140.3093834 42.6647791)",,
180133342,residential,False,False,47.032,,,,"LINESTRING (140.3047907 42.6649385, 140.305363 42.664981)",,
180133406,unclassified,False,False,53.054,,,,"LINESTRING (140.3047907 42.6649385, 140.3048146 42.6644617)",,
180133406,unclassified,False,True,61.095,,,,"LINESTRING (140.3047907 42.6649385, 140.3044559 42.6654297)",,
180133342,residential,False,True,47.032,,,,"LINESTRING (140.305363 42.664981, 140.3047907 42.6649385)",,
"[180133342, 180133367]",residential,False,False,225.086,,,,"LINESTRING (140.305363 42.664981, 140.3058732 42.6650134, 140.3057753 42.6660731, 140.3057036 42.6661747, 140.3054087 42.6665929)",,
180133361,residential,False,False,182.84699999999998,,,,"LINESTRING (140.305363 42.664981, 140.3053195 42.6650867, 140.3049365 42.6657857, 140.3049192 42.6658528, 140.3047705 42.6665564)",,
180133386,primary,False,False,44.413,2,9,寿都黒松内線,"LINESTRING (140.3104576 42.6652546, 140.3104275 42.6656534)",,
180133416,unclassified,False,True,159.00400000000002,,,,"LINESTRING (140.3104576 42.6652546, 140.309726 42.6652525, 140.3096878 42.6652703, 140.3096743 42.6653699, 140.309733 42.665546, 140.3097657 42.665633, 140.3104275 42.6656534)",,
180133386,primary,False,True,50.452,2,9,寿都黒松内線,"LINESTRING (140.3104576 42.6652546, 140.3104969 42.6648018)",,
