osmid,highway,oneway,reversed,length,geometry,ref,lanes,name,bridge,tunnel
122092406,unclassified,False,True,72.955,"LINESTRING (136.9927964 34.9233055, 136.993014 34.9232878, 136.9935903 34.923224)",,,,,
375625927,tertiary,False,False,224.719,"LINESTRING (136.9927964 34.9233055, 136.9927277 34.9223765, 136.9926676 34.9218417, 136.9926782 34.9212886)",295,,,,
375625927,tertiary,False,True,191.084,"LINESTRING (136.9927964 34.9233055, 136.9928937 34.924353, 136.9929612 34.9248124, 136.9929934 34.9250159)",295,,,,
122091798,tertiary,False,True,76.974,"LINESTRING (136.9926782 34.9212886, 136.993521 34.9213293)",,,,,
122092509,unclassified,False,True,99.026,"LINESTRING (136.9926782 34.9212886, 136.992419 34.921325, 136.9915999 34.9213919)",,,,,
375625927,tertiary,False,False,233.032,"LINESTRING (136.9926782 34.9212886, 136.9927277 34.9206453, 136.9928736 34.9201245, 136.9930882 34.91947, 136.9931593 34.9192382)",295,,,,
375625927,tertiary,False,True,224.719,"LINESTRING (136.9926782 34.9212886, 136.9926676 34.9218417, 136.9927277 34.9223765, 136.9927964 34.9233055)",295,,,,
122091961,unclassified,False,True,61.488,"LINESTRING (136.993761 34.9171673, 136.9930914 34.9171016)",,,,,
375625927,tertiary,False,True,113.112,"LINESTRING (136.993761 34.9171673, 136.9935173 34.9179568, 136.9934625 34.9181546)",295,,,,
609593492,primary,False,True,43.836,"LINESTRING (136.9880828 34.9225652, 136.9880879 34.9229594)",46,2,西尾知多線,,
122092984,tertiary,False,False,82.652,"LINESTRING (136.9880828 34.9225652, 136.9886306 34.9225613, 136.9889893 34.9225651)",,,,,
609593492,primary,False,False,118.775,"LINESTRING (136.9880828 34.9225652, 136.9880733 34.9222143, 136.9880381 34.9214977)",46,2,西尾知多線,,
116080211,secondary,False,False,55.196,"LINESTRING (136.9880159 34.9211946, 136.9886213 34.9211952)",300,2,高浜港停車場線,,
609593492,primary,False,False,42.645,"LINESTRING (136.9880159 34.9211946, 136.9879854 34.9208119)",46,2,西尾知多線,,
609593492,primary,False,True,33.764,"LINESTRING (136.9880159 34.9211946, 136.9880381 34.9214977)",46,2,西尾知多線,,
122091648,unclassified,False,True,244.416,"LINESTRING (136.9880159 34.9211946, 136.9876289 34.9212319, 136.9870265 34.9212648, 136.986769 34.9212939, 136.9865705 34.9213569, 136.9865196 34.9213912, 136.9862143 34.9215968, 136.9855657 34.9219115)",,,,,
122091909,unclassified,False,True,94.464,"LINESTRING (136.9879624 34.9205976, 136.9889455 34.9203294)",,,,,
609593492,primary,False,False,21.649,"LINESTRING (136.9879624 34.9205976, 136.9879373 34.920404)",46,2,西尾知多線,,
609593492,primary,False,True,23.921,"LINESTRING (136.9879624 34.9205976, 136.9879854 34.9208119)",46,2,西尾知多線,,
609593492,primary,False,False,16.436,"LINESTRING (136.987843 34.9188802, 136.9878457 34.9187324)",46,2,西尾知多線,,
609593492,primary,False,True,169.657,"LINESTRING (136.987843 34.9188802, 136.9879373 34.920404)",46,2,西尾知多線,,
116080117,tertiary,False,False,151.207,"LINESTRING (136.987843 34.9188802, 136.9880274 34.918992, 136.9882159 34.9192024, 136.9887825 34.9199857)",,,,,
116080117,tertiary,False,False,41.006,"LINESTRING (136.9887825 34.9199857, 136.9889455 34.9203294)",,,,,
116080117,tertiary,False,True,151.207,"LINESTRING (136.9887825 34.9199857, 136.9882159 34.9192024, 136.9880274 34.918992, 136.987843 34.9188802)",,,,,
122091642,unclassified,False,True,228.115,"LINESTRING (136.9887825 34.9199857, 136.9889618 34.9197992, 136.9889447 34.9195788, 136.9888575 34.9192453, 136.9888045 34.9183571, 136.9888554 34.9179967)",,,,,
116080117,tertiary,False,True,41.006,"LINESTRING (136.9889455 34.9203294, 136.9887825 34.9199857)",,,,,
122091909,unclassified,False,False,94.464,"LINESTRING (136.9889455 34.9203294, 136.9879624 34.9205976)",,,,,
116080117,tertiary,False,False,120.946,"LINESTRING (136.9889455 34.9203294, 136.9889635 34.9203707, 136.9889696 34.9209088, 136.9889448 34.9209564, 136.9888894 34.9209817, 136.9887165 34.9209802, 136.9886553 34.9209939, 136.9886267 34.921031, 136.9886213 34.9211952)",,,,,
122092563,unclassified,False,False,38.249,"LINESTRING (136.9889455 34.9203294, 136.9892462 34.920264, 136.9893479 34.9202332)",,,,,
116080211,secondary,False,True,55.196,"LINESTRING (136.9886213 34.9211952, 136.9880159 34.9211946)",300,2,高浜港停車場線,,
116080117,tertiary,False,True,120.946,"LINESTRING (136.9886213 34.9211952, 136.9886267 34.921031, 136.9886553 34.9209939, 136.9887165 34.9209802, 136.9888894 34.9209817, 136.9889448 34.9209564, 136.9889696 34.9209088, 136.9889635 34.9203707, 136.9889455 34.9203294)",,,,,
