osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,maxspeed,bridge,width
24562852,unclassified,False,True,16.794,"LINESTRING (132.4550835 34.3959693, 132.455064 34.3959131, 132.4550533 34.3958824, 132.4550331 34.3958241)",,,,,,
28185604,trunk,True,False,43.368,"LINESTRING (132.4550835 34.3959693, 132.4554215 34.3958988, 132.4555397 34.3958678)",3,183;261,相生通り,50,,
25465274,tertiary,False,False,42.838,"LINESTRING (132.4498572 34.3913709, 132.4498027 34.3912775, 132.4496404 34.3910298)",2,,,30,,
28571659,tertiary,False,False,40.998000000000005,"LINESTRING (132.4498572 34.3913709, 132.4499659 34.3913425, 132.4502832 34.3912597)",4,,平和大通り,,,
"[28466624, 28571658, 1163769788]",tertiary,False,True,130.044,"LINESTRING (132.4498572 34.3913709, 132.4497484 34.3913942, 132.4497198 34.3913995, 132.448649 34.3916138, 132.4486083 34.3916211, 132.4484797 34.3916458)",4,,"['平和大通り', '西平和大橋']",,yes,
1163769789,tertiary,False,True,40.855000000000004,"LINESTRING (132.4498572 34.3913709, 132.4499093 34.3914587, 132.4500507 34.3917018)",2,,,30,,
1124056192,tertiary,False,True,57.234,"LINESTRING (132.4557011 34.3898294, 132.455578 34.3898609, 132.4551054 34.389982)",4,,平和大通り,50,,
1134427521,tertiary,False,False,16.907,"LINESTRING (132.4557011 34.3898294, 132.4557988 34.3898044, 132.4558771 34.3897844)",4,,平和大通り,50,,
1134427522,trunk,True,False,53.742999999999995,"LINESTRING (132.4557011 34.3898294, 132.4557542 34.3899814, 132.4558501 34.3902559, 132.4558625 34.390294)",2,54;183;191;261,鯉城通り,50,,
"[28238928, 28238931, 26514220]",tertiary,False,False,222.39100000000002,"LINESTRING (132.446699 34.3886219, 132.4468291 34.3885954, 132.4468685 34.3885832, 132.4478058 34.3883187, 132.4488533 34.3880315, 132.449 34.3879953)",,,,,yes,
161747399,tertiary,False,False,124.36599999999999,"LINESTRING (132.446699 34.3886219, 132.4467726 34.3887067, 132.4470882 34.3890937, 132.4473072 34.3894869, 132.4473463 34.3895972)",2,,,,,
161747399,tertiary,False,True,59.342,"LINESTRING (132.446699 34.3886219, 132.4466159 34.388528, 132.4465054 34.3884113, 132.4463302 34.3881841)",2,,,,,
24565633,tertiary,False,False,64.405,"LINESTRING (132.4499974 34.3877129, 132.4500697 34.3878222, 132.4503511 34.3882131)",,,,,,
24565633,tertiary,False,True,53.327,"LINESTRING (132.4499974 34.3877129, 132.4499518 34.3876005, 132.449824 34.3872552)",,,,,,
28238928,tertiary,False,True,52.349000000000004,"LINESTRING (132.4499974 34.3877129, 132.4498889 34.3877523, 132.4494611 34.3878726)",,,,,,
24519982,tertiary,False,False,63.556,"LINESTRING (132.4502045 34.3942142, 132.4505436 34.3947126)",2,,,40,,
24519982,tertiary,False,True,38.163,"LINESTRING (132.4502045 34.3942142, 132.4500751 34.3940165, 132.4500047 34.3939132)",2,,,40,,
28263744,residential,False,False,73.158,"LINESTRING (132.4502045 34.3942142, 132.4501316 34.3942309, 132.4494931 34.3943771, 132.4494362 34.3943901)",,,,,,
24519982,tertiary,False,False,44.714,"LINESTRING (132.4484797 34.3916458, 132.4485516 34.3917496, 132.4486652 34.3919175, 132.4487332 34.3919882)",2,,,40,,
"[28466624, 28571658, 1163769788]",tertiary,False,False,130.04399999999998,"LINESTRING (132.4484797 34.3916458, 132.4486083 34.3916211, 132.448649 34.3916138, 132.4497198 34.3913995, 132.4497484 34.3913942, 132.4498572 34.3913709)",4,,"['平和大通り', '西平和大橋']",,yes,
28466624,tertiary,False,True,157.013,"LINESTRING (132.4484797 34.3916458, 132.4482193 34.3916959, 132.4468169 34.3919791)",4,,平和大通り,,,
161747399,tertiary,False,True,41.936,"LINESTRING (132.4484797 34.3916458, 132.4484251 34.3915479, 132.4482863 34.3913041)",2,,,,,
28238928,tertiary,False,False,44.466,"LINESTRING (132.449 34.3879953, 132.4491754 34.3879529, 132.4494611 34.3878726)",,,,,,
"[28238928, 28238931, 26514220]",tertiary,False,True,222.391,"LINESTRING (132.449 34.3879953, 132.4488533 34.3880315, 132.4478058 34.3883187, 132.4468685 34.3885832, 132.4468291 34.3885954, 132.446699 34.3886219)",,,,,yes,
168852694,tertiary,False,False,80.031,"LINESTRING (132.449 34.3879953, 132.4490683 34.3881022, 132.4493386 34.3884995, 132.4494236 34.3886244)",4,,吉島通り,,,
168852694,tertiary,False,True,56.955,"LINESTRING (132.449 34.3879953, 132.4489463 34.3878553, 132.4488909 34.3876905, 132.4488415 34.3875471, 132.4488282 34.3875032)",4,,吉島通り,,,
24853340,tertiary,True,False,45.016999999999996,"LINESTRING (132.4510308 34.3910534, 132.4510363 34.3911418, 132.4510503 34.3911606, 132.4511708 34.3913228, 132.4511626 34.3913812, 132.4511262 34.391415)",,,,,,
