osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,bridge
"[1185880371, 1185880372, 1185203230, 1185203231]",False,"['2', '3']",235;237,国道235号,trunk,False,102.22999999999999,40,"LINESTRING (142.3642622 42.3405852, 142.3643481 42.3405223, 142.3646437 42.3403008, 142.3647116 42.3402406, 142.3648594 42.3400818, 142.3650285 42.3398679)",
"[1193903941, 34172791]",False,2,,,tertiary,True,100.786,40,"LINESTRING (142.3642622 42.3405852, 142.3642184 42.3404869, 142.3638981 42.3397197)",
"[1192247928, 1192247929, 1193903942]",False,2,71,道道71号 平取静内線,primary,False,112.69800000000001,40,"LINESTRING (142.3642622 42.3405852, 142.364307 42.3406877, 142.364418 42.3409656, 142.3644627 42.3410731, 142.3646622 42.3415546)",
"[1185203227, 1161258371, 1185203228, 1069821943]",False,"['2', '3']",235;237,国道235号,trunk,False,107.17,40,"LINESTRING (142.3657138 42.3381812, 142.3657498 42.338067, 142.3658332 42.3377899, 142.3658409 42.337765, 142.3658684 42.3376763, 142.365974 42.3373371, 142.366014 42.3372436)",
"[1161258372, 1185880372, 1185880373, 1185880374, 1185203229, 160135647]",False,"['2', '3']",235;237,国道235号,trunk,True,196.132,40,"LINESTRING (142.3657138 42.3381812, 142.3656836 42.338278, 142.3656319 42.3384394, 142.3655864 42.3385705, 142.3655738 42.338607, 142.3655675 42.338623, 142.3655263 42.338727, 142.3654674 42.3388666, 142.3651764 42.3396185, 142.3650403 42.3398487, 142.3650285 42.3398679)",
"[1193899884, 1070830021]",False,2,992,道道992号 静内停車場線,secondary,True,104.464,40,"LINESTRING (142.3657138 42.3381812, 142.36558 42.3381559, 142.3654039 42.3381791, 142.3644676 42.3383142)",
"[1194900116, 34172798]",False,2,992,御幸通,tertiary,False,104.98599999999999,40,"LINESTRING (142.3657138 42.3381812, 142.3658768 42.3382113, 142.3660191 42.3382796, 142.366336 42.338446, 142.3664549 42.338508, 142.3667833 42.3386837)",
"[1193899883, 1070830021]",False,2,992,道道992号 静内停車場線,secondary,False,62.051,40,"LINESTRING (142.3632384 42.338483, 142.3634331 42.3384574, 142.36398 42.3383786)",
"[1193902522, 34172791]",False,2,,,tertiary,False,149.872,40,"LINESTRING (142.3632384 42.338483, 142.3633422 42.3385613, 142.3634272 42.3386249, 142.3638981 42.3397197)",
1136881959,False,2,,緑高砂通,tertiary,True,35.438,40,"LINESTRING (142.3747893 42.3405294, 142.3746939 42.3408402)",
160131582,False,2,,,residential,True,63.779,30,"LINESTRING (142.3747893 42.3405294, 142.3747015 42.3405012, 142.3745431 42.3404504, 142.3743928 42.340393, 142.3742524 42.3403205, 142.374128 42.340238)",
"[1258096804, 1258096805, 1069824638]",False,2,,緑高砂通,tertiary,False,78.155,40,"LINESTRING (142.3736356 42.3420177, 142.3736976 42.341959, 142.3741251 42.3415325, 142.3742041 42.3414543)",
"[1136881960, 1258096806]",False,2,,緑高砂通,tertiary,True,54.486999999999995,40,"LINESTRING (142.3736356 42.3420177, 142.373575 42.3420742, 142.3732219 42.3424006)",
"[160128702, 1258098799]",False,2,,御幸通,tertiary,False,109.764,40,"LINESTRING (142.3736356 42.3420177, 142.3735631 42.3419768, 142.3725661 42.3414265)",
"[1258098800, 1070490642]",False,2,,御幸通,tertiary,True,64.343,40,"LINESTRING (142.3736356 42.3420177, 142.3737389 42.3420754, 142.3742651 42.3423617)",
160128384,False,1,,,unclassified,True,76.589,,"LINESTRING (142.3650491 42.3364013, 142.3648459 42.3370735)",
160132418,False,1,,,unclassified,False,119.40200000000002,,"LINESTRING (142.3650491 42.3364013, 142.365268 42.336407, 142.3656259 42.3364118, 142.3658346 42.3364329, 142.3660701 42.3364929, 142.3664427 42.3366295)",
"[160129472, 1244823191]",False,2,,,residential,True,45.359,,"LINESTRING (142.3721044 42.3364602, 142.3719007 42.3367766, 142.3718613 42.3368262)",
160130482,False,,,,residential,True,81.366,,"LINESTRING (142.3721044 42.3364602, 142.3721561 42.3364828, 142.3729566 42.3368325)",
160129358,False,,,,residential,False,50.476,,"LINESTRING (142.3688534 42.3364742, 142.3693342 42.3367566)",
160128827,False,2,,,tertiary,True,93.521,40,"LINESTRING (142.3688534 42.3364742, 142.3683128 42.3369141, 142.368091 42.3370985)",
160128738,False,2,,,tertiary,False,69.122,40,"LINESTRING (142.3703573 42.3365598, 142.3699163 42.3370891)",
160128847,False,,,,residential,False,56.695,,"LINESTRING (142.3703573 42.3365598, 142.3704118 42.3365931, 142.3708891 42.3368845)",
