osmid,oneway,name,highway,reversed,length,lanes,geometry,bridge,maxspeed,tunnel
59366450,True,駅南中央通り,tertiary,False,10.082,,"LINESTRING (140.4759537 36.3692556, 140.4759493 36.369165)",,,
"[472274643, 439370651]",True,,tertiary,False,162.623,2,"LINESTRING (140.4759537 36.3692556, 140.4760623 36.3692564, 140.4761783 36.3692602, 140.4763235 36.3692638, 140.4766886 36.3692705, 140.4770902 36.369278, 140.4776119 36.3692858, 140.4777695 36.3692881)",,,
439370650,True,,tertiary,False,10.731,,"LINESTRING (140.475834 36.3692508, 140.4759537 36.3692556)",,,
"[272083109, 472274645, 472274646, 472274647, 472274648]",True,,tertiary,False,238.05700000000002,,"LINESTRING (140.475834 36.3692508, 140.4758316 36.3693223, 140.4758283 36.3693528, 140.4758169 36.3694001, 140.4758017 36.3694345, 140.475786 36.3694567, 140.4757579 36.3694815, 140.4757148 36.3695089, 140.4756108 36.3695581, 140.4755319 36.3695675, 140.4754413 36.3695717, 140.475371 36.3695863, 140.4753066 36.3696014, 140.4752764 36.369629, 140.4752539 36.3696592, 140.4752427 36.3696876, 140.475242 36.3697373, 140.4752458 36.3697826, 140.475263 36.3698282, 140.4752906 36.36986, 140.4753267 36.3698862, 140.4753637 36.3698944, 140.4754125 36.3699016, 140.475477 36.3699086, 140.4757789 36.3699015, 140.4759108 36.369901, 140.475955 36.369893, 140.4759913 36.3698815, 140.4760215 36.369854, 140.476034 36.369826, 140.4760044 36.3696622, 140.4759644 36.3693947, 140.4759537 36.3692556)",,,
95188598,False,,unclassified,True,42.683,,"LINESTRING (140.4713872 36.368909, 140.4715422 36.369272)",,,
58867634,False,,tertiary,False,122.64699999999999,2,"LINESTRING (140.4713872 36.368909, 140.4707222 36.3691141, 140.4701161 36.3693197)",,,
58867634,False,,tertiary,True,126.02600000000001,2,"LINESTRING (140.4713872 36.368909, 140.4716443 36.3688418, 140.4718311 36.368805, 140.4721986 36.3687338, 140.4723904 36.3687014, 140.472756 36.3686508)",,,
"[59366456, 59366449, 59366452]",False,美都里橋,tertiary,True,89.164,,"LINESTRING (140.4713872 36.368909, 140.4713534 36.368848, 140.4713155 36.3687668, 140.4710836 36.3682454, 140.4710723 36.3682014, 140.4710638 36.3681523)",yes,,
95105784,False,,unclassified,True,141.544,,"LINESTRING (140.4691183 36.3661747, 140.4706821 36.3659885)",,,
95105787,False,,unclassified,False,64.581,,"LINESTRING (140.4691183 36.3661747, 140.4684025 36.366246)",,,
95105787,False,,unclassified,True,70.521,,"LINESTRING (140.4691183 36.3661747, 140.4692093 36.3660934, 140.4695738 36.3656584)",,,
59366416,False,,unclassified,False,164.469,,"LINESTRING (140.4727347 36.3666236, 140.4745511 36.3664035)",,,
59366416,False,,unclassified,True,171.37,,"LINESTRING (140.4727347 36.3666236, 140.4708405 36.3668443)",,,
59366433,False,,tertiary,True,58.4,,"LINESTRING (140.4727347 36.3666236, 140.4728386 36.3671421)",,,
59366433,False,,tertiary,False,47.955,,"LINESTRING (140.4727347 36.3666236, 140.4726978 36.3664231, 140.4726605 36.3661965)",,,
59366419,False,,unclassified,False,180.397,,"LINESTRING (140.468768 36.3666477, 140.4707609 36.3664095)",,,
59366422,False,,unclassified,False,54.394,,"LINESTRING (140.468768 36.3666477, 140.4690982 36.3670583)",,,
59366422,False,,unclassified,True,55.373,,"LINESTRING (140.468768 36.3666477, 140.4684025 36.366246)",,,
59366416,False,,unclassified,True,164.469,,"LINESTRING (140.4745511 36.3664035, 140.4727347 36.3666236)",,,
95105803,False,,unclassified,False,58.454,,"LINESTRING (140.4745511 36.3664035, 140.4746443 36.3669238)",,,
95105803,False,,unclassified,True,48.447,,"LINESTRING (140.4745511 36.3664035, 140.4744762 36.365972)",,,
59366433,False,,tertiary,True,48.022,,"LINESTRING (140.4725164 36.365328, 140.4725843 36.3657564)",,,
95105767,False,,unclassified,True,49.369,,"LINESTRING (140.4725164 36.365328, 140.4724357 36.3648888)",,,
472374303,False,駅南平和公園通り,tertiary,False,50.287,,"LINESTRING (140.4725164 36.365328, 140.4719603 36.3653912)",,,
472374303,False,駅南平和公園通り,tertiary,True,163.232,,"LINESTRING (140.4725164 36.365328, 140.4743204 36.3651166)",,,
95105787,False,,unclassified,False,70.521,,"LINESTRING (140.4695738 36.3656584, 140.4692093 36.3660934, 140.4691183 36.3661747)",,,
95105787,False,,unclassified,True,133.418,,"LINESTRING (140.4695738 36.3656584, 140.4700535 36.365006, 140.470479 36.3647273)",,,
675841674,False,,unclassified,True,93.692,,"LINESTRING (140.4695738 36.3656584, 140.4705097 36.3655427, 140.4706089 36.365549)",,,
