osmid,highway,oneway,reversed,length,maxspeed,geometry,lanes,ref,name,bridge
46141961,residential,False,False,74.269,,"LINESTRING (133.9513147 34.4964018, 133.9513301 34.495734)",,,,
51984341,unclassified,False,False,9.688,20,"LINESTRING (133.9513147 34.4964018, 133.951209 34.4964002)",,,,
46141961,residential,False,True,41.721,,"LINESTRING (133.9513334 34.4950184, 133.9513317 34.4953936)",,,,
383093240,tertiary,False,False,71.752,,"LINESTRING (133.9513334 34.4950184, 133.9505505 34.4950122)",,,,
46141965,tertiary,False,False,67.318,,"LINESTRING (133.9505505 34.4950122, 133.9505515 34.4944068)",,,,
182798782,unclassified,False,True,28.934,,"LINESTRING (133.9505505 34.4950122, 133.9502349 34.4950051)",,,,
182799121,unclassified,False,False,26.609,,"LINESTRING (133.9505505 34.4950122, 133.9505515 34.4952515)",,,,
383093240,tertiary,False,True,71.752,,"LINESTRING (133.9505505 34.4950122, 133.9513334 34.4950184)",,,,
46141965,tertiary,False,True,67.318,,"LINESTRING (133.9505515 34.4944068, 133.9505505 34.4950122)",,,,
182798909,unclassified,False,True,43.828,,"LINESTRING (133.9505515 34.4944068, 133.9500733 34.4944021)",,,,
46141965,tertiary,False,False,76.238,,"LINESTRING (133.9505515 34.4944068, 133.9505575 34.4938013, 133.9505583 34.4937212)",,,,
135028908,trunk,False,True,75.144,,"LINESTRING (133.9505583 34.4937212, 133.9497393 34.4936889)",4,30;430,国道30号,
46141965,tertiary,False,False,93.457,,"LINESTRING (133.9505583 34.4937212, 133.9504586 34.4935139, 133.9503209 34.4933217, 133.950128 34.4929609)",,,,
46141965,tertiary,False,True,76.238,,"LINESTRING (133.9505583 34.4937212, 133.9505575 34.4938013, 133.9505515 34.4944068)",,,,
46141965,tertiary,False,True,93.457,,"LINESTRING (133.950128 34.4929609, 133.9503209 34.4933217, 133.9504586 34.4935139, 133.9505583 34.4937212)",,,,
"[135029217, 135029127]",tertiary,False,True,25.686,,"LINESTRING (133.950128 34.4929609, 133.9501084 34.4929339, 133.9500171 34.4927491)",,,,yes
182799531,residential,False,True,66.464,,"LINESTRING (133.950128 34.4929609, 133.950026 34.4929899, 133.9494635 34.4931995)",,,,
135029199,tertiary,False,True,90.866,,"LINESTRING (133.9500171 34.4927491, 133.949957 34.4926703, 133.9499017 34.4925239, 133.9498525 34.4923242, 133.9497997 34.4919598)",,,,
"[135029217, 135029127]",tertiary,False,False,25.686,,"LINESTRING (133.9500171 34.4927491, 133.9501084 34.4929339, 133.950128 34.4929609)",,,,yes
135029234,tertiary,False,False,119.217,,"LINESTRING (133.9500171 34.4927491, 133.9499246 34.4927775, 133.949868 34.4927928, 133.9489854 34.4931111, 133.948921 34.4931159, 133.9488065 34.4931151)",,,,
135029199,tertiary,False,False,90.866,,"LINESTRING (133.9497997 34.4919598, 133.9498525 34.4923242, 133.9499017 34.4925239, 133.949957 34.4926703, 133.9500171 34.4927491)",,,,
135029199,tertiary,False,True,113.777,,"LINESTRING (133.9497997 34.4919598, 133.9497968 34.4917945, 133.9497921 34.4909366)",,,,
182799578,unclassified,False,False,89.262,,"LINESTRING (133.9497997 34.4919598, 133.9496899 34.4919665, 133.9489041 34.4919577, 133.9488261 34.4919568)",,,,
135029199,tertiary,False,False,113.777,,"LINESTRING (133.9497921 34.4909366, 133.9497968 34.4917945, 133.9497997 34.4919598)",,,,
135029199,tertiary,False,True,104.819,,"LINESTRING (133.9497921 34.4909366, 133.9498421 34.490297, 133.9498372 34.4899953)",,,,
182799357,unclassified,False,False,87.343,,"LINESTRING (133.9497921 34.4909366, 133.9496988 34.490959, 133.9489242 34.4909471, 133.9488431 34.490946)",,,,
135028908,trunk,False,False,75.144,,"LINESTRING (133.9497393 34.4936889, 133.9505583 34.4937212)",4,30;430,国道30号,
135028908,trunk,False,True,66.941,,"LINESTRING (133.9497393 34.4936889, 133.9491537 34.4936659, 133.9490097 34.4936602)",4,30;430,国道30号,
182799480,residential,False,True,85.007,,"LINESTRING (133.9497393 34.4936889, 133.9497759 34.4937671, 133.9500733 34.4944021)",,,,
182799663,residential,False,False,60.003,,"LINESTRING (133.9497393 34.4936889, 133.9497073 34.493632, 133.9494635 34.4931995)",,,,
47016398,unclassified,False,False,89.626,,"LINESTRING (133.9498372 34.4899953, 133.9489439 34.4899911, 133.9488593 34.4899911)",,,,
135029199,tertiary,False,False,104.819,,"LINESTRING (133.9498372 34.4899953, 133.9498421 34.490297, 133.9497921 34.4909366)",,,,
135029199,tertiary,False,True,113.806,,"LINESTRING (133.9498372 34.4899953, 133.9498573 34.4892199, 133.9498596 34.488972)",,,,
182799640,tertiary,False,False,12.044,,"LINESTRING (133.9488611 34.4898828, 133.9488593 34.4899911)",,,,
182798925,tertiary,False,True,81.906,,"LINESTRING (133.9488611 34.4898828, 133.9488623 34.489823, 133.9488756 34.4891463)",,,,
182799068,unclassified,False,True,127.92699999999999,,"LINESTRING (133.9488611 34.4898828, 133.9488 34.4898819, 133.9474655 34.4898623)",,,,
47016403,tertiary,False,False,127.933,,"LINESTRING (133.9488756 34.4891463, 133.9482334 34.489025, 133.9475089 34.4889135)",,,,
135029109,tertiary,False,True,29.52,,"LINESTRING (133.9488756 34.4891463, 133.948886 34.4890484, 133.9488849 34.4888812)",,,,
182798925,tertiary,False,False,81.906,,"LINESTRING (133.9488756 34.4891463, 133.9488623 34.489823, 133.9488611 34.4898828)",,,,
47016403,tertiary,False,False,137.338,,"LINESTRING (133.9475089 34.4889135, 133.9460469 34.4886426)",,,,
