osmid,highway,oneway,reversed,length,geometry,ref,name,bridge,maxspeed
109675270,unclassified,False,True,71.13499999999999,"LINESTRING (140.5724258 40.519687, 140.57244 40.51983, 140.572477 40.520078, 140.5725003 40.5203241)",,,,
109675846,unclassified,False,False,109.50099999999999,"LINESTRING (140.5724258 40.519687, 140.5719336 40.5197429, 140.5716305 40.5197944, 140.5711452 40.519827)",,,,
109675846,unclassified,False,True,112.208,"LINESTRING (140.5724258 40.519687, 140.5727435 40.5196574, 140.5737133 40.5194502)",,,,
"[109676133, 109676063]",unclassified,False,True,248.464,"LINESTRING (140.5663521 40.5201651, 140.5664377 40.5201315, 140.566784 40.520044, 140.567441 40.51978, 140.567647 40.519701, 140.5681666 40.5194503, 140.5683834 40.5193298, 140.5685075 40.5192888, 140.5688364 40.519194, 140.5689675 40.519176)",,,,
"[109676134, 109676838, 109675511]",secondary,False,"[False, True]",64.361,"LINESTRING (140.5663521 40.5201651, 140.5663176 40.5201357, 140.5659401 40.5197391, 140.5659045 40.5196972)",202,碇ヶ関大鰐停車場線,yes,
109676838,secondary,False,True,77.229,"LINESTRING (140.5663521 40.5201651, 140.5668297 40.5206402, 140.5669093 40.5207155)",202,碇ヶ関大鰐停車場線,,
109675846,unclassified,False,False,112.208,"LINESTRING (140.5737133 40.5194502, 140.5727435 40.5196574, 140.5724258 40.519687)",,,,
109676988,unclassified,False,False,83.355,"LINESTRING (140.5737133 40.5194502, 140.573769 40.519678, 140.5738229 40.5201943)",,,,
109676050,tertiary,False,False,71.315,"LINESTRING (140.5697676 40.5159157, 140.5696743 40.5158461, 140.5692394 40.5156407, 140.5691728 40.5155832, 140.5691196 40.5155187)",,,,
109676050,tertiary,False,True,58.82299999999999,"LINESTRING (140.5697676 40.5159157, 140.5698682 40.5160394, 140.569956 40.51621, 140.5700049 40.5163054, 140.5700344 40.5164008)",,,,
547357741,residential,False,True,110.19300000000001,"LINESTRING (140.5697676 40.5159157, 140.5697015 40.516016, 140.5696268 40.5167184, 140.5696751 40.5168886)",,,,
729199887,residential,False,False,175.46500000000003,"LINESTRING (140.5697676 40.5159157, 140.5699289 40.5154382, 140.5698741 40.5153686, 140.5699432 40.5152295, 140.5701241 40.5152156, 140.5701343 40.5151214, 140.5703538 40.5149483, 140.5704798 40.5148108, 140.5705977 40.514616)",,,,
109674868,unclassified,False,True,113.722,"LINESTRING (140.570824 40.520566, 140.5701577 40.5207125, 140.5698928 40.5207489, 140.5695173 40.5208046)",,,,
109676067,unclassified,False,False,40.236000000000004,"LINESTRING (140.570824 40.520566, 140.570885 40.520748, 140.570981 40.520906)",,,,
109676498,unclassified,False,True,90.74000000000001,"LINESTRING (140.570824 40.520566, 140.570579 40.520213, 140.5703493 40.5198344)",,,,
"[109676466, 109675530, 109676788]",unclassified,False,True,58.492000000000004,"LINESTRING (140.570824 40.520566, 140.5709303 40.5205099, 140.5713867 40.5203347, 140.5714352 40.520322)",,,yes,
547357751,residential,False,True,112.79899999999999,"LINESTRING (140.5705565 40.5172991, 140.5705389 40.5172504, 140.5705328 40.5171602, 140.570294 40.5166063, 140.5702324 40.5165255, 140.570121 40.5164383, 140.5700344 40.5164008)",,,,
"[547357752, 109674940]",residential,False,False,151.429,"LINESTRING (140.5705565 40.5172991, 140.57065 40.517245, 140.570774 40.517072, 140.571073 40.516642, 140.571151 40.51652, 140.571232 40.516514, 140.571415 40.51653, 140.571724 40.51662)",,,,
547357752,residential,False,True,36.003,"LINESTRING (140.5705565 40.5172991, 140.5705453 40.5173984, 140.5705602 40.517577, 140.5705803 40.5176195)",,,,
"[547352138, 109674837, 109675190]",tertiary,False,True,146.54500000000002,"LINESTRING (140.562447 40.5205696, 140.5625706 40.5205653, 140.5626856 40.5205861, 140.5629088 40.5206432, 140.5639699 40.5209269, 140.5640904 40.5209668)",,,yes,
