osmid,lanes,highway,oneway,reversed,length,ref,name,bridge,maxspeed,geometry
24271544,2,tertiary,False,True,31.581,,,,,"LINESTRING (132.8490666 34.8069027, 132.8489578 34.8066331)"
"[24694345, 1092014476, 329625284]",2,trunk,False,False,176.185,375,国道375号,yes,40,"LINESTRING (132.8490666 34.8069027, 132.8489458 34.8069661, 132.8475916 34.8077566, 132.8474952 34.8078217)"
568394558,2,trunk,False,True,101.97699999999999,375,国道375号,,,"LINESTRING (132.8490666 34.8069027, 132.8491556 34.8068896, 132.8501586 34.8067102)"
568394558,2,trunk,False,True,55.204,375,国道375号,,,"LINESTRING (132.8516861 34.8061392, 132.8522615 34.8059867)"
96772293,,residential,False,True,118.82400000000001,,,,,"LINESTRING (132.8516861 34.8061392, 132.8517573 34.8063667, 132.8519138 34.8069127, 132.8519604 34.8071828)"
568394558,2,trunk,False,False,153.667,375,国道375号,,,"LINESTRING (132.8516861 34.8061392, 132.8506948 34.8065635, 132.8501586 34.8067102)"
96774037,2,tertiary,False,False,50.968999999999994,,,,40,"LINESTRING (132.8474952 34.8078217, 132.8475831 34.8079736, 132.8476978 34.8082481)"
"[24694345, 329625284, 1092014476]",2,trunk,False,True,176.18500000000003,375,国道375号,yes,40,"LINESTRING (132.8474952 34.8078217, 132.8475916 34.8077566, 132.8489458 34.8069661, 132.8490666 34.8069027)"
1183800169,2,trunk,False,False,50.143,375,国道375号,,40,"LINESTRING (132.8474952 34.8078217, 132.8472434 34.8076769, 132.8470111 34.8076218)"
117927629,,unclassified,False,True,27.841,,,,,"LINESTRING (132.8470111 34.8076218, 132.846994 34.8075096, 132.8469458 34.8074484, 132.8468877 34.8074051)"
1183800169,2,trunk,False,True,50.143,375,国道375号,,40,"LINESTRING (132.8470111 34.8076218, 132.8472434 34.8076769, 132.8474952 34.8078217)"
96772327,,residential,False,False,55.198,,,,,"LINESTRING (132.8501586 34.8067102, 132.8502966 34.8071935)"
568394558,2,trunk,False,False,101.97699999999999,375,国道375号,,,"LINESTRING (132.8501586 34.8067102, 132.8491556 34.8068896, 132.8490666 34.8069027)"
568394558,2,trunk,False,True,153.667,375,国道375号,,,"LINESTRING (132.8501586 34.8067102, 132.8506948 34.8065635, 132.8516861 34.8061392)"
96772327,,residential,False,True,99.881,,,,,"LINESTRING (132.8563525 34.8070089, 132.8552726 34.8071526)"
260698526,2,tertiary,False,False,48.568,,,,,"LINESTRING (132.8563525 34.8070089, 132.8568766 34.8069341)"
260698526,2,tertiary,False,True,53.064,,,,,"LINESTRING (132.8563525 34.8070089, 132.8562605 34.8065377)"
91369301,,secondary,False,False,49.079,434,和知三次線,,20,"LINESTRING (132.8472702 34.8141716, 132.8467359 34.8142205)"
