osmid,highway,maxspeed,oneway,reversed,length,lanes,ref,name,geometry
23578811,tertiary,40,False,True,56.11,,,,"LINESTRING (139.4592134 36.1405153, 139.4592314 36.1410197)"
490454335,secondary,40,False,True,51.937,2,128,熊谷羽生線,"LINESTRING (139.4592134 36.1405153, 139.458705 36.1402926)"
857779644,secondary,40,False,False,150.854,2,128,熊谷羽生線,"LINESTRING (139.4592134 36.1405153, 139.460741 36.1410798)"
83626073,primary,,False,False,84.427,2,77,行田蓮田線,"LINESTRING (139.4592134 36.1405153, 139.4592194 36.1404459, 139.4592337 36.1404117, 139.4595822 36.1398218)"
83626073,primary,,False,True,71.699,2,77,行田蓮田線,"LINESTRING (139.4601518 36.1388845, 139.4597964 36.1394619)"
83626073,primary,,False,False,60.179,2,77,行田蓮田線,"LINESTRING (139.4601518 36.1388845, 139.4602802 36.138713, 139.4605164 36.1384306)"
140064197,unclassified,,False,True,71.80199999999999,,,,"LINESTRING (139.4601518 36.1388845, 139.460021 36.1388205, 139.4597746 36.1387981, 139.4593873 36.1387217)"
83626073,primary,,False,False,43.109,2,77,行田蓮田線,"LINESTRING (139.4611944 36.137484, 139.46133 36.1371121)"
83626073,primary,,False,True,107.153,2,77,行田蓮田線,"LINESTRING (139.4611944 36.137484, 139.4610956 36.1376798, 139.4609792 36.1378574, 139.4608241 36.1380595, 139.4606083 36.1383201)"
23578822,residential,,False,False,355.73,,,,"LINESTRING (139.4561081 36.1361613, 139.455948 36.1364737, 139.4558318 36.1367072, 139.4557703 36.1369102, 139.4556463 36.1371414, 139.4554214 36.1375617, 139.4552252 36.1379594, 139.45518 36.1381152, 139.4551356 36.1383129, 139.4550247 36.1388297, 139.4548942 36.1389583, 139.4547243 36.1391183)"
23578822,residential,,False,True,41.692,,,,"LINESTRING (139.4561081 36.1361613, 139.4562386 36.1360002, 139.45639 36.1358648)"
"[23578824, 23578825]",residential,,False,True,137.897,,,,"LINESTRING (139.4561081 36.1361613, 139.4563936 36.1362975, 139.4563314 36.1364674, 139.4567206 36.1365611, 139.4568673 36.1361092)"
183366890,unclassified,,False,False,24.613,,,,"LINESTRING (139.4547243 36.1391183, 139.4545386 36.1392811)"
490454335,secondary,40,False,True,46.142,2,128,熊谷羽生線,"LINESTRING (139.4547243 36.1391183, 139.454268 36.1389275)"
23578822,residential,,False,True,355.73,,,,"LINESTRING (139.4547243 36.1391183, 139.4548942 36.1389583, 139.4550247 36.1388297, 139.4551356 36.1383129, 139.45518 36.1381152, 139.4552252 36.1379594, 139.4554214 36.1375617, 139.4556463 36.1371414, 139.4557703 36.1369102, 139.4558318 36.1367072, 139.455948 36.1364737, 139.4561081 36.1361613)"
490454335,secondary,40,False,False,102.65,2,128,熊谷羽生線,"LINESTRING (139.4547243 36.1391183, 139.4551379 36.1392907, 139.4554335 36.1393932, 139.4557669 36.1394939)"
77595051,tertiary,,False,False,89.547,,,,"LINESTRING (139.4568673 36.1361092, 139.4578151 36.1363594)"
"[23578824, 23578825]",residential,,False,False,137.897,,,,"LINESTRING (139.4568673 36.1361092, 139.4567206 36.1365611, 139.4563314 36.1364674, 139.4563936 36.1362975, 139.4561081 36.1361613)"
23578827,unclassified,,False,True,44.013999999999996,,,,"LINESTRING (139.4568673 36.1361092, 139.4566952 36.1360402, 139.4565104 36.1359341, 139.4564524 36.1359007)"
183366871,unclassified,,False,False,47.34,,,,"LINESTRING (139.4552688 36.135163, 139.455429 36.1347574)"
