osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge
192633634,,,,tertiary,False,True,149.00199999999998,"LINESTRING (136.3141543 36.3019901, 136.3147992 36.3021363, 136.3151198 36.3022142, 136.3152936 36.3022823, 136.3153948 36.3023355, 136.3154987 36.3023899, 136.3156577 36.3025124)",
197603985,,,,residential,False,False,38.977,"LINESTRING (136.3131393 36.302108, 136.3135607 36.3021948)",
197603985,,,,residential,False,True,3.104,"LINESTRING (136.3131393 36.302108, 136.3131049 36.3021047)",
595655804,,,,residential,False,False,36.802,"LINESTRING (136.3131393 36.302108, 136.3132446 36.3017881)",
192582638,,118,大聖寺停車場線,secondary,False,False,36.829,"LINESTRING (136.3135607 36.3021948, 136.3136739 36.3018764)",
192582638,,118,大聖寺停車場線,secondary,False,True,107.468,"LINESTRING (136.3135607 36.3021948, 136.3132304 36.3031239)",
197603985,,,,residential,False,True,38.977,"LINESTRING (136.3135607 36.3021948, 136.3131393 36.302108)",
197602314,,,,residential,False,False,31.279000000000003,"LINESTRING (136.3124574 36.3022438, 136.312452 36.3020105, 136.3124751 36.3019663)",
197602314,,,,residential,False,True,81.783,"LINESTRING (136.3124574 36.3022438, 136.3124505 36.3025284, 136.3124428 36.3029792)",
393604875,,,,residential,False,False,80.905,"LINESTRING (136.3124574 36.3022438, 136.3129821 36.3023608, 136.3130178 36.3023544, 136.3131049 36.3021047)",
393604875,,,,residential,False,True,103.473,"LINESTRING (136.3124574 36.3022438, 136.3122288 36.302238, 136.3121973 36.3029838)",
393546628,2,305;365,国道305号,trunk,False,False,11.328,"LINESTRING (136.3149754 36.3038677, 136.3148922 36.303791)",
393546628,2,305;365,国道305号,trunk,False,True,114.48599999999999,"LINESTRING (136.3149754 36.3038677, 136.315432 36.3042885, 136.3155836 36.3044535, 136.3157308 36.3046908)",
393604873,,,,residential,False,True,88.797,"LINESTRING (136.3149754 36.3038677, 136.3149343 36.3039149, 136.3149323 36.3040552, 136.3149496 36.3042793, 136.3149463 36.3044695, 136.3149371 36.3046552)",
197600858,,,,residential,False,False,49.51,"LINESTRING (136.3167901 36.3040043, 136.3173426 36.3040038)",
197600858,,,,residential,False,True,29.881,"LINESTRING (136.3167901 36.3040043, 136.3164567 36.3039994)",
393604868,,,,residential,False,True,49.549,"LINESTRING (136.3167901 36.3040043, 136.3167914 36.3044499)",
587986720,,,,residential,False,False,59.68,"LINESTRING (136.3167901 36.3040043, 136.3167897 36.3037536, 136.3170325 36.303545)",
197601792,,,,residential,False,False,24.497,"LINESTRING (136.3149371 36.3046552, 136.3146642 36.3046423)",
197601792,,,,residential,False,True,71.412,"LINESTRING (136.3149371 36.3046552, 136.3152742 36.3046856, 136.3156188 36.3047004, 136.3157308 36.3046908)",
