osmid,highway,oneway,reversed,length,geometry,bridge,name,maxspeed,lanes,ref
"[243062355, 124296245]",unclassified,False,"[False, True]",167.35,"LINESTRING (130.4035435 31.6297105, 130.403708 31.630076, 130.403705 31.6301367, 130.4037589 31.6302392, 130.4038159 31.6302769, 130.4039046 31.6302823, 130.4040883 31.630196, 130.4041612 31.6301879, 130.4042531 31.6302149, 130.4043259 31.6303066, 130.4044685 31.6303848, 130.404727 31.6304277)",,,,,
243062355,unclassified,False,True,41.178,"LINESTRING (130.4035435 31.6297105, 130.4034429 31.6297417, 130.4033193 31.6297606, 130.403119 31.6297847)",,,,,
585535693,unclassified,False,False,36.037,"LINESTRING (130.4035435 31.6297105, 130.403705 31.6296514, 130.4039063 31.6296191)",,,,,
124293089,tertiary,False,False,67.843,"LINESTRING (130.3981626 31.6302479, 130.397521 31.6305196)",,,,,
124291093,unclassified,False,False,128.661,"LINESTRING (130.3981626 31.6302479, 130.3985534 31.6309716, 130.3985469 31.6313321)",,,,,
"[124294424, 124293089, 124290517]",tertiary,False,True,170.733,"LINESTRING (130.3981626 31.6302479, 130.398473 31.630089, 130.398539 31.630069, 130.398585 31.630048, 130.398921 31.629964, 130.399079 31.629964, 130.399211 31.630003, 130.399293 31.630048, 130.3993892 31.6301107, 130.3997069 31.6303022, 130.3997581 31.6303335)",yes,記念橋,40,,
"[124294424, 124293089, 124290517]",tertiary,False,False,170.733,"LINESTRING (130.3997581 31.6303335, 130.3997069 31.6303022, 130.3993892 31.6301107, 130.399293 31.630048, 130.399211 31.630003, 130.399079 31.629964, 130.398921 31.629964, 130.398585 31.630048, 130.398539 31.630069, 130.398473 31.630089, 130.3981626 31.6302479)",yes,記念橋,40,,
124294424,tertiary,False,True,34.522999999999996,"LINESTRING (130.3997581 31.6303335, 130.39983 31.6303837, 130.4000793 31.6304756)",,,,,
585535694,unclassified,False,False,117.233,"LINESTRING (130.3997581 31.6303335, 130.399526 31.6309929, 130.3994286 31.6313493)",,,,,
124294424,tertiary,False,False,34.522999999999996,"LINESTRING (130.4000793 31.6304756, 130.39983 31.6303837, 130.3997581 31.6303335)",,,,,
