osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,access,geometry,width,bridge
32846263,309,茅ヶ崎中央通り,secondary,30,False,True,42.661,,,"LINESTRING (139.405634 35.3331765, 139.4057225 35.3327997)",,
231411107,1,東海道,trunk,40,False,True,93.588,2,yes,"LINESTRING (139.405634 35.3331765, 139.4060852 35.3333064, 139.406625 35.3334052)",,
582200496,1,東海道,trunk,40,False,True,114.324,2,yes,"LINESTRING (139.405634 35.3331765, 139.4045342 35.3328256, 139.4044603 35.332802)",,
32846263,309,茅ヶ崎中央通り,secondary,30,False,False,48.55,,,"LINESTRING (139.4059464 35.3316204, 139.4058893 35.3319526, 139.4058721 35.3320528)",,
492766109,,,unclassified,30,True,False,13.651,,,"LINESTRING (139.4059464 35.3316204, 139.4059691 35.3315854, 139.4060168 35.3315119)",,
163521057,,,tertiary,,False,True,66.803,,,"LINESTRING (139.4065585 35.3309246, 139.4068888 35.3310136, 139.4069641 35.3310454, 139.407003 35.3311055, 139.4069984 35.3312587, 139.4069976 35.3312853)",,
"[585718168, 256162341, 256162335]",,,unclassified,30,True,False,62.56699999999999,,,"LINESTRING (139.4065585 35.3309246, 139.4064159 35.330876, 139.4062659 35.3308248, 139.4061854 35.3307965, 139.4059222 35.3307075)",,
34413781,,,unclassified,,True,False,63.851,,,"LINESTRING (139.4059222 35.3307075, 139.4057425 35.3305511, 139.4056645 35.3305209, 139.4053121 35.3305542)",,
"[262982578, 262982603, 256162335]",,,unclassified,30,True,False,90.405,,,"LINESTRING (139.4059222 35.3307075, 139.4059762 35.3309434, 139.4060044 35.3310665, 139.4060304 35.33118, 139.4059907 35.3313472, 139.4059529 35.3315063)",,
165932494,,,residential,,False,False,62.911,,,"LINESTRING (139.4082362 35.3262557, 139.4087011 35.3266755)",,
638658024,310,茅ヶ崎停車場茅ヶ崎線(雄三通り),secondary,30,False,False,2.644,2,,"LINESTRING (139.4082362 35.3262557, 139.4082293 35.3262788)",,
638658024,310,茅ヶ崎停車場茅ヶ崎線(雄三通り),secondary,30,False,True,22.372,2,,"LINESTRING (139.4082362 35.3262557, 139.4082839 35.3260583)",,
1034546733,,,tertiary,30,False,True,16.075,,,"LINESTRING (139.4071881 35.3297678, 139.4073511 35.3298245)",,
638658024,310,茅ヶ崎停車場茅ヶ崎線(雄三通り),secondary,30,False,True,32.474999999999994,2,,"LINESTRING (139.4071881 35.3297678, 139.4072143 35.3296826, 139.4072751 35.3294845)",,
